session_id	task	participant_id	source_file	sample_rate_hz	duration_s	pupil_left_mean	pupil_right_mean	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	gaze_valid_frac
ses-20260312_grp-07_run01	T3	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T3_run-01_acq-P2_tobii.tsv.gz	49.91016170466452	878.0130500000087	4.033437566702242	2.7434696527961835	2.9993533274956214	0.8536966559952102	-0.00018017255366256272	0.8957601204874264	0.10423987951257359
ses-20260312_grp-07_run01	T3	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T3_run-01_acq-P3_tobii.tsv.gz	49.91016170466452	878.0141509999521	3.128360926636921	3.1745630891858063	3.1516997902726454	0.32988268327061004	2.7278213726601787e-05	0.08602984802154169	0.9139701519784583
ses-20260312_grp-07_run01	T3	P4	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T3_run-01_acq-P4_tobii.tsv.gz	49.907670930760574	878.0215559999924	3.2343022740193295	3.107545047638991	3.167791679296757	0.34735940116299585	9.176354176933199e-05	0.09661813700880836	0.9033818629911916
ses-20260312_grp-07_run01	T4	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T4_run-01_acq-P1_tobii.tsv.gz	49.91016170466452	460.5353950000135	2.916154765278171	2.912950085501687	2.9136442965259413	0.23811943574375216	5.489912505953606e-06	0.04576698860175759	0.9542330113982425
ses-20260312_grp-07_run01	T4	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T4_run-01_acq-P2_tobii.tsv.gz	49.91016170466452	460.5355869999621	2.9131353711790395	2.385636634647234	2.4510607969528273	0.4758908592455397	0.00016021836888962775	0.8515183154963891	0.1484816845036109
ses-20260312_grp-07_run01	T4	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T4_run-01_acq-P3_tobii.tsv.gz	49.91016170466452	460.5361639999901	3.137719682906026	3.137452896548259	3.137660808858931	0.3091579998065888	-0.00011013858592242346	0.09640650830940573	0.9035934916905942
ses-20260312_grp-07_run01	T4	P4	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T4_run-01_acq-P4_tobii.tsv.gz	49.907670930760574	460.5400490000029	3.257801840056617	3.146672324723247	3.1957490536202022	0.32687628126453766	0.00012574498102799157	0.09209953884973462	0.9079004611502653
ses-20260313_grp-08_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	49.91016170466452	730.1641369999852	2.665618829113924	2.9173612257498456	2.790058260126891	0.2439116751315313	-5.917603607886823e-05	0.10040336964574816	0.8995966303542519
ses-20260313_grp-08_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	49.91016170466452	730.183285999985	2.7049452013503736	2.824187281621244	2.7640658195606242	0.17044709281261186	2.4935530182703933e-05	0.05199758533640654	0.9480024146635935
ses-20260313_grp-08_run01	T0	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T0_run-01_acq-P3_tobii.tsv.gz	49.91016170466452	730.2253299999866	2.6527425927021113	2.6773517346390396	2.6634058576792214	0.18746856470032106	-4.721962137941452e-06	0.06458870657959721	0.9354112934204027
ses-20260313_grp-08_run01	T0	P4	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T0_run-01_acq-P4_tobii.tsv.gz	49.907670930760574	730.049927999964	3.3160485124235533	3.3320001477410397	3.320613741636644	0.32351855425547765	-6.3919469027522295e-06	0.040151494360128444	0.9598485056398716
ses-20260313_grp-08_run01	T1	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T1_run-01_acq-P1_tobii.tsv.gz	49.91016170466452	844.130812999967	2.544420313127258	2.7946345154800154	2.676751458321181	0.2339749053905308	-1.14688780561104e-05	0.18620493223517126	0.8137950677648288
ses-20260313_grp-08_run01	T1	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T1_run-01_acq-P2_tobii.tsv.gz	49.91016170466452	844.1498240000219	2.687742978003384	2.778890217453341	2.7351656966418014	0.23153051896456328	3.9716493799124695e-05	0.13137282825405866	0.8686271717459413
ses-20260313_grp-08_run01	T1	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260313_grp-08_run01\et\sub-01_ses-20260313_grp-08_run01_task-T1_run-01_acq-P3_tobii.tsv.gz	49.91016170466452	844.1320660000201	2.5932371726349546	2.590282204479691	2.5922439456429776	0.220985820011822	5.897660379365167e-05	0.10222876266881868	0.8977712373311814
