session_id	task	participant_id	source_file	window_index	window_start_lsl	window_end_lsl	sample_rate_hz	duration_s	pupil_left_mean	pupil_right_mean	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	gaze_valid_frac
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	0	328080.922928	328110.922928	49.91016170466452	29.994409000035375	3.220618699780862	3.357114457831325	3.29337675070028	0.3864016364555778	-0.007962157363613493	0.04672897196261682	0.9532710280373832
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	1	328095.922928	328125.922928	49.91016170466452	29.974373000033665	3.2326548736462097	3.4776168091168094	3.350771875	0.34270377029478705	0.005416158370929854	0.03807615230460922	0.9619238476953907
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	2	328110.922928	328140.922928	49.91016170466452	29.974371999967843	3.4578777385159016	3.7851604765241764	3.6196712141882674	0.17057967941549884	0.00010845971545894061	0.020708082832331328	0.9792919171676687
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	3	328125.922928	328155.922928	49.91016170466452	29.994408999977168	3.4469769452449572	3.6392763713080165	3.5418895747599457	0.237162323980867	-0.0028736645445319765	0.0267022696929239	0.9732977303070761
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	4	328140.922928	328170.922928	49.91016170466452	29.97437200002605	3.2429773557341126	3.3657036247334755	3.3012007681564244	0.26627326403091633	-0.004653923535479572	0.04342017368069472	0.9565798263193053
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	5	328155.922928	328185.922928	49.91016170466452	29.974373000033665	2.9882806759735487	3.0557255182273044	3.0206078500707214	0.2946873319689178	-0.004723440211463579	0.055444221776887105	0.9445557782231129
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	6	328170.922928	328200.922928	49.91016170466452	29.99440800002776	2.8415249632892805	2.8074719827586208	2.8238681397006413	0.32951436069305706	-0.000781509747398192	0.06341789052069426	0.9365821094793058
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	7	328185.922928	328215.922928	49.91016170466452	29.974372999975458	2.9497559115179257	2.9481994156318483	2.9519717800289436	0.345060747183809	0.0076330471533023764	0.07682030728122913	0.9231796927187709
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	8	328200.922928	328230.922928	49.91016170466452	29.974371999967843	3.0212779836916233	2.9895589706933525	3.0084283179559974	0.32758844450160624	-0.0040487628303653754	0.058784235136940546	0.9412157648630595
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	9	328215.922928	328245.922928	49.91016170466452	29.994408999977168	2.8106850174216027	2.6510373185901868	2.730976551724138	0.30273064470463146	-0.005635302766971954	0.03204272363150868	0.9679572763684913
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	10	328230.922928	328260.922928	49.91016170466452	29.97437200002605	2.7954139402560454	2.605052149400987	2.698712376933896	0.2370652321731735	0.004390855797357368	0.050100200400801605	0.9498997995991983
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	11	328245.922928	328275.922928	49.91016170466452	29.974373000033665	2.836617081850534	2.640093352192362	2.739464135021097	0.27233107536014245	-0.0011928081649994228	0.050100200400801605	0.9498997995991983
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	12	328260.922928	328290.922928	49.91016170466452	29.974372999975458	2.837899572649573	2.632970380818054	2.7379691228070175	0.26297191650661167	0.0020643019633614828	0.04809619238476954	0.9519038076152304
