onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
288.513	1.092	GROUP	(1.1)	SIL				shared	manual	-962.0				962.0	
289.605	6.568	P3	Yeah, for me, maybe how to work better across teams or how to manage stress and workload at work.	SPK		0.033359	6.49	mic11	manual	0.0	1092.0	1092.0			
296.173	0.216	GROUP	(0.2)	SIL				shared	manual	0.0					
296.389	7.986	P3	I think stress is important because I think you have, like, study in Denmark or even, like, in the world, like, a lot of people feel stress.	SPK		0.021487	6.28	mic11	manual	0.0	216.0	7876.0			
304.375	0.681	GROUP	(0.7)	SIL				shared	manual	0.0					
305.056	9.607	P3	And so, like, companies have a tendency to add, like, a lot of workload to consolidate, like, position and to maybe do, like, what can be, like...	SPK		0.029638	4.36	mic11	manual	0.0	681.0	16543.0		500.0	
305.25	0.5	P4	mm-hmm	BCK				shared	manual	-9413.0			194.0	500.0	
314.663	0.941	GROUP	(0.9)	SIL				shared	manual	8913.0					
315.604	18.877	P3	three positions they want to do it in one position role so we have more workload so maybe employees can also learn to stand their ground and also like set boundaries for like for their managers but also to speak to speak out loud so yeah	SPK		0.027819	3.92	mic11	manual	0.0	941.0	27091.0		1000.0	
327.257	0.5	P2	mm-hmm	BCK				shared	manual	-7224.0			11653.0	500.0	
332.997	0.5	P2	mmh	BCK				shared	manual	5240.0			17393.0	500.0	
334.481	0.649	GROUP	(0.6)	SIL				shared	manual	984.0					
335.13	2.36	P2	And this is topic number two?	SPK		0.028857	5.68	mic11	manual	0.0	649.0	649.0		980.0	
337.0	7.779	P3	It would be more topic number four, but it kind of also like work with topic number two.	SPK				shared	manual	-490.0	-490.0	-490.0		1159.0	
337.0	0.49	P3	[OVL:smooth]	OVL	smooth			shared	uncertain	-7779.0				980.0	
344.6	1.061	P2	mmh	BCK				shared	manual	7110.0			7600.0	1027.0	
344.813	2.601	P3	I feel like I kind of like close.	SPK		0.013452	1.32	mic11	manual	-848.0	34.0	7323.0		1348.0	
346.021	0.5	P4	mmh	BCK				shared	manual	-1393.0			1208.0	500.0	
347.414	2.377	GROUP	(2.4)	SIL				shared	manual	893.0				2501.0	
347.83	0.771	P2	yeah	BCK				shared	manual	-1961.0				1522.0	
347.942	1.099	P4	mm-hmm	BCK				shared	manual	-659.0				1850.0	
348.32	0.092	P2	yeah	BCK				shared	manual	-721.0				276.0	
349.252	1.4	P2	okay	BCK				shared	manual	840.0				1400.0	
349.791	1.72	P4	I would also think	SPK				shared	manual	-861.0	2377.0	2377.0		861.0	
351.511	1.489	GROUP	(1.5)	SIL				shared	manual	0.0					
