group_id	participant_id	whole_t0_mean	whole_t0_std	free_talk_mean	free_talk_std	whole_t0_n	free_talk_n	diff_mm	diff_pct
grp-07	P1	3.0884798038928727	0.3620093204658511	3.1188902529368185	0.2724274051303888	20499	9449	0.0304104490439458	0.9846413437968744
grp-07	P2	2.623419719568355	0.3761062796347991	2.6743148024112524	0.4345901429989006	14549	5972	0.0508950828428975	1.9400282182552016
grp-07	P3	3.097390456122955	0.3863587494889932	3.2063014571949	0.3717350918672101	20170	9333	0.1089110010719451	3.516218010443234
grp-07	P4	3.225248167228056	0.3554493634079317	3.293770011755905	0.3217525839266861	20188	9357	0.0685218445278486	2.124544871433561
grp-12	P1	2.4434211393410084	0.3859328293357708	2.3919306427316096	0.5359773702522216	25190	7966	-0.0514904966093987	-2.107311579668405
grp-12	P2	3.4849896726635774	0.3871162745721072	3.498611803740197	0.3917823324186515	27403	9946	0.0136221310766195	0.3908800988270415
grp-12	P3	3.266224962857915	0.3233080195418651	3.210594256904866	0.2959657844775211	29616	9124	-0.0556307059530487	-1.7032110949385566
grp-12	P4	2.360510059377172	0.1894683469041006	2.279374713083397	0.1493549062868701	31662	10456	-0.0811353462937747	-3.4371955320191496
grp-13	P4	2.6383512051954536	0.2348613884820235	2.613730453068247	0.1435410362802925	40035	10462	-0.0246207521272068	-0.9331870631447216
grp-13	P3	2.8104075395180868	0.3411359040831193	2.827859079903148	0.2744228791451975	33782	10325	0.017451540385061	0.6209612000988839
grp-13	P2	3.091031716804979	0.3232183559496904	3.131672100741898	0.345003182305153	38560	10244	0.0406403839369189	1.3147837893726484
grp-13	P1	3.3628859306119403	0.3210770337016727	3.367688766198211	0.2165748481526483	40151	10958	0.0048028355862705	0.1428188670496066
grp-14	P1	3.674273043805581	0.446077527748934	3.5941577568838152	0.4434434543977871	21253	14890	-0.0801152869217651	-2.1804391226947795
grp-14	P2	3.992988651978204	0.3793673067143794	3.987948985740109	0.4102330579058899	21105	14937	-0.0050396662380958	-0.1262128865705408
grp-14	P3	3.067108544087492	0.2515665618235185	3.066591390982245	0.2757656160865895	21945	15658	-0.0005171531052461	-0.0168612586679744
grp-14	P4	3.244508965068748	0.3103796425281841	3.2646854660244724	0.3278104082465535	21528	15364	0.0201765009557246	0.6218660873787147
grp-15	P1	3.2793321192205163	0.2604489310416343	3.2243487198049228	0.2236564728226591	43516	26246	-0.0549833994155934	-1.6766645590219391
grp-15	P2	2.784926977535398	0.3258783939790389	2.7639448482079825	0.3294953539173376	39974	24079	-0.0209821293274155	-0.753417575996346
grp-15	P3	3.0914280917607835	0.261585782951906	3.012052818266398	0.2735147595257528	42589	25796	-0.0793752734943855	-2.567592424547576
grp-15	P4	3.30098244448662	0.3165738676019677	3.3782583125000003	0.3252655528578105	36883	24000	0.0772758680133804	2.3409960311194173
