group_id	task_id	prop_silent_windows
grp-07	T1	0.4375
grp-07	T2	0.17647058823529413
grp-07	T3	0.3157894736842105
grp-08	T1	0.3125
grp-08	T2	0.13513513513513514
grp-08	T3	0.37142857142857144
grp-09	T2	0.30434782608695654
grp-09	T3	0.32142857142857145
grp-10	T1	0.3157894736842105
grp-10	T2	0.1935483870967742
grp-10	T3	0.3
grp-11	T1	0.22727272727272727
grp-11	T2	0.28125
grp-11	T3	0.15
grp-12	T1	0.36
grp-12	T2	0.1935483870967742
grp-12	T3	0.4074074074074074
grp-13	T1	0.34782608695652173
grp-13	T2	0.25925925925925924
grp-14	T1	0.3181818181818182
grp-14	T2	0.2903225806451613
grp-14	T3	0.3157894736842105
grp-15	T1	0.2857142857142857
grp-15	T2	0.27586206896551724
grp-15	T3	0.3
grp-16	T1	0.2857142857142857
grp-16	T2	0.2916666666666667
grp-16	T3	0.3103448275862069
