group_id	task_id	S0_pct	S1_pct	S2_pct	S3_pct
grp-07	T1	0.0	1.0	0.0	0.0
grp-07	T2	1.0	0.0	0.0	0.0
grp-07	T3	0.0	0.0	1.0	0.0
grp-08	T1	0.6896551724137931	0.0	0.10344827586206896	0.20689655172413793
grp-08	T2	0.3235294117647059	0.0	0.5	0.17647058823529413
grp-08	T3	0.03333333333333333	0.6666666666666666	0.0	0.3
grp-09	T2	1.0	0.0	0.0	0.0
grp-09	T3	0.0	0.76	0.0	0.24
grp-10	T1	0.0	1.0	0.0	0.0
grp-10	T2	1.0	0.0	0.0	0.0
grp-10	T3	0.6428571428571429	0.35714285714285715	0.0	0.0
grp-11	T1	0.05263157894736842	0.6842105263157895	0.0	0.2631578947368421
grp-11	T2	0.27586206896551724	0.0	0.5517241379310345	0.1724137931034483
grp-11	T3	0.0	1.0	0.0	0.0
grp-12	T1	0.7894736842105263	0.0	0.0	0.21052631578947367
grp-12	T2	1.0	0.0	0.0	0.0
grp-12	T3	0.0	0.625	0.0	0.375
grp-13	T1	0.7894736842105263	0.0	0.0	0.21052631578947367
grp-13	T2	0.75	0.0	0.08333333333333333	0.16666666666666666
grp-14	T1	1.0	0.0	0.0	0.0
grp-14	T2	0.9090909090909091	0.0	0.09090909090909091	0.0
grp-14	T3	0.0	1.0	0.0	0.0
grp-15	T1	0.0	1.0	0.0	0.0
grp-15	T2	0.0	1.0	0.0	0.0
grp-15	T3	1.0	0.0	0.0	0.0
grp-16	T1	1.0	0.0	0.0	0.0
grp-16	T2	0.0	0.0	1.0	0.0
grp-16	T3	0.0	0.8636363636363636	0.0	0.13636363636363635
