group_id	task	participant	tr_speaking_time_s	tr_n_turns	tr_backchannel_count	tr_laughter_count	tr_overlap_count	tr_overlap_time_s	tr_overlap_competitive	tr_overlap_floor_fight	tr_overlap_smooth	tr_overlap_backchannel_ovl
grp-12	T4	P1	7.247	4	1	0	1	1.443	0	1	0	0
grp-12	T4	P2	3.72	3	2	0	2	2.413	1	1	0	0
grp-12	T4	P3	47.885	15	1	0	2	1.486	2	0	0	0
grp-12	T4	P4	22.416	10	0	0	4	4.378	2	1	0	1
grp-13	T1	P1	76.387	16	4	0	3	2.602	1	1	0	0
grp-13	T1	P2	83.404	10	8	0	2	1.429	2	0	0	0
grp-13	T1	P3	94.786	18	13	0	3	2.429	0	0	1	0
grp-13	T1	P4	39.647	9	5	0	1	0.24	0	0	0	0
grp-13	T2	P1	122.757	21	8	1	3	1.431	1	0	1	1
grp-13	T2	P2	90.722	15	6	1	1	0.075	0	0	0	1
grp-13	T2	P3	198.868	44	7	1	3	2.144	1	1	1	0
grp-13	T2	P4	6.606	4	0	0	0	0.0	0	0	0	0
grp-14	T1	P1	40.352	6	1	0	1	0.856	0	0	0	0
grp-14	T1	P2	157.406	23	13	0	3	14.228	1	1	0	1
grp-14	T1	P3	73.647	13	2	0	5	5.141	1	2	1	1
grp-14	T1	P4	134.532	16	6	1	1	1.062	0	1	0	0
grp-14	T2	P1	62.827	30	4	1	9	4.42	2	1	1	4
grp-14	T2	P2	139.779	25	28	0	7	10.405	1	5	0	1
grp-14	T2	P3	178.255	33	9	1	4	2.87	1	1	1	1
grp-14	T2	P4	131.8	33	23	1	6	2.448	3	0	1	2
grp-14	T3	P1	33.082	13	3	2	4	2.393	1	1	0	1
grp-14	T3	P2	82.377	31	16	0	8	4.491	4	1	2	1
grp-14	T3	P3	67.822	15	1	2	2	1.277	1	0	0	0
grp-14	T3	P4	92.685	17	17	7	4	3.293	2	1	1	0
grp-14	T4	P1	50.3	11	0	0	4	7.222	0	2	1	0
grp-14	T4	P2	32.399	17	3	0	6	6.772	1	2	1	2
grp-14	T4	P3	2.803	2	1	0	0	0.0	0	0	0	0
grp-14	T4	P4	61.656	31	0	0	10	9.88	3	1	0	2
grp-15	T1	P1	106.235	40	28	3	12	7.031	1	2	4	1
grp-15	T1	P2	106.216	17	4	0	5	10.832	0	3	0	1
grp-15	T1	P3	147.047	43	29	1	11	12.107	3	2	2	1
grp-15	T1	P4	33.482	14	13	0	1	0.796	1	0	0	0
grp-15	T2	P1	130.577	27	9	1	8	13.712	1	4	2	1
grp-15	T2	P2	134.923	23	10	0	2	2.909	1	1	0	0
grp-15	T2	P3	194.496	41	14	0	6	6.383	0	4	1	1
grp-15	T2	P4	131.909	33	3	1	4	5.338	1	2	0	0
grp-15	T3	P1	60.428	19	8	3	6	5.754	0	2	1	3
grp-15	T3	P2	86.333	27	3	0	3	3.355	0	2	0	1
grp-15	T3	P3	82.814	27	9	2	3	1.132	1	0	1	1
grp-15	T3	P4	48.668	15	1	0	3	3.794	0	1	1	1
grp-15	T4	P1	49.609	20	6	0	0	0.0	0	0	0	0
grp-15	T4	P2	14.427	6	2	0	0	0.0	0	0	0	0
grp-15	T4	P3	58.032	19	6	0	0	0.0	0	0	0	0
grp-15	T4	P4	36.949	6	3	0	0	0.0	0	0	0	0
grp-16	T1	P1	81.426	22	7	0	6	1.995	1	0	3	2
grp-16	T1	P2	64.393	11	1	1	1	0.1	0	0	0	0
grp-16	T1	P3	110.244	19	17	0	3	4.609	0	1	0	0
grp-16	T1	P4	129.864	14	6	0	5	2.241	2	0	2	1
grp-16	T2	P1	86.34	19	3	2	13	11.411	5	4	1	3
grp-16	T2	P2	123.204	28	9	0	11	5.843	5	0	1	3
grp-16	T2	P3	94.786	26	21	0	8	6.651	2	3	0	2
grp-16	T2	P4	155.339	15	7	0	8	10.533	1	3	3	1
grp-16	T3	P1	88.93	26	5	0	15	18.918	2	5	7	1
grp-16	T3	P2	120.116	24	2	0	7	5.343	3	2	1	1
grp-16	T3	P3	193.155	31	28	0	17	18.079	1	8	2	5
grp-16	T3	P4	201.05	39	5	0	16	26.074	1	10	2	3
grp-16	T4	P1	147.497	35	4	2	18	24.764	5	9	1	3
grp-16	T4	P2	77.001	22	8	0	8	16.417	2	3	1	1
grp-16	T4	P3	72.923	25	14	0	8	8.51	2	4	0	1
grp-16	T4	P4	145.589	20	6	0	15	35.9	3	8	3	1
