group_id	task	participant	audio_energy_mean	audio_pitch_mean	audio_pitch_sd	audio_hnr_mean	n_windows
grp-07	T1	P1	0.1797196823689672	21.824135780334473	0.17439863375491563	0.6488636997010973	9
grp-07	T1	P2	0.08081705454323021	21.456347783406574	0.1533501495917638	2.2076141635576882	9
grp-07	T1	P3	0.14289413475328017	22.097541173299152	0.22288126498460764	-0.5123571834216515	9
grp-07	T1	P4	0.13933288388782075	21.543670866224502	0.1824488391478856	0.8764123320579529	9
grp-07	T2	P1	0.26925263139936656	26.17900382147895	0.1952074446060039	3.5857144704571478	27
grp-07	T2	P2	0.10342918667528361	27.077037104853876	0.16624155999333767	4.566003728795935	27
grp-07	T2	P3	0.20569920153529553	26.117354640254266	0.21801280368257447	2.943988268022184	27
grp-07	T2	P4	0.18694122135639188	25.95007974130136	0.2062166443577519	3.1781560524746224	27
grp-07	T3	P1	0.09412839435614069	23.10015979179969	0.2191876164422585	0.9289377790230972	13
grp-07	T3	P2	0.07511643807475378	25.597425167377178	0.20221673754545355	2.5608667598034325	13
grp-07	T3	P3	0.12286212152013407	22.12978766514705	0.22246434711492974	-0.44679198356775146	13
grp-07	T3	P4	0.12793928499405197	22.26382460960975	0.22591819227314908	0.044814153359486505	13
grp-08	T1	P1	0.1560644197463989	24.33502380371094	0.2415415048599243	1.9079938299953938	25
grp-08	T1	P2	0.13128724113106724	25.59266288757324	0.1981014177203178	4.3313064289093015	25
grp-08	T1	P3	0.13812314927577968	24.631578063964845	0.24477214038372036	2.3957577869296074	25
grp-08	T1	P4	0.20670029163360593	23.5804931640625	0.24819383621215818	1.8253613397479058	25
grp-08	T2	P1	0.20956062415943424	26.52614183986888	0.24689032707144226	2.9480842535986618	34
grp-08	T2	P2	0.17829979901366372	27.08410582822912	0.2211691813872141	4.080542653799057	34
grp-08	T2	P3	0.2191682289190152	26.317113090963925	0.2524159910047755	2.9540039047612536	34
grp-08	T2	P4	0.2748769269708325	25.286447020138013	0.26060380085426216	2.6296268123037674	34
grp-08	T3	P1	0.13309344768524167	25.98716911315918	0.2502503621578216	2.6654774671792985	25
grp-08	T3	P2	0.18684153273701665	26.515919189453125	0.2147863560914993	4.142155387401581	25
grp-08	T3	P3	0.16264482900500293	25.24466926574707	0.2325053697824478	2.704193477630615	25
grp-08	T3	P4	0.15333770245313638	24.570205841064453	0.24123196661472318	2.215307602882385	25
grp-09	T2	P1	0.15824786033481356	26.327227973937987	0.21805980876088138	2.8218609243631363	20
