onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
210.629	2.269	MODERATOR	You can start now.	SPK		0.002169	1.31	shared	manual					
212.898	2.585	GROUP	(2.6)	SIL				shared	manual	0				
215.483	0.320	P2	Okay.	SPK		0.005649	3.06	mic10	manual	0	2585	2585		
215.803	1.934	GROUP	(1.9)	SIL				shared	manual	0				
217.737	1.482	P3	Okay, so what do you think of the candidates?	SPK		0.011146	1.89	mic11	manual	0	1934	1934		
219.219	0.941	GROUP	(0.9)	SIL				shared	manual	0				
220.160	12.299	P1	so can we say which candidate we think okay then I will vote for b with more technical experience in this in this area	SPK		0.013927	1.31	mic9	manual	0	941	941		
232.459	1.855	GROUP	(1.9)	SIL				shared	manual	0				1097
232.509	0.500	P3	mm-hmm	BCK				shared	manual	-1805				500
233.717	1.304	P2	um	FP				shared	manual	708				1304
234.314	6.386	P2	Okay, uhh, I think that that's maybe not the best candidate.	SPK		0.015186	6.31	mic10	manual	-707	1855	1855		707
240.700	0.400	GROUP	(0.4)	SIL				shared	manual	0				
241.100	1.701	P2	I would go with candidate C.	SPK		0.015408	4.62	mic10	manual	0	400	8641		
242.801	3.982	GROUP	(4.0)	SIL				shared	manual	0				1051
244.496	1.051	P2	uh	FP				shared	manual	-2287				1051
246.783	12.725	P2	Only because the role is more so about transformation and adoption across departments, uhh, not necessarily like the technical intricacies of it.	SPK		0.017268	4.40	mic10	manual	1236	3982	14324		
259.508	0.320	GROUP	(0.3)	SIL				shared	manual	0				
259.828	2.819	P2	Surely someone else will do that part.	SPK		0.011242	5.23	mic10	manual	0	320	27369		
262.647	1.342	GROUP	(1.3)	SIL				shared	manual	0				1307
262.682	1.495	P2	um	FP				shared	manual	-1307				1495
263.989	6.299	P2	But it's more so getting people on board and buying into	SPK		0.019555	5.55	mic10	manual	-188	1342	31530		342
270.211	19.484	P2	the new adoption of of these ai programs um where candidate C has experience facilitating between various departments um so he ultimately right now for me looks like the the best candidate do you guys have any different thoughts?	SPK		0.008539	1.31	shared	manual	-77	-77	37752		3945
270.211	0.077	P2	[OVL:smooth]	OVL	smooth			shared	manual	-19484				154
277.459	1.411	P2	(1.4)	SIL				shared	manual	7171				1411
283.154	0.140	P2	right	BCK		0.009114	3.82	mic10	manual	4284				140
288.468	0.200	P3	Yeah.	SPK		0.008259	5.59	mic11	manual	5174	-1227	-1227		400
288.468	0.200	P3	[OVL:smooth]	OVL	smooth			shared	manual	-200				400
288.668	0.214	GROUP	(0.2)	SIL				shared	manual	0				214
