onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
320.244	3.305	MODERATOR	Please start the discussion.	SPK		0.009338	1.15	shared	manual					0
323.549	4.956	GROUP	(5.0)	SIL				shared	manual	0				0
328.505	2.128	P2	Maybe we should just present it quickly?	SPK		0.013946	1.42	shared	manual	0	4956	4956		430
330.418	0.741	P4	Yeah.	SPK		0.018860	2.66	mic10	manual	-215	-215	-215		430
330.418	0.215	P4	[OVL:smooth]	OVL	smooth			shared	manual	-741				430
331.159	1.895	GROUP	(1.9)	SIL				shared	manual	526				
333.054	1.582	P3	Go, P1	SPK	collaborative			shared	manual	0	1895	1895		
334.680	8.087	P1	Okay, so Falster, that's an island outside of Copenhagen, and now where we just sold half of GN, we have money to host that one.	SPK		0.063368	1.50	mic9	manual	44	44	44		2205
341.478	0.902	GROUP	[LAUGHTER]	LAU	collaborative			shared	manual	-1289				1818
341.744	0.280	P4	Yeah	SPK		0.047705	1.99	mic12	manual	-636	-1023	-1023		840
341.744	0.280	P4	[OVL:smooth]	OVL	smooth			shared	manual	-280				840
342.024	0.843	GROUP	(0.8)	SIL				shared	manual	0				1099
342.867	3.604	P1	So I think it would also be good for stress relief of the employees.	SPK		0.056530	3.83	mic9	manual	0	843	843		
346.471	0.960	GROUP	(1.0)	SIL				shared	manual	0				
347.431	5.946	P1	Then we have a petanque tournament, I think that's self-explanatory, and then a GN-wide cocktail course.	SPK		0.044638	6.53	mic9	manual	0	960	5407		
353.377	2.479	GROUP	(2.5)	SIL				shared	manual	0				
355.856	0.481	P2	Sounds fun.	SPK		0.003646	1.80	shared	manual	0	2479	2479		
356.337	2.527	GROUP	(2.5)	SIL				shared	manual	0				
358.864	3.322	P2	I guess I'm number two right	SPK		0.054291	2.66	mic12	manual	0	2527	5487		851
360.005	0.500	P3	yeah	BCK	collaborative			shared	manual	-2181			1141	701
360.042	0.201	P1	Yes,	BCK		0.040787	0.57	mic9	manual	-463			1178	402
362.111	7.461	P2	Mmh okay, the first one is we did it at my old job, which was quite fun, but we did a job swap.	SPK		0.014200	3.40	mic10	manual	1868	-75	8734		150
362.111	0.075	P2	[OVL:smooth]	OVL	smooth			shared	manual	-7461				150
369.572	0.480	GROUP	(0.5)	SIL				shared	manual	7386				
370.052	4.781	P2	So you either follow a person for a day and see what they do.	SPK		0.010782	2.64	mic10	manual	0	480	16675		
374.833	0.140	GROUP	(.)	SIL				shared	manual	0				
374.973	4.901	P2	You choose your, like, you set up your own, like, deals or something.	SPK		0.006963	3.30	mic10	manual	0	140	21596		
379.874	0.840	GROUP	(0.8)	SIL				shared	manual	0				
380.714	5.881	P2	Or you have, like, a department be in another department for a day just to see what other people are working with.	SPK		0.008784	3.34	mic10	manual	0	840	27337		
386.595	1.180	GROUP	(1.2)	SIL				shared	manual	0				0
387.775	4.183	P2	Then I think foraging at this campus could be quite fun.	SPK		0.012810	3.34	mic10	manual	0	1180	34398		0
391.958	0.700	GROUP	(0.7)	SIL				shared	manual	0				
392.658	7.424	P2	So like hunting for plants and stuff like that around campus and then maybe having a cooking lesson or something.	SPK		0.010498	3.69	mic10	manual	0	700	39281		
400.082	0.881	GROUP	(0.9)	SIL				shared	manual	0				
400.963	9.205	P2	And then the third one is a trip to the production site in Praesto to see how they make the hearing aids and PCB boards and stuff like that.	SPK		0.010273	3.44	mic10	manual	0	881	47586		
410.168	0.200	GROUP	(.)	SIL				shared	manual	0				
410.368	1.021	P2	Like a nice outing.	SPK		0.007405	3.20	mic10	manual	0	200	56991		
411.389	0.540	GROUP	(0.5)	SIL				shared	manual	0				0
411.929	1.541	P2	Both a trip to Praesto.	SPK		0.005829	2.59	mic10	manual	0	540	58552		0
413.470	0.240	GROUP	(0.2)	SIL				shared	manual	0				0
413.710	4.047	P2	and then it's it's pretty pretty there and then also yeah seeing something	SPK		0.008349	3.32	mic10	manual	0	240	60333		0
417.757	4.327	GROUP	(4.3)	SIL				shared	manual	0				620
419.042	0.500	P3	mmh	BCK	collaborative			shared	manual	-3042				500
421.902	0.120	P3	er	FP	collaborative			shared	manual	2360				120
422.084	4.324	P3	My ideas go from more to less appealing to me.	SPK		0.032120	6.56	mic11	manual	62	4327	4327		
426.408	0.901	GROUP	(0.9)	SIL				shared	manual	0				680
426.713	2.000	P3	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-596				3488
427.225	2.000	P1	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-1488				3488
427.309	8.549	P3	The first one is I think there's quite a detachment between what we do in the company and how the company is run.	SPK		0.047368	2.61	mic11	manual	-1916	901	9552		4362
435.337	3.004	P3	So I think it would be nice to have an event that actually	SPK		0.029597	5.01	mic11	manual	-521	-521	17580		1042
435.337	0.521	P3	[OVL:competitive]	OVL	competitive			shared	manual	-3004				1042
438.341	0.880	GROUP	(0.9)	SIL				shared	manual	2483				
439.221	16.489	P3	allows people to become an acoustic engineer or something like that and I mean there's a very easy way to do that which is just build instruments with simple objects you can do that you can make your own guitar out of a box and a stick and some strings and then you understand about you know what is sound and how difficult it is to make something that sounds good	SPK		0.031528	4.01	mic11	manual	0	880	21464		1000
443.000	0.500	P1	mh	BCK	collaborative			shared	manual	-12710			3779	500
451.880	0.500	P2	mmh	BCK	collaborative			shared	manual	8380			12659	500
455.710	0.620	GROUP	(0.6)	SIL				shared	manual	3330				
456.330	0.821	P3	And stuff like that, right?	SPK		0.022885	4.80	mic11	manual	0	620	38573		
457.171	0.500	P3	So, I don't know.	SPK		0.010566	4.68	mic11	manual	20	20	39414		
457.671	0.060	GROUP	(.)	SIL				shared	manual	0				
457.731	0.400	P3	And it's fun.	SPK		0.015256	3.97	mic11	manual	0	60	39974		
458.131	0.741	GROUP	(0.7)	SIL				shared	manual	0				
458.872	2.801	P3	Instead of marshmallows and spaghettis, right?	SPK		0.021344	6.26	mic11	manual	0	741	41115		
461.673	0.060	GROUP	(.)	SIL				shared	manual	0				
461.733	6.844	P3	Then, I mean, we have steel series and people talk about it, but I haven't known anyone who has used the gaming.	SPK		0.042472	5.13	mic11	manual	0	60	43976		
468.577	0.841	GROUP	(0.8)	SIL				shared	manual	0				
469.418	0.961	P3	I haven't.	SPK		0.054277	5.96	mic11	manual	0	841	51661		
470.379	0.080	GROUP	(.)	SIL				shared	manual	0				
470.459	3.402	P3	Facilities we have, but I mean, why not having a gaming league between everyone?	SPK		0.043458	6.09	mic11	manual	0	80	52702		
473.881	1.400	P3	There are multiple games.	SPK		0.023052	5.44	mic11	manual	20	20	56124		
475.281	0.181	GROUP	(.)	SIL				shared	manual	0				
475.462	1.440	P3	It doesn't need to be a shooting one, right?	SPK		0.017817	1.69	mic11	manual	0	181	57705		500
476.073	0.500	P2	mmh	BCK	collaborative			shared	manual	-829			611	500
476.902	0.060	GROUP	(.)	SIL				shared	manual	329				
476.962	0.781	P3	It can be any game.	SPK		0.008512	3.76	mic11	manual	0	60	59205		
477.743	2.299	GROUP	(2.3)	SIL				shared	manual	0				
480.042	4.063	P1	Maybe people should just do whatever they want.	SPK		0.126657	1.22	mic9	manual	0	2299	2299		2544
481.991	2.659	GROUP	[LAUGHTER]	LAU	collaborative			shared	manual	-2114				3089
483.890	1.461	P3	So, yeah, that's it.	SPK		0.063885	1.08	mic11	manual	-760	-215	-215		1190
483.890	0.215	P3	[OVL:smooth]	OVL	smooth			shared	manual	-1461				645
485.371	1.981	P2	So, get half a day off	SPK		0.181066	3.89	mic11	manual	1266	20	20		852
486.500	3.680	P1	[LAUGHTER]	LAU	collaborative			shared	manual	-852				3680
487.352	3.089	GROUP	(3.1)	SIL				shared	manual	-2828				2828
490.441	6.501	P4	Okay, I put a cultural tour of Copenhagen, because I know we have a lot of international co-workers, so going around showing it.	SPK		0.051261	10.10	mic12	manual	0	3089	3089		
496.942	0.480	GROUP	(0.5)	SIL				shared	manual	0				
497.422	2.520	P4	And I put Secret Santa, because I ran out of ideas.	SPK		0.030909	8.28	mic12	manual	0	480	10070		
499.942	0.541	GROUP	(0.5)	SIL				shared	manual	0				
500.483	6.621	P4	And then I put the Best Visit Team Competition, because there's nothing that builds team spirit more than competing against it.	SPK		0.054140	3.12	mic12	manual	0	541	13131		1351
505.301	0.180	P3	No.	BCK		0.009189	1.20	mic11	manual	-1803			4818	180
505.872	1.171	P3	[LAUGHTER]	LAU	collaborative			shared	manual	391				1171
507.104	3.371	GROUP	(3.4)	SIL				shared	manual	61				2978
508.115	2.029	P1	[LAUGHTER]	LAU	collaborative			shared	manual	-2360				2647
509.526	1.011	GROUP	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-618				1629
510.475	4.981	P4	but without it being physical I feel like it's always like a soccer like dodgeball I don't know something so something a bit more	SPK		0.065806	1.93	mic12	manual	-62	3371	23123		975
514.144	0.500	P3	mmh	BCK	collaborative			shared	manual	-1312			3669	500
515.043	1.161	P3	yeah	BCK		0.020502	2.73	mic11	manual	399			4568	1161
515.456	4.011	GROUP	(4.0)	SIL				shared	manual	-748				748
519.467	9.920	P4	I'll just say first I really like the day in the life job swap like I would love to do that uhm that one stood out to me	SPK	collaborative			shared	manual	0	4011	32115		5260
525.587	0.300	P4	(0.3)	SIL	collaborative			shared	manual	-3800				300
526.427	2.000	P2	yeah that' also quite fun	SPK	collaborative			shared	manual	540	-2960	-2960		4000
526.427	2.000	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-2000				4000
528.427	3.482	GROUP	(3.5)	SIL				shared	manual	0				1460
530.528	0.500	P1	mmh	BCK	collaborative			shared	manual	-1381				500
531.909	6.869	P2	I shadowed or job swapped with a chemist. And I know nothing about chemistry but it was kind of fun	SPK		0.009183	1.91	shared	manual	881	3482	2522		7093
534.984	3.299	P4	exactly that sounds kind of cool	SPK		0.019814	1.57	mic12	manual	-3794	-3794	-3794		6598
534.984	3.299	P4	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-3299				6598
538.283	2.561	GROUP	(2.6)	SIL				shared	manual	0				495
540.844	0.541	P3	Yeah, that could be.	SPK		0.013980	5.03	mic11	manual	0	2561	2561		0
541.385	1.796	GROUP	(1.8)	SIL				shared	manual	0				0
543.181	2.221	P1	I also like the launchable instrument thing. And also...	SPK		0.032979	6.12	mic9	manual	0	1796	1796		
545.402	0.900	GROUP	(0.9)	SIL				shared	manual	0				
546.302	2.081	P2	I like something that you could do during the day	SPK		0.008476	2.78	mic9	manual	0	900	900		
548.383	1.629	GROUP	(1.6)	SIL				shared	manual	0				0
550.012	0.460	P2	No, sorry.	SPK		0.007114	2.62	mic10	manual	0	1629	4610		0
550.472	1.160	GROUP	(1.2)	SIL				shared	manual	0				
551.632	0.400	P2	Like that.	SPK		0.009806	3.13	mic10	manual	0	1160	6230		
552.032	0.160	GROUP	(.)	SIL				shared	manual	0				
552.192	0.921	P2	Yeah, it's cool.	SPK		0.004739	1.84	shared	manual	0	160	6790		300
552.192	0.300	P1	Yeah,	BCK		0.004812	2.43	shared	manual	-921			0	300
553.113	4.562	GROUP	(4.6)	SIL				shared	manual	621				0
557.675	7.091	P3	I mean, there are many, how to say, wannabe musicians in this company. So ahaha	SPK		0.027608	5.31	mic11	manual	0	4562	4562		298
564.617	1.149	P1	Yeah, yeah, exactly.	SPK		0.197958	2.67	mic9	manual	-149	-149	-149		298
564.617	0.149	P1	[OVL:smooth]	OVL	smooth			shared	manual	-1149				298
565.766	6.676	GROUP	(6.7)	SIL				shared	manual	1000				
572.442	1.121	P3	Yeah, but we are not good enough.	SPK		0.094889	1.01	mic11	manual	0	6676	6676		
573.563	0.402	GROUP	(0.4)	SIL				shared	manual	0				
573.965	5.104	P1	I guess people should feel somewhat related to sound, at least, or something like that, right?	SPK		0.081752	6.68	mic9	manual	0	402	402		0
579.069	0.421	GROUP	(0.4)	SIL				shared	manual	0				0
579.490	1.161	P1	I think it's interesting, yeah.	SPK		0.031179	3.15	mic9	manual	0	421	5927		123
580.528	0.260	P3	yeah	BCK		0.014608	1.51	mic11	manual	-123			1038	260
580.651	0.857	GROUP	(0.9)	SIL				shared	manual	-137				137
581.508	2.920	P3	but the job swap could be something more	SPK	collaborative			shared	manual	0	857	857		2323
582.596	0.240	P1	Yeah.	SPK		0.043165	1.90	mic9	manual	-1832	-1832	-1832		480
582.596	0.240	P1	[OVL:smooth]	OVL	smooth			shared	manual	-240				480
582.836	1.341	GROUP	(1.3)	SIL				shared	manual	0				1341
584.177	1.541	P1	It's a bit more to the heavy side now.	SPK		0.083198	6.21	mic9	manual	0	1341	-251		502
584.177	0.251	P1	[OVL:smooth]	OVL	smooth			shared	manual	-1541				502
585.718	0.300	GROUP	(0.3)	SIL				shared	manual	1290				0
586.018	2.402	P1	I guess in the serious box, right?	SPK		0.061640	7.71	mic9	manual	0	300	1590		0
588.420	2.107	GROUP	(2.1)	SIL				shared	manual	0				1261
589.160	0.761	P2	Yeah.	BCK		0.044291	0.88	shared	manual	-1367				761
589.988	0.500	P1	yeah	BCK	collaborative			shared	manual	67				500
590.527	0.989	P1	but is nice though	SPK	collaborative			shared	manual	39	2107	6099		0
591.516	1.406	GROUP	(1.4)	SIL				shared	manual	0				0
592.922	0.658	P3	If we have a budget of half a million kroner to spend	SPK	collaborative			shared	manual	0	1406	1406		337
593.243	0.380	P1	Yeah,	BCK		0.140918	0.95	mic9	manual	-337			321	380
593.580	0.824	GROUP	(0.8)	SIL				shared	manual	-43				43
594.404	0.240	P1	Yeah. Exactly	SPK		0.064759	6.60	mic9	manual	0	824	824		
594.644	4.608	GROUP	(4.6)	SIL				shared	manual	0				2284
595.599	0.180	P3	right	BCK		0.067963	1.83	mic11	manual	-3653				180
597.148	2.768	GROUP	[LAUGHTER]	LAU	collaborative			shared	manual	1369				2768
599.252	0.280	P2	definitely also for the networking of it	SPK		0.022599	3.79	shared	manual	-664	4608	4608		280
599.532	3.503	GROUP	(3.5)	SIL				shared	manual	0				384
603.035	0.240	P2	right?	SPK		0.007201	0.69	shared	manual	0	3503	8391		0
603.275	0.200	GROUP	(0.2)	SIL				shared	manual	0				
603.475	5.884	P2	Like meeting someone else that you'd never work with and stuff, like bonding the company, whatever.	SPK		0.009195	1.12	mic10	manual	0	200	8831		
609.359	6.544	GROUP	(6.5)	SIL				shared	manual	0				
615.903	8.766	P1	So, I guess it's either 2-1 or 3-1, if I would have to...	SPK		0.056772	3.14	mic9	manual	0	6544	6544		3696
622.649	1.280	P2	Do we only have to choose one?	SPK		0.016457	1.04	mic10	manual	-2020	-2020	-2020		2560
622.649	1.280	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1280				2560
623.929	0.344	GROUP	(0.3)	SIL				shared	manual	0				344
624.273	0.601	P3	I think so.	SPK		0.085077	1.71	mic11	manual	0	344	344		1122
624.273	0.396	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-601				792
624.709	3.251	P1	Yeah, we have to choose one, okay.	SPK		0.055506	1.04	mic9	manual	40	-165	-165		330
624.709	0.165	P1	[OVL:smooth]	OVL	smooth			shared	manual	-3251				330
627.960	0.935	GROUP	(0.9)	SIL				shared	manual	3086				
628.895	4.581	P2	Because I feel like it could also be a seasonal thing, like the secret Santa would be fun to have.	SPK		0.007591	1.22	mic10	manual	0	935	935		
633.476	4.771	GROUP	(4.8)	SIL				shared	manual	0				500
633.724	0.500	P1	yeah	BCK	collaborative			shared	manual	-4523				500
638.247	3.221	P3	But maybe if it's GN wide, you know what I mean?	SPK		0.034649	5.53	mic11	manual	4023	4771	4771		
641.468	0.060	GROUP	(.)	SIL				shared	manual	0				
641.528	4.222	P3	It's because Secret Santa is kind of nice when you know the person a little bit, so you know.	SPK		0.038263	2.74	mic11	manual	0	60	8052		7
645.743	4.861	P4	No, I thought the fun thing would be like, go into teams and hunt down and be like, oh, I got this random name.	SPK		0.070069	1.80	mic12	manual	-7	-7	-7		7
650.644	1.241	P4	Who is it?	SPK		0.100231	1.80	mic12	manual	40	40	4894		
651.905	0.720	P4	Where do they work?	SPK		0.126341	1.71	mic12	manual	20	20	6155		
652.625	0.500	GROUP	(0.5)	SIL				shared	manual	0				
653.125	2.181	P4	How do I get secret with this?	SPK		0.127091	1.87	mic12	manual	0	500	7375		
655.306	0.900	GROUP	(0.9)	SIL				shared	manual	0				
656.206	1.581	P4	But true, there would have to be a guessing.	SPK		0.176670	1.85	mic12	manual	0	900	10456		
657.807	2.060	P4	How would you guess it?	SPK		0.135351	1.75	mic12	manual	20	20	12057		900
658.895	0.380	P3	Okay,	BCK		0.104387	0.58	mic11	manual	-972			1088	380
659.295	0.520	P3	yeah,	BCK		0.115091	0.67	mic11	manual	20			1488	520
659.867	0.600	GROUP	(0.6)	SIL				shared	manual	52				
660.467	1.161	P4	That one would be a bit difficult.	SPK		0.095743	2.14	mic12	manual	0	600	14717		
661.628	0.288	GROUP	(0.3)	SIL				shared	manual	0				
661.916	0.200	P3	Yeah, that could be fun yeah	SPK		0.058605	0.70	shared	manual	0	288	288		0
662.116	1.881	GROUP	(1.9)	SIL				shared	manual	0				0
663.997	0.400	P3	That's true.	SPK		0.007872	3.53	mic11	manual	0	1881	2369		
664.397	1.440	GROUP	(1.4)	SIL				shared	manual	0				0
665.837	7.080	P3	But I might stick with one that I didn't choose, then it would be the one that is a day in the life.	SPK		0.025832	5.84	mic11	manual	0	1440	4209		7518
669.158	4.923	P1	Okay, I agree.	SPK		0.028888	2.27	mic9	manual	-3759	-3759	-3759		7518
669.158	3.759	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-4923				7518
674.081	0.280	GROUP	(0.3)	SIL				shared	manual	1164				
674.361	3.869	P1	I think it's one of the most original ones up there.	SPK		0.047893	1.92	mic9	manual	0	280	1444		2516
676.512	0.880	P4	Okay.	BCK		0.030240	0.56	mic12	manual	-1718			2151	880
677.412	5.043	MODERATOR	So it seems that you have an agreement.	SPK		0.011955	2.06	mic12	manual	20	-818	-818		1776
677.412	0.818	MODERATOR	[OVL:competitive]	OVL	competitive			shared	manual	-5043				1636
681.485	0.140	P1	Yes	BCK		0.004421	0.69	mic9	manual	3255			4073	140
682.455	1.761	GROUP	(1.8)	SIL				shared	manual	830				
684.216	6.784	MODERATOR	Please, one of you, select the idea that you chose, and it should be like just a number.	SPK		0.004449	1.57	shared	manual	0	1761	5986		
691.000	0.480	GROUP	(0.5)	SIL				shared	manual	0				
691.480	1.201	MODERATOR	P2-3 something.	SPK		0.002010	1.24	shared	manual	0	480	13250		
692.681	1.486	GROUP	(1.5)	SIL				shared	manual	0				
694.167	0.980	P2	Should I do it again?	SPK		0.010918	1.10	shared	manual	0	1486	1486		
695.147	0.273	GROUP	(0.3)	SIL				shared	manual	0				0
695.420	0.872	P1	yeah why not	SPK		0.006638	3.35	mic10	manual	0	273	273		0
696.292	1.010	GROUP	(1.0)	SIL				shared	manual	0				
697.302	2.000	P2	Ok so P....	SPK	collaborative			shared	manual	0	1010	1010		2380
698.112	2.000	P1	P2-1	SPK	collaborative			shared	manual	-1190	-1190	-1190		2564
698.112	1.190	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-2000				2380
700.020	9.224	MODERATOR	How do I do that one?	SPK		0.003420	1.73	shared	confident	718	-92	-92		184
700.020	0.092	MODERATOR	[OVL:smooth]	OVL	smooth			shared	manual	-9224				184
