onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
173.905	0.920	P3	umh	BCK				shared	manual					
175.568	1.721	P3	I'm not sure how much I'm giving away now.	SPK		0.056627	10.95	mic11	manual	743				41
177.248	15.752	P2	yeah	SPK				shared	manual	-41	-41	-41		31729
178.191	5.499	P3	when I talk, but do you have a favourite candidate?	SPK				shared	manual	-14809	-14809	-14809		13068
178.191	5.499	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-5499				13068
183.000	1.000	P3	If yes, why?	SPK				shared	manual	-690	-690	-10000		4070
183.000	1.000	P3	[OVL:competitive]	OVL	competitive			shared	manual	-1000				4070
183.000	0.690	P3	[OVL:competitive]	OVL	competitive			shared	manual	-1000				3450
184.000	20.000	P3	Which candidate would you hire for this AI adoption and transformation specialist role?	SPK				shared	manual	310	0	-9000		18000
184.000	9.000	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-20000				18000
204.000	0.815	GROUP	(0.8)	SIL				shared	manual	11000				
204.815	14.109	P1	I can go.	SPK		0.032140	5.05	mic9	manual	0	815	815		26230
205.809	13.699	P1	I think candidate C would be a right choice for this because this requires some experience with understanding the business, translating that into technical information as well.	SPK				shared	manual	-13115	-13115	1809		26958
205.809	13.115	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-13699				26230
219.144	4.344	P1	And since this is a high-level position, not a technical position per se,	SPK		0.022028	6.71	mic9	manual	220	-364	15144		728
219.144	0.364	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-4344				728
223.488	0.512	GROUP	(0.5)	SIL				shared	manual	3980				
224.000	9.000	P1	I think candidate C would be better because they have experience both with sales and the technical domain.	SPK				shared	manual	0	512	20000		
233.000	0.590	GROUP	(0.6)	SIL				shared	manual	0				500
233.033	0.500	P1	[BRE]	BRE				shared	manual	-557				500
233.590	10.863	P1	They also had some experience in implementing the projects before and, most importantly, having change management and cross-functional collaboration.	SPK		0.023488	6.92	mic9	manual	57	590	29590		
244.453	1.547	GROUP	(1.5)	SIL				shared	manual	0				
246.000	9.491	P1	would be like an ideal must-have or like nice-to-have features for this particular position.	SPK				shared	manual	0	1547	42000		
255.491	0.661	GROUP	(0.7)	SIL				shared	manual	0				
256.152	21.277	P4	I mean, I would agree to that.	SPK		0.017718	2.50	mic12	manual	0	661	661		70858
257.000	16.000	P4	But actually, I was thinking of two candidates, A and C.	SPK				shared	manual	-20429	-20429	1509		62000
257.000	16.000	P4	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-16000				62000
263.000	1.000	P3	mmh	SPK				shared	manual	-10000	-10000	-10000		5000
263.000	1.000	P3	[OVL:competitive]	OVL	competitive			shared	manual	-1000				5000
263.000	1.000	P3	[OVL:competitive]	OVL	competitive			shared	manual	-1000				5000
