onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
454.064	21.929	P3	I would probably go with C I think would be my preferred one but A is also a strong candidate and B is not necessarily very preferred in my mind because B is more technical so they would maybe work with the other candidate for like another position	SPK		0.028673	1.95	mic11	manual	-23936	-23936	448		47079
454.064	21.929	P3	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-21929				47079
465.132	2.221	P1	um	FP				shared	manual	-10861				6663
473.043	0.500	P2	mmh	BCK				shared	manual	5690			18979	1500
473.582	0.500	P1	yeah	BCK				shared	manual	39			19518	1500
475.993	2.179	GROUP	(2.2)	SIL				shared	manual	1911				2007
478.172	2.402	P4	I think either A or C might be a good choice.	SPK		0.036665	10.08	mic12	manual	0	2179	2179		
480.594	2.742	P4	I wouldn't know which one to choose over the other.	SPK		0.032540	10.16	mic12	manual	20	20	4601		
483.356	2.642	P4	I could probably be happy with either one of those.	SPK		0.025144	9.55	mic12	manual	20	20	7363		
485.998	5.006	GROUP	(5.0)	SIL				shared	manual	0				500
489.625	0.500	P1	yeah	BCK				shared	manual	-1379				500
491.004	6.629	P2	Good structure and planning is, I think, a very important point that C has.	SPK		0.009229	3.98	mic10	manual	879	5006	5006		0
497.633	2.210	GROUP	(2.2)	SIL				shared	manual	0				0
499.843	6.886	P2	A, feels a very technical and very much specific into a certain thing that he has done.	SPK		0.014959	4.33	mic10	manual	0	2210	13845		0
506.729	0.080	GROUP	(.)	SIL				shared	manual	0				0
506.809	16.213	P2	But C, he seems to be more flexible around different skill sets and he can thrive in different environments, like let it be technical skills like machine learning or data analysis or communication skills where you require good person skills.	SPK		0.013856	4.80	mic10	manual	0	80	20811		
523.022	1.541	GROUP	(1.5)	SIL				shared	manual	0				500
523.945	0.500	P4	mm-hmm	BCK				shared	manual	-618				500
524.563	4.724	P2	So I feel C is a more flexible candidate and good fit for	SPK		0.014109	4.61	mic10	manual	118	1541	38565		0
529.287	4.999	GROUP	(5.0)	SIL				shared	manual	0				500
531.963	0.500	P3	yeah	BCK				shared	manual	-2323				500
534.286	1.901	P3	I agree	SPK		0.010472	1.65	shared	manual	1823	4999	4999		44
536.143	1.141	P4	I can agree with that as well.	SPK		0.019873	8.81	mic12	manual	-44	-44	-44		44
537.284	0.581	GROUP	(0.6)	SIL				shared	manual	0				
537.865	1.021	P4	We could go for C.	SPK		0.018564	9.41	mic12	manual	0	581	1678		
538.886	1.113	GROUP	(1.1)	SIL				shared	manual	0				
539.999	2.000	P3	What do you think?	SPK				shared	manual	0	1113	1113		8250
540.046	2.000	P2	yeah	SPK				shared	manual	-1953	-1953	-1953		8436
540.046	1.953	P2	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-2000				8250
540.551	1.760	P2	What do you think, Grace?	SPK		0.066494	9.75	mic9	manual	-1448	-1495	-1448		7956
540.551	1.448	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1760				7240
540.551	1.495	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1448				7426
542.000	2.000	P1	Yeah, I think it's fine… with C.	SPK				shared	manual	-46	-311	-311		714
542.000	0.311	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-2000				714
544.000	3.069	P1	Um, I agree with what you said.	SPK				shared	manual	1689	0	1689		
547.069	3.280	GROUP	(3.3)	SIL				shared	manual	0				3760
547.305	2.000	P1	[SOFT LAUGHTER]	LAU				shared	manual	-3044				2716
548.589	2.000	P1	uh	FP				shared	manual	-716				2716
550.349	2.000	P1	yeah	SPK				shared	manual	-240	3280	8038		240
552.349	0.280	GROUP	(0.3)	SIL				shared	manual	0				
552.629	0.380	P4	We agree?	SPK		0.028012	9.72	mic12	manual	0	280	280		
553.009	0.409	GROUP	(0.4)	SIL				shared	manual	0				
553.418	2.000	P2	yeah	SPK				shared	manual	0	409	409		2575
554.389	0.500	P3	alright	BCK				shared	manual	-1029			971	500
555.000	10.000	P1	Okay, then I'm going to send to all of you a form to select the candidate, but you have to choose one person among you who feels in the form and send it in.	SPK				shared	manual	111	-418	-418		20910
555.000	0.418	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-10000				2075
555.005	9.666	P3	Alright	SPK		0.007716	2.05	mic9	manual	-413	-9995	-9995		20571
555.005	0.413	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-9666				2065
555.005	9.666	P3	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-413				20571
564.671	0.663	GROUP	(0.7)	SIL				shared	manual	0				329
565.334	2.001	MODERATOR	So you can do that now.	SPK		0.002056	1.09	shared	manual	0	663	663		0
567.335	2.149	GROUP	(2.1)	SIL				shared	manual	0				
569.484	0.421	P4	P1?	SPK		0.030351	9.33	mic12	manual	0	2149	2149		0
569.905	2.011	GROUP	(2.0)	SIL				shared	manual	0				0
571.916	0.801	P1	You want me to send it?	SPK		0.030795	10.52	mic9	manual	0	2011	2011		0
572.717	0.132	GROUP	(.)	SIL				shared	manual	0				0
572.849	1.042	P4	I mean, you're P1.	SPK		0.040826	2.67	mic12	manual	0	132	132		0
573.891	0.787	GROUP	(0.8)	SIL				shared	manual	0				0
574.678	0.380	P1	Okay.	SPK		0.138734	1.42	mic9	manual	0	787	787		1
575.057	2.000	P1	[LAUGHTER]	LAU				shared	manual	-1				1
