group_id	task	PC1_mean	PC1_std	PC2_mean	PC2_std	PC3_mean	PC3_std	PC4_mean	PC4_std	PC5_mean	PC5_std	PC6_mean	PC6_std
grp-07	T1	-0.38917696724782525	1.6886589783012353	0.09493431088604207	0.8592896404461392	-1.0226155807379593	0.5466588742672606	-1.0321937895470208	1.0482172132207779	0.3849746608039694	1.1101133573436275	-0.775744062663768	0.5592375301454171
grp-07	T2	-0.09320364201751609	1.4844693645100995	0.06492720505704522	0.8457062597882983	0.8305116597427485	0.5142118009534032	-0.43045459630882044	0.8130464178338842	-0.18874641266866943	0.9456209196041813	-0.2858035081066736	0.7512099388461647
grp-07	T3	1.4696818928402946	2.582790110069224	0.5895020148957367	1.096539928791009	-0.7806249112115242	0.6041106646388615	-0.6925019406517151	0.8911208412096908	-0.4723099186513515	1.209528956849238	-0.513371226523093	0.8498732451781078
grp-08	T1	-0.5854643822139407	1.4643899725219556	-0.715096928399476	1.2519187732775467	1.0342750430182588	0.5592369442850869	-0.013676904728070004	0.8905145181601748	-0.19647533302909176	0.9191596331189277	-0.25006209773895993	0.5146607735544857
grp-08	T2	-0.06559015354380864	1.6572329454747563	0.2340934459706803	1.1521583774469266	0.09149744511297256	0.8403926408239846	0.13128737032491533	0.9948855742187345	-0.5665317435946087	0.6407954836573183	-0.2216912506774143	0.6345550084155976
grp-08	T3	0.34820479995714476	1.6318271846648817	0.25891275451918644	0.8539688769106742	-0.908152153397878	0.47499807916061765	0.20486087978441994	0.9590294497447162	0.5713003516072922	1.0634479012728693	-0.1886384158507325	0.4881791242020142
grp-09	T2	-0.7987747036056493	1.3378758153265662	-0.7024342420507791	1.4281927764007942	0.5543983205803701	0.5128520388663165	0.07447326931963778	0.5684348712619434	-0.6602879241773529	0.6417947922756803	-0.21573271049315793	0.467000086993717
grp-09	T3	0.40438150599920986	1.5572793475478641	0.6008455247667929	1.2839981363647153	-0.515269645119288	0.602096043775253	0.4178894007595747	1.1755578486016913	0.7442034446554897	0.8387109867608586	0.13421995394450964	1.166858261164075
grp-10	T1	-0.4936499048335379	1.282742373347684	0.14296074978220333	0.9634314497136708	-1.186672933964338	0.39823487779525135	-0.06784544134181536	0.5994819592341372	0.5280472346897824	0.9860651506615957	-0.1636057127530794	0.6468935892095294
grp-10	T2	-0.496416217030108	1.333470378259736	-0.17166165893945887	1.1271591531968352	0.6343306175361155	0.5623226715311915	-0.10616941484485298	0.9225852624603099	-0.1264380341742427	0.8656006074089093	0.029592607420902126	0.5245316574160335
grp-10	T3	0.3948535012265423	1.909582318598139	0.180562956391913	1.0775384088189024	-0.06380696517695125	0.5791731356079521	0.3400508661753611	0.9128863116689299	-0.3422133010287695	0.7360146634411884	-0.12806231829130332	0.8001718681748233
grp-11	T1	0.14070429497800124	2.1526697522021663	-0.9660491617175014	0.7690442661145384	-0.7572032299425882	0.7459917004079911	-0.034499430971315435	0.9569015916972213	0.051358549999963345	0.5505845545998039	0.27134447602056927	0.8501439409687642
grp-11	T2	-0.4354835246580866	1.718254763613064	0.2970939296969619	1.2742609086284804	1.1972951723350818	0.5134470213721706	0.21363932758165544	1.1622939988880863	-0.06791768023472809	0.9574855532851587	0.12313374795653742	0.9536701871608338
grp-11	T3	1.0798122593972166	2.0360763468822447	0.24088925720992654	0.8559353078684206	-0.8486840091135421	0.5900567444441915	0.7478271081529597	1.0845342858697504	0.24293181686541526	1.0131797776292693	-0.30943938519013836	1.081908893105101
grp-12	T1	-0.4954104064918362	1.2455867672905143	-1.1304823684820635	0.930437508106068	-0.0056344471208720276	0.49066619794315347	-0.028183840415569848	0.7785450278527165	0.4514949228684042	0.9261145862894857	0.013186376323401618	0.40526427485324273
grp-12	T2	-0.15449530801607045	1.3490014358398292	0.3784154322728428	0.7203659742471559	0.8976400966495978	0.45280496968298956	0.15214142879055917	1.1511874681493455	-0.5736963831694197	1.026754212906846	0.1644509820032432	0.6411839468079628
grp-12	T3	1.2188042587583057	1.975926723566733	0.3793960516973056	0.38733612919434707	-1.1435433564870696	0.38416338733879507	0.33113787404054235	1.0638929160810013	0.34571472656547286	0.5008943266288072	-0.4661426734176731	0.9793115230749019
grp-13	T1	-0.5711670532194044	1.3052073947576572	-0.4707116722263639	1.4531888894857217	-0.13812453655505685	0.9743407055199633	-0.3308319761312858	0.6574529632507123	0.5039331787080761	0.9341648739714794	0.4582147022008265	1.076509768711832
grp-13	T2	-0.786134879238711	1.1995213837020497	0.15072049539232987	0.9716218498402952	-0.026389848258267474	1.1008862014992702	0.38759062539105255	0.6211172348993836	-0.34245404077752273	1.0778618697201325	0.15845518050186955	0.6173304971986012
grp-14	T1	-0.45846207334803313	1.572443506420295	-0.8787575141722934	0.9586914092061964	-0.4267896891428912	0.6538867447631251	-0.20144213010876164	0.6027645797019289	0.13966242582822744	0.8628369187857445	-0.14077432763588088	0.6808850298876503
grp-14	T2	0.09254785775489718	1.6487984420900315	0.26977966325905156	1.2308574247678827	0.8586521457659508	0.5382774920199408	0.1108485606716088	0.884469922406386	-0.2972775643608398	0.6626484406850308	0.6885321692262144	1.160639244012263
grp-14	T3	0.5414282336688133	1.851966653377052	0.3416438368100747	1.19698593925568	-1.165675093292892	0.7825920768128963	0.5339030119414724	1.551891806826516	0.7366745626017603	1.05983233808011	0.1315496365815463	1.1974836645454547
grp-15	T1	0.9951249133921656	1.877319652101397	-0.6934864127901005	0.5478323724869641	-0.23468873740435583	0.49291451180573936	-0.12108006902583485	0.8006340378004125	0.2679764089138209	0.6916450174188353	0.9179146868556948	1.5206076382757705
grp-15	T2	-0.12159299946336187	1.5790752417447431	0.8515568220413806	0.8105861153479472	-1.0249715876635646	0.6756839716900409	0.14746312074264026	0.8622272722653666	-0.19277167981543555	0.9643016575061673	-0.028753334034395985	0.9435122158677527
grp-15	T3	-0.09585841192743011	1.5208814159722628	-0.39919410899618446	1.2850838909225495	1.4578164006330419	0.5641374997893229	-0.2252026342733029	1.151810139931288	0.6024194041533126	0.5685731691859233	0.06653939070635435	0.8985078018813077
grp-16	T1	-0.7102523647443059	1.3148890458576459	0.008389395501633621	0.8674948500061046	-0.5492716938522852	0.7516039213749336	-0.2610871323790336	0.7805728381337507	-0.5773481462290828	0.9545438714478668	0.3008767030504906	0.9229122861655422
grp-16	T2	0.10680027883423755	2.1160343845365155	-0.42705056609674175	0.8137090077526112	0.38667573051631465	1.0208997849121733	-0.4002803627807883	0.8190322885010126	-0.22837911596198096	0.7759460632152524	0.2975371015752641	0.7967389734806034
grp-16	T3	0.8126248812272729	1.9838808940976538	0.7152116722275352	0.9278311467889878	-0.23394615728923746	0.5899545394859821	-0.33745703939775384	1.1826494729671224	0.7364358692054266	0.6394754457241212	-0.27798931419453415	1.0989179058065839
