group_id	task_id	window_index	kmeans_state
grp-08	T2	35	3
grp-08	T2	36	3
grp-08	T3	12	0
grp-08	T3	13	1
grp-08	T3	14	2
grp-08	T3	15	3
grp-08	T3	16	1
grp-08	T3	17	1
grp-08	T3	18	5
grp-08	T3	19	1
grp-08	T3	20	4
grp-08	T3	21	1
grp-08	T3	22	5
grp-08	T3	23	5
grp-08	T3	24	5
grp-08	T3	25	5
grp-08	T3	26	4
grp-08	T3	27	2
grp-08	T3	28	2
grp-08	T3	29	0
grp-08	T3	30	3
grp-08	T3	31	0
grp-08	T3	32	3
grp-08	T3	33	3
grp-08	T3	34	3
grp-09	T2	2	0
grp-09	T2	3	0
grp-09	T2	4	0
grp-09	T2	5	0
grp-09	T2	6	0
grp-09	T2	7	0
grp-09	T2	8	0
grp-09	T2	9	3
grp-09	T2	10	0
grp-09	T2	11	4
grp-09	T2	12	4
grp-09	T2	13	4
grp-09	T2	14	4
grp-09	T2	15	4
grp-09	T2	16	4
grp-09	T2	17	5
grp-09	T2	18	1
grp-09	T2	19	5
grp-09	T2	20	3
grp-09	T2	21	3
grp-09	T2	22	3
grp-09	T3	8	1
grp-09	T3	9	1
grp-09	T3	10	2
grp-09	T3	11	5
grp-09	T3	12	0
grp-09	T3	13	1
grp-09	T3	14	1
grp-09	T3	15	4
grp-09	T3	16	3
grp-09	T3	17	5
grp-09	T3	18	2
grp-09	T3	19	2
grp-09	T3	20	0
grp-09	T3	21	2
grp-09	T3	22	4
grp-09	T3	23	4
grp-09	T3	24	4
grp-09	T3	25	3
grp-09	T3	26	3
grp-09	T3	27	3
grp-10	T1	7	4
grp-10	T1	8	0
grp-10	T1	9	0
grp-10	T1	10	0
grp-10	T1	11	0
grp-10	T1	12	5
grp-10	T1	13	5
grp-10	T1	14	0
grp-10	T1	15	0
grp-10	T1	16	0
grp-10	T1	17	0
grp-10	T1	18	1
grp-10	T1	19	3
grp-10	T1	20	3
grp-10	T1	21	3
grp-10	T1	22	3
grp-10	T2	2	3
grp-10	T2	3	3
grp-10	T2	4	3
grp-10	T2	5	4
grp-10	T2	6	4
grp-10	T2	7	4
grp-10	T2	8	0
grp-10	T2	9	0
grp-10	T2	10	0
grp-10	T2	11	0
grp-10	T2	12	5
grp-10	T2	13	5
grp-10	T2	14	4
grp-10	T2	15	3
grp-10	T2	16	3
grp-10	T2	17	5
grp-10	T2	18	0
grp-10	T2	19	0
grp-10	T2	20	2
grp-10	T2	21	4
grp-10	T2	22	4
grp-10	T2	23	0
grp-10	T2	24	4
grp-10	T2	25	4
grp-10	T2	26	4
grp-10	T2	27	1
grp-10	T2	28	1
grp-10	T2	29	4
grp-10	T2	30	3
grp-10	T2	31	3
grp-10	T2	32	3
grp-10	T3	8	0
grp-10	T3	9	0
grp-10	T3	10	1
grp-10	T3	11	0
grp-10	T3	12	2
grp-10	T3	13	0
grp-10	T3	14	2
grp-10	T3	15	4
grp-10	T3	16	4
grp-10	T3	17	1
grp-10	T3	18	5
grp-10	T3	19	5
grp-10	T3	20	1
grp-10	T3	21	5
grp-10	T3	22	3
grp-10	T3	23	3
grp-10	T3	24	3
grp-11	T1	0	0
grp-11	T1	1	0
grp-11	T1	2	0
grp-11	T1	3	0
grp-11	T1	4	0
grp-11	T1	5	0
grp-11	T1	6	5
grp-11	T1	7	2
grp-11	T1	8	0
grp-11	T1	9	2
grp-11	T1	10	2
grp-11	T1	11	1
grp-11	T1	12	1
grp-11	T1	13	0
grp-11	T1	14	0
grp-11	T1	15	0
grp-11	T1	16	4
grp-11	T1	17	2
grp-11	T1	18	3
grp-11	T1	19	3
grp-11	T1	20	3
grp-11	T1	21	0
grp-11	T2	0	4
grp-11	T2	1	3
grp-11	T2	2	4
grp-11	T2	3	3
grp-11	T2	4	3
grp-11	T2	5	0
grp-11	T2	6	0
grp-11	T2	7	0
grp-11	T2	8	0
grp-11	T2	9	0
grp-11	T2	10	4
grp-11	T2	11	4
grp-11	T2	12	4
grp-11	T2	13	4
grp-11	T2	14	4
grp-11	T2	15	4
grp-11	T2	16	4
grp-11	T2	17	1
grp-11	T2	18	5
grp-11	T2	19	1
grp-11	T2	20	1
grp-11	T2	21	5
grp-11	T2	22	4
grp-11	T2	23	5
grp-11	T2	24	4
grp-11	T2	25	3
grp-11	T2	26	4
grp-11	T2	27	4
grp-11	T2	28	3
grp-11	T2	29	3
grp-11	T2	30	3
grp-11	T2	31	3
grp-11	T3	0	1
grp-11	T3	1	4
grp-11	T3	2	4
grp-11	T3	3	1
grp-11	T3	4	0
grp-11	T3	5	1
grp-11	T3	6	1
grp-11	T3	7	1
grp-11	T3	8	0
grp-11	T3	9	2
grp-11	T3	10	2
grp-11	T3	11	5
grp-11	T3	12	1
grp-11	T3	13	1
grp-11	T3	14	4
grp-11	T3	15	5
grp-11	T3	16	5
grp-11	T3	17	3
grp-11	T3	18	3
grp-11	T3	19	3
grp-12	T1	7	4
grp-12	T1	8	0
grp-12	T1	9	0
grp-12	T1	10	0
grp-12	T1	11	0
grp-12	T1	12	5
grp-12	T1	13	0
grp-12	T1	14	5
grp-12	T1	15	0
grp-12	T1	16	0
grp-12	T1	17	0
grp-12	T1	18	2
grp-12	T1	19	0
grp-12	T1	20	0
grp-12	T1	21	0
grp-12	T1	22	3
grp-12	T1	23	3
grp-12	T1	24	3
grp-12	T2	3	4
grp-12	T2	4	4
grp-12	T2	5	4
grp-12	T2	6	0
grp-12	T2	7	4
grp-12	T2	8	4
grp-12	T2	9	3
grp-12	T2	10	4
grp-12	T2	11	4
grp-12	T2	12	3
grp-12	T2	13	4
grp-12	T2	14	4
grp-12	T2	15	4
grp-12	T2	16	4
grp-12	T2	17	2
grp-12	T2	18	5
grp-12	T2	19	4
grp-12	T2	20	1
grp-12	T2	21	5
grp-12	T2	22	2
grp-12	T2	23	5
grp-12	T2	24	4
grp-12	T2	25	1
grp-12	T2	26	1
grp-12	T2	27	4
grp-12	T2	28	3
grp-12	T2	29	3
grp-12	T2	30	3
grp-12	T3	9	1
grp-12	T3	10	1
grp-12	T3	11	3
grp-12	T3	12	2
grp-12	T3	13	5
grp-12	T3	14	2
grp-12	T3	15	5
grp-12	T3	16	2
grp-12	T3	17	5
grp-12	T3	18	1
grp-12	T3	19	5
grp-12	T3	20	1
grp-12	T3	21	1
grp-12	T3	22	5
grp-12	T3	23	1
grp-12	T3	24	3
grp-12	T3	25	3
grp-12	T3	26	3
grp-13	T1	8	0
grp-13	T1	9	0
grp-13	T1	10	0
grp-13	T1	11	0
grp-13	T1	12	0
grp-13	T1	13	0
grp-13	T1	14	4
grp-13	T1	15	4
grp-13	T1	16	2
grp-13	T1	17	4
grp-13	T1	18	2
grp-13	T1	19	2
grp-13	T1	20	3
grp-13	T1	21	3
grp-13	T1	22	3
grp-13	T2	3	4
grp-13	T2	4	3
grp-13	T2	5	0
grp-13	T2	6	0
grp-13	T2	7	0
grp-13	T2	8	0
grp-13	T2	9	4
grp-13	T2	10	4
grp-13	T2	11	4
grp-13	T2	12	4
grp-13	T2	13	4
grp-13	T2	14	4
grp-13	T2	15	3
grp-13	T2	16	4
grp-13	T2	17	4
grp-13	T2	18	4
grp-13	T2	19	5
grp-13	T2	20	1
grp-13	T2	21	1
grp-13	T2	22	5
grp-13	T2	23	3
grp-13	T2	24	3
grp-13	T2	25	3
grp-13	T2	26	3
grp-14	T1	7	0
grp-14	T1	8	0
grp-14	T1	9	2
grp-14	T1	10	0
grp-14	T1	11	0
grp-14	T1	12	0
grp-14	T1	13	3
grp-14	T1	14	1
grp-14	T1	15	4
grp-14	T1	16	0
grp-14	T1	17	5
grp-14	T1	18	0
grp-14	T1	19	0
grp-14	T1	20	5
grp-14	T1	21	5
grp-14	T1	22	3
grp-14	T1	23	3
grp-14	T1	24	3
grp-14	T1	25	3
grp-14	T2	3	4
grp-14	T2	4	3
grp-14	T2	5	3
grp-14	T2	6	2
grp-14	T2	7	2
grp-14	T2	8	4
grp-14	T2	9	1
grp-14	T2	10	0
grp-14	T2	11	2
grp-14	T2	12	4
grp-14	T2	13	4
grp-14	T2	14	4
grp-14	T2	15	5
grp-14	T2	16	5
grp-14	T2	17	4
grp-14	T2	18	4
grp-14	T2	19	2
grp-14	T2	20	4
grp-14	T2	21	4
grp-14	T2	22	2
grp-14	T2	23	4
grp-14	T2	24	5
grp-14	T2	25	1
grp-14	T2	26	1
grp-14	T2	27	1
grp-14	T2	28	3
grp-14	T2	29	3
grp-14	T2	30	3
grp-14	T3	9	1
grp-14	T3	10	0
grp-14	T3	11	0
grp-14	T3	12	1
grp-14	T3	13	1
grp-14	T3	14	1
grp-14	T3	15	0
grp-14	T3	16	2
grp-14	T3	17	2
grp-14	T3	18	5
grp-14	T3	19	5
grp-14	T3	20	4
grp-14	T3	21	5
grp-14	T3	22	3
grp-14	T3	23	3
grp-14	T3	24	3
grp-15	T1	6	1
grp-15	T1	7	2
grp-15	T1	8	5
grp-15	T1	9	2
grp-15	T1	10	2
grp-15	T1	11	5
grp-15	T1	12	2
grp-15	T1	13	2
grp-15	T1	14	2
grp-15	T1	15	2
grp-15	T1	16	2
grp-15	T1	17	2
grp-15	T1	18	5
grp-15	T1	19	5
grp-15	T1	20	1
grp-15	T1	21	3
grp-15	T1	22	3
grp-15	T1	23	3
grp-15	T2	3	3
grp-15	T2	4	0
grp-15	T2	5	0
grp-15	T2	6	0
grp-15	T2	7	5
grp-15	T2	8	4
grp-15	T2	9	3
grp-15	T2	10	3
grp-15	T2	11	3
grp-15	T2	12	3
grp-15	T2	13	4
grp-15	T2	14	2
grp-15	T2	15	4
grp-15	T2	16	2
grp-15	T2	17	5
grp-15	T2	18	5
grp-15	T2	19	4
grp-15	T2	20	4
grp-15	T2	21	4
grp-15	T2	22	1
grp-15	T2	23	1
grp-15	T2	24	5
grp-15	T2	25	1
grp-15	T2	26	3
grp-15	T2	27	3
grp-15	T2	28	3
grp-15	T3	10	0
grp-15	T3	11	1
grp-15	T3	12	0
grp-15	T3	13	0
grp-15	T3	14	0
grp-15	T3	15	0
grp-15	T3	16	1
grp-15	T3	17	2
grp-15	T3	18	4
grp-15	T3	19	2
grp-15	T3	20	5
grp-15	T3	21	4
grp-15	T3	22	5
grp-15	T3	23	5
grp-15	T3	24	3
grp-15	T3	25	3
grp-15	T3	26	3
grp-16	T1	6	0
grp-16	T1	7	0
grp-16	T1	8	0
grp-16	T1	9	0
grp-16	T1	10	4
grp-16	T1	11	4
grp-16	T1	12	4
grp-16	T1	13	3
grp-16	T1	14	4
grp-16	T1	15	4
grp-16	T1	16	5
grp-16	T1	17	2
grp-16	T1	18	3
grp-16	T1	19	1
grp-16	T1	20	4
grp-16	T1	21	3
grp-16	T1	22	3
grp-16	T1	23	3
grp-16	T2	3	3
grp-16	T2	4	3
grp-16	T2	5	4
grp-16	T2	6	3
grp-16	T2	7	4
grp-16	T2	8	2
grp-16	T2	9	0
grp-16	T2	10	4
grp-16	T2	11	4
grp-16	T2	12	2
grp-16	T2	13	2
grp-16	T2	14	2
grp-16	T2	15	5
grp-16	T2	16	5
grp-16	T2	17	0
grp-16	T2	18	5
grp-16	T2	19	5
grp-16	T2	20	1
grp-16	T2	21	2
grp-16	T2	22	4
grp-16	T2	23	3
grp-16	T2	24	3
grp-16	T2	25	3
grp-16	T3	10	4
grp-16	T3	11	5
grp-16	T3	12	2
grp-16	T3	13	1
grp-16	T3	14	4
grp-16	T3	15	5
grp-16	T3	16	5
grp-16	T3	17	1
grp-16	T3	18	5
grp-16	T3	19	5
grp-16	T3	20	1
grp-16	T3	21	4
grp-16	T3	22	2
grp-16	T3	23	5
grp-16	T3	24	1
grp-16	T3	25	5
grp-16	T3	26	5
grp-16	T3	27	5
grp-16	T3	28	0
grp-16	T3	29	3
grp-16	T3	30	3
grp-16	T3	31	3
grp-16	T3	32	3
grp-16	T3	33	3
grp-16	T3	34	3
