group_id	task	S0_pct	S1_pct	S2_pct	S3_pct	S4_pct	S5_pct	n_windows
grp-07	T1	0.23076923076923078	0.0	0.0	0.3076923076923077	0.15384615384615385	0.3076923076923077	13
grp-07	T2	0.0967741935483871	0.06451612903225806	0.03225806451612903	0.16129032258064516	0.3225806451612903	0.3225806451612903	31
grp-07	T3	0.058823529411764705	0.0	0.058823529411764705	0.23529411764705882	0.058823529411764705	0.5882352941176471	17
grp-08	T1	0.23076923076923078	0.07692307692307693	0.0	0.23076923076923078	0.3076923076923077	0.15384615384615385	26
grp-08	T2	0.17647058823529413	0.058823529411764705	0.029411764705882353	0.20588235294117646	0.29411764705882354	0.23529411764705882	34
grp-08	T3	0.13043478260869565	0.21739130434782608	0.13043478260869565	0.21739130434782608	0.08695652173913043	0.21739130434782608	23
grp-09	T2	0.38095238095238093	0.047619047619047616	0.0	0.19047619047619047	0.2857142857142857	0.09523809523809523	21
grp-09	T3	0.1	0.2	0.2	0.2	0.2	0.1	20
grp-10	T1	0.5	0.0625	0.0	0.25	0.0625	0.125	16
grp-10	T2	0.22580645161290322	0.06451612903225806	0.03225806451612903	0.25806451612903225	0.3225806451612903	0.0967741935483871	31
grp-10	T3	0.23529411764705882	0.17647058823529413	0.11764705882352941	0.17647058823529413	0.11764705882352941	0.17647058823529413	17
grp-11	T1	0.5	0.09090909090909091	0.18181818181818182	0.13636363636363635	0.045454545454545456	0.045454545454545456	22
grp-11	T2	0.15625	0.09375	0.0	0.25	0.40625	0.09375	32
grp-11	T3	0.1	0.35	0.1	0.15	0.15	0.15	20
grp-12	T1	0.6111111111111112	0.0	0.05555555555555555	0.16666666666666666	0.05555555555555555	0.1111111111111111	18
grp-12	T2	0.03571428571428571	0.10714285714285714	0.07142857142857142	0.17857142857142858	0.5	0.10714285714285714	28
grp-12	T3	0.0	0.3333333333333333	0.16666666666666666	0.2222222222222222	0.0	0.2777777777777778	18
grp-13	T1	0.4	0.0	0.2	0.2	0.2	0.0	15
grp-13	T2	0.16666666666666666	0.08333333333333333	0.0	0.25	0.4166666666666667	0.08333333333333333	24
grp-14	T1	0.42105263157894735	0.05263157894736842	0.05263157894736842	0.2631578947368421	0.05263157894736842	0.15789473684210525	19
grp-14	T2	0.03571428571428571	0.14285714285714285	0.17857142857142858	0.17857142857142858	0.35714285714285715	0.10714285714285714	28
grp-14	T3	0.1875	0.25	0.125	0.1875	0.0625	0.1875	16
grp-15	T1	0.0	0.1111111111111111	0.5	0.16666666666666666	0.0	0.2222222222222222	18
grp-15	T2	0.11538461538461539	0.11538461538461539	0.07692307692307693	0.3076923076923077	0.23076923076923078	0.15384615384615385	26
grp-15	T3	0.29411764705882354	0.11764705882352941	0.11764705882352941	0.17647058823529413	0.11764705882352941	0.17647058823529413	17
grp-16	T1	0.2222222222222222	0.05555555555555555	0.05555555555555555	0.2777777777777778	0.3333333333333333	0.05555555555555555	18
grp-16	T2	0.08695652173913043	0.043478260869565216	0.21739130434782608	0.2608695652173913	0.21739130434782608	0.17391304347826086	23
grp-16	T3	0.04	0.16	0.08	0.24	0.12	0.36	25
