group_id	task	S0_pct	S1_pct	S2_pct	S3_pct	S4_pct	S5_pct	n_windows
grp-07	T1	0.0	0.0	0.38461538461538464	0.3076923076923077	0.0	0.3076923076923077	13
grp-07	T2	0.4838709677419355	0.12903225806451613	0.0	0.0967741935483871	0.2903225806451613	0.0	31
grp-07	T3	0.0	0.0	0.7058823529411765	0.17647058823529413	0.0	0.11764705882352941	17
grp-08	T1	0.34615384615384615	0.19230769230769232	0.0	0.2692307692307692	0.19230769230769232	0.0	26
grp-08	T2	0.38235294117647056	0.17647058823529413	0.0	0.14705882352941177	0.29411764705882354	0.0	34
grp-08	T3	0.0	0.0	0.5217391304347826	0.13043478260869565	0.0	0.34782608695652173	23
grp-09	T2	0.14285714285714285	0.5714285714285714	0.0	0.14285714285714285	0.14285714285714285	0.0	21
grp-09	T3	0.0	0.0	0.4	0.15	0.0	0.45	20
grp-10	T1	0.0	0.3125	0.0	0.1875	0.0	0.5	16
grp-10	T2	0.22580645161290322	0.3225806451612903	0.0	0.1935483870967742	0.25806451612903225	0.0	31
grp-10	T3	0.23529411764705882	0.29411764705882354	0.23529411764705882	0.17647058823529413	0.058823529411764705	0.0	17
grp-11	T1	0.045454545454545456	0.4090909090909091	0.0	0.13636363636363635	0.09090909090909091	0.3181818181818182	22
grp-11	T2	0.28125	0.125	0.0	0.25	0.34375	0.0	32
grp-11	T3	0.0	0.0	0.4	0.15	0.0	0.45	20
grp-12	T1	0.0	0.8333333333333334	0.0	0.16666666666666666	0.0	0.0	18
grp-12	T2	0.5357142857142857	0.0	0.0	0.14285714285714285	0.32142857142857145	0.0	28
grp-12	T3	0.0	0.0	0.7777777777777778	0.16666666666666666	0.0	0.05555555555555555	18
grp-13	T1	0.13333333333333333	0.4	0.13333333333333333	0.2	0.13333333333333333	0.0	15
grp-13	T2	0.041666666666666664	0.08333333333333333	0.25	0.20833333333333334	0.4166666666666667	0.0	24
grp-14	T1	0.0	0.6842105263157895	0.10526315789473684	0.21052631578947367	0.0	0.0	19
grp-14	T2	0.5714285714285714	0.0	0.0	0.17857142857142858	0.25	0.0	28
grp-14	T3	0.0	0.0	0.1875	0.1875	0.0	0.625	16
grp-15	T1	0.0	0.0	0.16666666666666666	0.16666666666666666	0.0	0.6666666666666666	18
grp-15	T2	0.0	0.0	0.5	0.19230769230769232	0.0	0.3076923076923077	26
grp-15	T3	0.47058823529411764	0.35294117647058826	0.0	0.17647058823529413	0.0	0.0	17
grp-16	T1	0.2222222222222222	0.4444444444444444	0.0	0.16666666666666666	0.16666666666666666	0.0	18
grp-16	T2	0.30434782608695654	0.0	0.30434782608695654	0.21739130434782608	0.17391304347826086	0.0	23
grp-16	T3	0.0	0.0	0.44	0.2	0.04	0.32	25
