group_id	task_id	window_index	hmm_state
grp-08	T2	14	0
grp-08	T2	15	0
grp-08	T2	16	4
grp-08	T2	17	4
grp-08	T2	18	0
grp-08	T2	19	0
grp-08	T2	20	0
grp-08	T2	21	4
grp-08	T2	22	4
grp-08	T2	23	0
grp-08	T2	24	0
grp-08	T2	25	0
grp-08	T2	26	4
grp-08	T2	27	4
grp-08	T2	28	4
grp-08	T2	29	4
grp-08	T2	30	0
grp-08	T2	31	0
grp-08	T2	32	0
grp-08	T2	33	3
grp-08	T2	34	3
grp-08	T2	35	3
grp-08	T2	36	3
grp-08	T3	12	5
grp-08	T3	13	5
grp-08	T3	14	5
grp-08	T3	15	5
grp-08	T3	16	5
grp-08	T3	17	5
grp-08	T3	18	5
grp-08	T3	19	5
grp-08	T3	20	2
grp-08	T3	21	2
grp-08	T3	22	2
grp-08	T3	23	2
grp-08	T3	24	2
grp-08	T3	25	2
grp-08	T3	26	2
grp-08	T3	27	2
grp-08	T3	28	2
grp-08	T3	29	2
grp-08	T3	30	2
grp-08	T3	31	2
grp-08	T3	32	3
grp-08	T3	33	3
grp-08	T3	34	3
grp-09	T2	2	1
grp-09	T2	3	1
grp-09	T2	4	1
grp-09	T2	5	1
grp-09	T2	6	1
grp-09	T2	7	1
grp-09	T2	8	1
grp-09	T2	9	1
grp-09	T2	10	1
grp-09	T2	11	1
grp-09	T2	12	1
grp-09	T2	13	1
grp-09	T2	14	4
grp-09	T2	15	4
grp-09	T2	16	4
grp-09	T2	17	0
grp-09	T2	18	0
grp-09	T2	19	0
grp-09	T2	20	3
grp-09	T2	21	3
grp-09	T2	22	3
grp-09	T3	8	5
grp-09	T3	9	5
grp-09	T3	10	5
grp-09	T3	11	5
grp-09	T3	12	5
grp-09	T3	13	5
grp-09	T3	14	5
grp-09	T3	15	5
grp-09	T3	16	5
grp-09	T3	17	2
grp-09	T3	18	2
grp-09	T3	19	2
grp-09	T3	20	2
grp-09	T3	21	2
grp-09	T3	22	2
grp-09	T3	23	2
grp-09	T3	24	2
grp-09	T3	25	3
grp-09	T3	26	3
grp-09	T3	27	3
grp-10	T1	7	1
grp-10	T1	8	1
grp-10	T1	9	1
grp-10	T1	10	1
grp-10	T1	11	1
grp-10	T1	12	5
grp-10	T1	13	5
grp-10	T1	14	5
grp-10	T1	15	5
grp-10	T1	16	5
grp-10	T1	17	5
grp-10	T1	18	5
grp-10	T1	19	5
grp-10	T1	20	3
grp-10	T1	21	3
grp-10	T1	22	3
grp-10	T2	2	3
grp-10	T2	3	3
grp-10	T2	4	3
