session_id	participant_id	et_available	sample_rate_hz	duration_s	gaze_valid_frac	gaze_out_of_bounds_frac	gaze_x_mean	gaze_y_mean	gaze_x_std	gaze_y_std	gaze_dispersion	gaze_velocity_mean	gaze_velocity_p95	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	pupil_range	pupil_velocity_mean	pupil_left_mean	pupil_right_mean	pupil_left_std	pupil_right_std	pupil_left_missing_frac	pupil_right_missing_frac	pupil_lr_diff_mean	blink_count_est	blink_rate_per_min	blink_duration_mean_s	blink_detectable	qc_flag	qc_notes
ses-20260312_grp-07_run01	P1	True	49.91016170466452	206.27417400002014	0.9177350427350427	0.00031749391469996824	0.522636543549582	0.5321346597523547	0.1129223267360834	0.20252146787083755	0.2169798602643307	0.6846274414660514	3.352129805381824	3.1188902529368185	0.2724129890750735	0.0002460683296799221	0.0822649572649573	3.404	3.548863264911584	3.1140167183348093	3.126809366332409	0.31470236942110436	0.2784599434083055	0.12276612276612275	0.08954933954933952	0.1874786200736854	109	31.7053748085757	0.09963027522749686	True	ok	ok
ses-20260312_grp-07_run01	P2	True	49.91016170466452	206.2742600000347	0.5800310800310801	0.07016075016744809	0.5021540020093771	0.7278211486939048	0.15090347503183346	0.22919014076248143	0.15571990808051503	2.8525158351437256	16.047556788927494	2.6743148024112524	0.43455375583067013	-2.725872879743833e-05	0.41996891996891994	8.113999999999999	6.739073055232856	2.5982429505977893	2.7634931093884583	0.6009002313643544	0.267686732291733	0.5694444444444444	0.548951048951049	0.3780998389694042	0			False	gaze_low_validity;pupil_low_coverage;pupil_left_low_coverage;pupil_right_low_coverage;blink_detection_unreliable	Fewer than 70 % of gaze samples are marked valid; gaze-position and velocity features may be unreliable. | Combined (mean) pupil diameter is missing for more than 30 % of samples; pupil features should be treated with caution. | Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.
ses-20260312_grp-07_run01	P3	True	49.91016170466452	206.2945549999713	0.9063804991745168	0.0003214400514304082	0.5232860709311047	0.5255392692596165	0.07333588662544667	0.15591519996723377	0.14839754248059067	0.47405989628703404	2.4206243191400603	3.2063014571949	0.37171517624254785	7.70204133490578e-05	0.0936195008254832	2.9810000000000003	1.738321113270266	3.137888294314381	3.267941449403447	0.3750873054922823	0.383882909575656	0.12887248713217447	0.1209090026221229	0.19422545747496836	146	42.46355411562471	0.09963300000088392	True	ok	ok
ses-20260312_grp-07_run01	P4	True	49.907670930760574	206.29629500000738	0.9087112751286782	0.01346585444052581	0.4896987282248584	0.6407621352997757	0.12916237432557473	0.15290350196153724	0.17376717953953	0.6176526969888914	2.950824507233561	3.2937700117559046	0.3217353903186408	0.00043853661434880295	0.09128872487132178	4.87	3.108481911278456	3.340447166186359	3.2604621427012876	0.3684811490415514	0.30291715391234797	0.19122074390599209	0.10983781683985627	0.13855573307115646	78	22.68581701867129	0.1410265128211811	True	ok	ok
ses-20260313_grp-08_run01	P1	True	49.91016170466452	59.98878800001694	0.9232053422370617	0.0007233273056057866	0.5954471971066908	0.5256267992766727	0.10043027909296032	0.11769750503849696	0.12774903621101424	0.582618845394406	2.5431274612187003	2.7116278481012657	0.20119224615189374	6.437729407689302e-05	0.07679465776293826	5.776	2.581723919057904	2.560589004229143	2.8479008112094397	0.16317352496212828	0.20173217473627186	0.1315525876460768	0.0944908180300501	0.2905251177394035	19	19.003551130249175	0.07909084210711483	True	ok	ok
ses-20260313_grp-08_run01	P2	True	49.91016170466452	59.988715999992564	0.9756260434056762	0.005817932922655715	0.5612076317590692	0.5856766598220396	0.09053588478545362	0.09785180536860089	0.10069176864559003	0.4138139178470701	2.1014103678315665	2.7191189253935657	0.12534018654273935	-0.00041324465737840925	0.024373956594323842	1.4054999999999997	1.0060210547547932	2.685112897588256	2.758936569808646	0.11485794538317247	0.13991178708939087	0.044741235392320555	0.05776293823038392	0.08474719304599783	6	6.001128612255089	0.08014533334062435	True	ok	ok
ses-20260313_grp-08_run01	P3	True	49.91016170466452	59.98887699999614	0.9352253756260434	0.0032131381649410924	0.4810882541949304	0.5649504105676544	0.08996001333839379	0.12408567073418368	0.12760198442056495	0.4208511290063303	2.2201985926500116	2.5481642270617635	0.13690542337765432	0.00015012512405303778	0.06477462437395665	2.016	1.0983472484336259	2.5742387306166603	2.5253881245474292	0.12875386823893176	0.1465558417352789	0.07412353923205339	0.07779632721202001	0.06607461594732991	19	19.003522936428254	0.10545463157866738	True	ok	ok
ses-20260313_grp-08_run01	P4	True	49.907670930760574	59.989281999995	0.9836393989983305	0.0006788866259334691	0.43860627970128996	0.5488810930074678	0.08010676792943898	0.1442007218882856	0.13900892071671014	0.2758480237576496	1.6164388123202755	2.990677359131025	0.1489280264207597	-0.0007706700075130606	0.016360601001669473	2.1140000000000003	1.029402233689363	3.0234386450051853	2.962794379712132	0.13453560374836812	0.16402393779125488	0.03405676126878132	0.02570951585976633	0.08228656195462479	3	3.0005359957469566	0.10018266665671642	True	ok	ok
ses-20260317_grp-09_run01	P1	True	49.91016155966782	59.989142999984324	0.9585976627712854	0.15743643329850227	0.5252374782305816	0.7175636711947058	0.11055924648216324	0.27938752341746836	0.28848976679467525	0.6827532922077267	3.3307826612906037	2.892909961685824	0.24857674456049286	-0.0012583811947611372	0.04140233722871456	5.843999999999999	2.0431543076689103	2.97050281848929	2.82573897707231	0.24551130582635333	0.24491458601313873	0.11151919866444071	0.05342237061769617	0.1687417142857143	14	14.002533758487257	0.12164999999471807	True	gaze_out_of_bounds	More than 10 % of valid gaze samples fall outside the scene-camera frame [0, 1] in either axis; possible calibration drift or head rotation artefacts.
ses-20260317_grp-09_run01	P2	True	49.91016155966782	59.98916500003543	0.9445742904841402	0.0003534817956875221	0.47722523860021204	0.4409852598091198	0.10761565172865264	0.19072953287381325	0.19353529044832424	0.32030189947393345	1.4239237348567633	3.8772578649699536	0.3192691789669227	-0.0009629187163218344	0.05542570951585979	2.178	1.139737151033854	3.998643958408032	3.7243841764929626	0.3242235126301562	0.293816144827823	0.06878130217028378	0.12220367278797994	0.26556933178833525	16	16.002889855183565	0.15778724998381222	True	ok	ok
