session_id	task_id	participant_id	source_file	window_index	window_start_lsl	window_end_lsl	et_available	sample_rate_hz	duration_s	gaze_valid_frac	gaze_out_of_bounds_frac	gaze_x_mean	gaze_y_mean	gaze_x_std	gaze_y_std	gaze_dispersion	gaze_velocity_mean	gaze_velocity_p95	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	pupil_range	pupil_velocity_mean	pupil_left_mean	pupil_right_mean	pupil_left_std	pupil_right_std	pupil_left_missing_frac	pupil_right_missing_frac	pupil_lr_diff_mean	blink_count_est	blink_rate_per_min	blink_duration_mean_s	blink_detectable	qc_flag	qc_notes
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	0	328080.922928	328110.922928	True	49.91016170466452	29.994409000035375	0.9532710280373832	0.004901960784313725	0.6086389355742298	0.4738200280112045	0.15120320035550355	0.1718897361845711	0.21193121868642179	1.085079601950465	4.86854376716959	3.29337675070028	0.3864016364555778	-0.007962157363613493	0.04672897196261683	3.1399999999999997	4.023076040854826	3.220618699780862	3.357114457831325	0.4136027787075758	0.40114817009340126	0.0861148197596796	0.1134846461949266	0.24245390070921988	9	18.00335522528092	0.07346655554526176	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	1	328095.922928	328125.922928	True	49.91016170466452	29.974373000033665	0.9619238476953907	0.002777777777777778	0.6143554861111111	0.4685602777777778	0.12873199430907406	0.13661008327609137	0.15299960144826646	0.805855630272255	4.1106618537974695	3.350771875	0.34270377029478705	0.005416158370929854	0.038076152304609256	2.984	3.2551603864902217	3.2326548736462097	3.4776168091168094	0.34434380123791514	0.3859561681150563	0.07481629926519706	0.06212424849699394	0.3067954040029651	8	16.013679418730824	0.07513624998682644	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	2	328110.922928	328140.922928	True	49.91016170466452	29.974371999967843	0.9792919171676687	0.0	0.6596072987721692	0.4567004774897681	0.06996913533107972	0.042347328781021897	0.06287040927088898	0.39768212079237325	1.9862185586711512	3.6196712141882674	0.17057967941549884	0.00010845971545894061	0.020708082832331276	2.943	1.6907788310997776	3.4578777385159016	3.7851604765241764	0.14596481944299808	0.19868253924830825	0.0547762191048764	0.046760187040748136	0.34663662790697675	4	8.006839976505846	0.08014524998725392	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	3	328125.922928	328155.922928	True	49.91016170466452	29.994408999977168	0.9732977303070761	0.0013717421124828531	0.6682637174211249	0.48814080932784637	0.09443750268842958	0.08542319833240124	0.09735945145627335	0.6766022750746781	3.470339357881025	3.5418895747599457	0.237162323980867	-0.0028736645445319765	0.026702269692923886	2.943	2.60969636908967	3.4469769452449572	3.6392763713080165	0.22882955737244237	0.270091587823451	0.07343124165554071	0.05073431241655546	0.25549556213017754	4	8.001491211251494	0.0901632500172127	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	4	328140.922928	328170.922928	True	49.91016170466452	29.97437200002605	0.9565798263193053	0.002094972067039106	0.6076977653631285	0.49748002793296087	0.13683781487149407	0.13107805989361485	0.14974131010914662	0.8668401210442925	4.13499050730892	3.3012007681564244	0.26627326403091633	-0.004653923535479572	0.04342017368069473	2.593	3.3479311983415028	3.2429773557341126	3.3657036247334755	0.314030438589745	0.2620105216227377	0.08550434201736812	0.06012024048096187	0.220234375	6	12.010259964735447	0.10686033334544238	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	5	328155.922928	328185.922928	True	49.91016170466452	29.974373000033665	0.9445557782231129	0.0021216407355021216	0.5188898868458274	0.5681231966053748	0.1176727674004554	0.19227159590181375	0.19701259550630287	0.7052105914925458	3.3083980744930046	3.0206078500707214	0.2946873319689178	-0.004723440211463579	0.055444221776887126	2.6174999999999997	3.371998960435092	2.9882806759735487	3.0557255182273044	0.32750015091254986	0.3181155586391834	0.09084836339345359	0.06546426185704746	0.20136775631500742	10	20.01709927341353	0.104189100000076	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	6	328170.922928	328200.922928	True	49.91016170466452	29.99440800002776	0.9365821094793058	0.0014255167498218105	0.5190334996436208	0.655864148253742	0.10837421429783645	0.19746563945290677	0.1982551499020432	0.6380432822648194	2.872564705819668	2.8238681397006413	0.32951436069305706	-0.000781509747398192	0.06341789052069424	2.6959999999999997	3.4467971771250374	2.8415249632892805	2.8074719827586208	0.3598063882729605	0.34378465855301554	0.09078771695594123	0.07076101468624829	0.1659881569207994	14	28.005220173014337	0.1016128571396361	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	7	328185.922928	328215.922928	True	49.91016170466452	29.974372999975458	0.9231796927187709	0.0	0.5017191751085384	0.5194748914616498	0.13497916005159527	0.20169713622235533	0.232421240628951	0.6077506498201721	2.9070449480227065	2.9519717800289436	0.345060747183809	0.0076330471533023764	0.07682030728122913	3.0540000000000003	3.018724990625652	2.9497559115179257	2.9481994156318483	0.369067766048035	0.3572617459513185	0.12424849699398799	0.08550434201736812	0.15905546995377504	17	34.02906876486908	0.09428864706184387	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	8	328200.922928	328230.922928	True	49.91016170466452	29.974371999967843	0.9412157648630595	0.0007097232079489	0.4810740951029098	0.5531665720369056	0.12936833162229527	0.21596150699177769	0.24320771635541394	0.5387599069471046	2.307834654320237	3.0084283179559974	0.32758844450160624	-0.0040487628303653754	0.05878423513694053	2.848	3.140619311135692	3.0212779836916233	2.9895589706933525	0.35929775708689937	0.3424924315645496	0.09886439545758186	0.06546426185704746	0.17371994025392085	15	30.02564991189692	0.08014540000197788	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	9	328215.922928	328245.922928	True	49.91016170466452	29.994408999977168	0.9679572763684913	0.000689655172413793	0.5142440689655172	0.743714827586207	0.07347755094182873	0.14624273480618094	0.1159904827962068	0.48736027647534264	1.8671708714956519	2.730976551724138	0.30273064470463146	-0.005635302766971954	0.03204272363150873	2.349	3.421480347524095	2.8106850174216027	2.6510373185901868	0.33043080909822303	0.3216685571621139	0.04205607476635509	0.034045393858477935	0.21443296089385475	11	22.004100830941606	0.06739509089807556	True	ok	ok
