modality,metric,value_pct,definition,source_file
Physiology (EmotiBit),Windows with >=1 participant valid,95.5,"Fraction of 30s (group,task,window) cells, T1-T4 only, with a non-null hr_mean_bpm for at least 1 of 4 participants",analysis/results/physio_features/physio_window_30s.tsv
Physiology (EmotiBit),Windows with all 4 participants valid,82.6,"Fraction of (group,task,window) cells, T1-T4 only, with a non-null hr_mean_bpm for all 4 participants",analysis/results/physio_features/physio_window_30s.tsv
Physiology (EmotiBit),Participant-window cell validity,92.3,"Of all participant-rows present (T1-T4), fraction with a non-null hr_mean_bpm",analysis/results/physio_features/physio_window_30s.tsv
Eye-tracking (Tobii pupil),Windows with >=1 participant valid,99.6,"Fraction of 30s (group,task,window) cells, T1-T4 only, with a non-null pupil_mean for at least 1 of 4 participants",analysis/results/pupil_features/features_pupil_window_30s.tsv
Eye-tracking (Tobii pupil),Windows with all 4 participants valid,96.7,"Fraction of (group,task,window) cells, T1-T4 only, with a non-null pupil_mean for all 4 participants",analysis/results/pupil_features/features_pupil_window_30s.tsv
Eye-tracking (Tobii pupil),Participant-window cell validity,99.1,"Of all participant-rows present (T1-T4), fraction with a non-null pupil_mean",analysis/results/pupil_features/features_pupil_window_30s.tsv
Transcript (manual annotation),File-level existence,92.5,"37 of 40 possible (group,task) files exist (10 groups x T1-T4; T0 is never transcribed by design)",transcripts/final/*.tsv
Transcript (manual annotation),Span contiguity (within transcribed portion),95.4,"Mean fraction of windows between a file's first and last annotated event that are themselves covered — measures internal completeness of the annotated task span, not comparable to device recording length",transcripts/final/*.tsv
Transcript (manual annotation),Window-level coverage vs. device recording (NOT a completeness gap),35.8,"Of the 37 existing files, fraction of that task's physio/ET-recorded 30s windows containing >=1 annotated event. Low values mostly reflect non-task recording overhead (settling in, glasses fitting, post-task forms) that was deliberately not transcribed, not missing annotation work",transcripts/final/*.tsv
