group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index	lex_word_count	lex_unique_words	lex_ttr	lex_bigram_entropy	lex_trigram_entropy	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_positive_count	lex_negative_count	lex_question_count	lex_suggestion_count	lex_sentiment_ratio	lex_social_composite
grp-07	T2	12	360.0	75.277	0.1919	36.3509	2.8491	0.78	0.0	0.0	1.0	3.0	2.0	2.206	0.0	46.0	38.0	0.8260869565217391	5.44740865188523	5.459431618637296	3.0	4.0	1.0	4.0	0.0	2.0	0.0	0.8	0.1521739130434782
grp-07	T2	13	390.0	77.2885	0.3337	36.3635	2.8078	0.6	1.0	0.0	1.0	2.0	0.0	0.542	0.0	72.0	46.0	0.6388888888888888	6.093409091335662	6.129283016944973	4.0	0.0	0.0	1.0	0.0	4.0	0.0	0.5	0.0694444444444444
grp-07	T2	14	420.0	78.6473	0.4089	36.3688	2.8186	8.516	0.0	0.0	2.0	0.0	0.0	0.0	0.0	39.0	31.0	0.7948717948717948	5.247927513443589	5.209453365628954	6.0	2.0	0.0	3.0	0.0	1.0	0.0	0.75	0.2307692307692307
grp-07	T2	15	450.0	76.3682	0.3335	36.3771	2.967	3.121	0.0	1.0	2.0	0.0	0.0	0.0	0.0	85.0	61.0	0.7176470588235294	6.288092571562528	6.375039431346932	1.0	8.0	0.0	4.0	0.0	0.0	0.0	0.8	0.0588235294117647
grp-07	T2	16	480.0	76.8535	0.2837	36.3761	3.0826	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	79.0	62.0	0.7848101265822784	6.259761193221231	6.266786540694905	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.5	0.0253164556962025
grp-07	T2	17	510.0	73.4641	0.2338	36.3765	3.0322	10.878	1.0	0.0	2.0	0.0	0.0	0.0	0.0	49.0	34.0	0.6938775510204082	5.4599625007211605	5.55458885167764	1.0	3.0	1.0	2.0	0.0	1.0	0.0	0.6666666666666666	0.0612244897959183
grp-07	T2	18	540.0	75.4395	0.1669	36.3799	2.9647	7.736	1.0	0.0	2.0	0.0	0.0	0.0	0.0	67.0	51.0	0.7611940298507462	6.044394119358462	6.022367813028458	1.0	10.0	0.0	4.0	0.0	1.0	1.0	0.8	0.0746268656716417
grp-07	T2	19	570.0	77.5998	0.1501	36.3678	2.9535	0.519	2.0	0.0	2.0	0.0	0.0	0.0	0.0	86.0	55.0	0.6395348837209303	6.226922994910331	6.344698375159712	1.0	8.0	1.0	2.0	0.0	0.0	0.0	0.6666666666666666	0.0348837209302325
grp-07	T2	20	600.0	71.3528	0.2585	36.3606	2.9311	6.502	0.0	0.0	3.0	0.0	0.0	0.0	0.0	62.0	40.0	0.6451612903225806	5.656067050642172	5.740223928941851	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.6666666666666666	0.0483870967741935
grp-07	T2	21	630.0	69.3134	0.3175	36.3449	2.9664	6.778	0.0	0.0	2.0	0.0	0.0	0.0	0.0	95.0	66.0	0.6947368421052632	6.48272834633546	6.539158811108037	3.0	6.0	1.0	1.0	0.0	0.0	0.0	0.5	0.0421052631578947
