group_id	task_id	window_index	window_start_s	audio_energy_mean	audio_pitch_mean	audio_pitch_sd	audio_hnr_mean	gemap_F0semitoneFrom27.5Hz_sma3nz_amean	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevNorm	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile20.0	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile50.0	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile80.0	gemap_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2	gemap_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope	gemap_loudness_sma3_amean	gemap_loudness_sma3_stddevNorm	gemap_loudness_sma3_percentile20.0	gemap_loudness_sma3_percentile50.0	gemap_loudness_sma3_percentile80.0	gemap_loudness_sma3_pctlrange0-2	gemap_loudness_sma3_meanRisingSlope	gemap_loudness_sma3_stddevRisingSlope	gemap_loudness_sma3_meanFallingSlope	gemap_loudness_sma3_stddevFallingSlope	gemap_jitterLocal_sma3nz_amean	gemap_jitterLocal_sma3nz_stddevNorm	gemap_shimmerLocaldB_sma3nz_amean	gemap_shimmerLocaldB_sma3nz_stddevNorm	gemap_HNRdBACF_sma3nz_amean	gemap_HNRdBACF_sma3nz_stddevNorm	gemap_logRelF0-H1-H2_sma3nz_amean	gemap_logRelF0-H1-H2_sma3nz_stddevNorm	gemap_logRelF0-H1-A3_sma3nz_amean	gemap_logRelF0-H1-A3_sma3nz_stddevNorm	gemap_F1frequency_sma3nz_amean	gemap_F1frequency_sma3nz_stddevNorm	gemap_F1bandwidth_sma3nz_amean	gemap_F1bandwidth_sma3nz_stddevNorm	gemap_F1amplitudeLogRelF0_sma3nz_amean	gemap_F1amplitudeLogRelF0_sma3nz_stddevNorm	gemap_F2frequency_sma3nz_amean	gemap_F2frequency_sma3nz_stddevNorm	gemap_F2amplitudeLogRelF0_sma3nz_amean	gemap_F2amplitudeLogRelF0_sma3nz_stddevNorm	gemap_F3frequency_sma3nz_amean	gemap_F3frequency_sma3nz_stddevNorm	gemap_F3amplitudeLogRelF0_sma3nz_amean	gemap_F3amplitudeLogRelF0_sma3nz_stddevNorm	gemap_alphaRatioV_sma3nz_amean	gemap_alphaRatioV_sma3nz_stddevNorm	gemap_hammarbergIndexV_sma3nz_amean	gemap_hammarbergIndexV_sma3nz_stddevNorm	gemap_slopeV0-500_sma3nz_amean	gemap_slopeV0-500_sma3nz_stddevNorm	gemap_slopeV500-1500_sma3nz_amean	gemap_slopeV500-1500_sma3nz_stddevNorm	gemap_alphaRatioUV_sma3nz_amean	gemap_hammarbergIndexUV_sma3nz_amean	gemap_slopeUV0-500_sma3nz_amean	gemap_slopeUV500-1500_sma3nz_amean	gemap_loudnessPeaksPerSec	gemap_VoicedSegmentsPerSec	gemap_MeanVoicedSegmentLengthSec	gemap_StddevVoicedSegmentLengthSec	gemap_MeanUnvoicedSegmentLength	gemap_StddevUnvoicedSegmentLength
grp-07	T1	0	0.0	0.10941625200212002	23.9360032081604	0.2079961597919464	1.817083050031215	23.9360032081604	0.2079961597919464	20.347174167633057	24.05012035369873	27.83668804168701	7.489513874053955	255.55426025390625	268.87207412719727	122.05649375915527	129.0147476196289	0.10941625200212002	0.8331294357776642	0.04304097406566143	0.073030318133533	0.1602167896926403	0.11717581748962402	1.689589112997055	1.1285864412784576	1.2918455004692078	0.8820432722568512	0.050677549093961716	1.8835450112819672	1.4453798532485962	0.659401997923851	1.817083050031215	119.04687720537186	2.461131915450096	28.39594876766205	20.814924240112305	0.8185405656695366	482.76326751708984	0.4267907440662384	1158.5489196777344	0.2045717090368271	-144.26475143432617	-0.5958960205316544	1527.1815795898438	0.16783662512898445	-147.35480117797852	-0.541237972676754	2557.0857543945312	0.10434508323669434	-148.78849029541016	-0.5209207981824875	-16.453869581222534	-0.4105078727006912	25.541074752807617	0.2746807709336281	0.008094249293208122	7.038936734199524	-0.010376306949183345	-1.1120857000350952	-20.171324729919434	30.782852172851562	-0.06169234588742256	0.0013703287768294103	1.775591880083084	1.8620575368404388	0.15420410968363285	0.11782853305339813	0.3888433650135994	0.7623448818922043
grp-07	T1	1	30.0	0.11055110022425652	23.453197479248047	0.18897945806384087	1.1651669442653656	23.453197479248047	0.18897945806384087	21.34034299850464	23.456221103668213	25.632736206054688	4.292393207550049	228.07544708251953	234.40598106384277	136.3625602722168	165.63265228271484	0.11055110022425652	0.6842678189277649	0.04153010807931423	0.09234888851642609	0.16528337821364403	0.1237532701343298	1.325353980064392	0.7565636187791824	1.0051050186157227	0.5464601144194603	0.060705733485519886	1.9142178893089294	1.4940804839134216	0.6007171422243118	1.1651669442653656	3.9293379485607147	4.268894135951996	3.4506181478500366	21.916542530059814	0.49911028891801834	446.55377197265625	0.3915254771709442	1149.5627746582031	0.20518729835748672	-131.23696327209473	-0.6820360720157623	1451.7413940429688	0.15623291954398155	-135.13698959350586	-0.6167680323123932	2537.9750366210938	0.08582495711743832	-137.25586891174316	-0.5866503864526749	-16.251904726028442	-0.36635519564151764	24.837600708007812	0.297225721180439	0.0011191045632585883	-4.260907828807831	-0.010779345175251365	-1.023404523730278	-20.438233375549316	30.931193828582764	-0.057142239063978195	-0.0005657333408635168	2.8592864871025085	2.273292660713196	0.14734419621527195	0.14043585024774075	0.25469696149230003	0.3695047125220299
grp-07	T1	2	60.0	0.06533258967101574	23.59800148010254	0.19537239894270897	0.9651686176657677	23.59800148010254	0.19537239894270897	19.966529846191406	23.513668060302734	27.542893886566162	7.576364040374756	216.56807708740234	150.58425045013428	56.203251123428345	66.86031436920166	0.06533258967101574	0.7299562394618988	0.03705626633018255	0.04361097980290651	0.08626221492886543	0.04920594859868288	1.1905303299427032	0.8668396472930908	0.854926198720932	0.5788915902376175	0.05428092181682587	1.2931504845619202	1.5823305249214172	0.6341442614793777	0.9651686176657677	0.7210491895675659	3.625026762485504	5.823848903179169	23.51970100402832	0.6949377208948135	465.3662414550781	0.39203640073537827	1152.4873046875	0.1789555735886097	-177.22460174560547	-0.34066907316446304	1465.8425598144531	0.1622631661593914	-178.7854995727539	-0.31280163675546646	2538.3060302734375	0.09657264314591885	-179.54450607299805	-0.3003722168505192	-18.10438823699951	-0.3372349664568901	27.467072010040283	0.2489016018807888	-0.005374880915042013	-1.0705470442771912	-0.009661043994128704	-1.0466390550136566	-23.33456039428711	34.66514825820923	-0.07103276625275612	0.0004971285488863941	1.233744591474533	0.8435040563344955	0.13768583349883556	0.1332654282450676	0.970404788851738	2.307411774992943
grp-07	T1	3	90.0	0.040098806377500296	13.577584743499756	0.04826504737138748	-2.171262040734291	13.577584743499756	0.04826504737138748	12.890767335891724	13.413585424423218	14.282986402511597	1.392219066619873	51.55510058393702	38.37686729431152	50.10129356384277	57.35728979110718	0.040098806377500296	0.15692122280597687	0.03591611888259649	0.03819374134764075	0.042761278338730335	0.0068451594561338425	0.10224765539169312	0.09397698007524014	0.08688812702894211	0.08357612881809473	0.02466880064457655	0.24994607269763947	1.7820563912391663	0.4220849424600601	-2.171262040734291	-0.7547564655542374	6.513635993003845	-0.8381034210324287	17.453137397766113	1.4275466799736023	937.5093994140625	0.21075844205915928	1350.5604553222656	0.09702972508966923	-199.18213272094727	-0.05460397433489561	2009.767333984375	0.10264673084020615	-199.2331657409668	-0.05271447263658047	3055.3702392578125	0.07157943770289421	-199.26696014404297	-0.05185256199911237	-28.66669988632202	-0.121878482401371	40.68169021606445	0.08864897023886442	-0.08876814134418964	-0.22802970185875893	-0.0011432176688686013	-0.24171166121959686	-26.218799114227295	38.35060405731201	-0.07982620224356651	0.00011309227556921542	2.509169787168503	0.1670508924871683	0.014722221530973911	0.005196745973080397	8.400253593921661	7.0546049773693085
grp-07	T1	4	120.0	0.04578197794035077	10.576397180557251	0.06234781537204981	-3.4400112628936768	10.576397180557251	0.06234781537204981	9.830818891525269	10.414037942886353	11.523080825805664	1.6922619342803955	38.79901695251465	28.66597843170166	30.596216201782227	35.849082946777344	0.04578197794035077	0.3822729103267193	0.03650471055880189	0.040687177795916796	0.05052251648157835	0.01401780592277646	0.15537203289568424	0.1943639125674963	0.2030235081911087	0.2801806814968586	0.02534216712228954	0.3056064620614052	2.029841661453247	0.4295658618211746	-3.4400112628936768	-1.2806139886379242	-1.420480439439416	19.269694089889526	7.888820111751556	-4.161182783544064	591.6966552734375	0.2888632118701935	958.6205139160156	0.09940708242356777	-199.84338760375977	-0.045171222649514675	1401.6595458984375	0.13015438802540302	-199.88574981689453	-0.0435578403994441	2194.4024658203125	0.09238069877028465	-199.90344619750977	-0.0427538501098752	-16.745439052581787	-0.16269177198410034	24.763834953308105	0.12238789349794388	-0.04394964687526226	-0.4700719267129898	-0.0011092548993474338	-11.362233936786652	-24.13226842880249	35.81193256378174	-0.07507876865565777	0.0008378851398447296	0.8169389814138412	0.10855043865740299	0.01749999960884452	0.00801511318422854	11.730892360210419	4.586583971977234
grp-07	T1	5	150.0	0.17776154913008213	26.128146648406982	0.2821786478161812	2.307966262102127	26.128146648406982	0.2821786478161812	19.80223035812378	26.676518440246582	32.249223709106445	12.446993350982666	242.61046600341797	285.27198791503906	184.93244552612305	270.3085746765137	0.17776154913008213	1.215597540140152	0.045590232126414776	0.08033270016312599	0.19431069865822792	0.14872046560049057	6.046314299106598	5.129514902830124	5.482660472393036	5.067428261041641	0.06743947602808475	1.6521191000938416	1.31792414188385	0.6834701597690582	2.307966262102127	2.161598861217499	3.3329399824142456	10.465482473373413	19.00770115852356	0.8566655665636063	514.1717300415039	0.4321358799934387	1195.5391235351562	0.2039414644241333	-137.22792434692383	-0.6370791494846344	1526.0757446289062	0.17140286043286324	-138.8289737701416	-0.5973646193742752	2561.0947265625	0.10744759999215603	-140.73308181762695	-0.5699805244803429	-15.492419242858887	-0.47228316962718964	25.075304985046387	0.33307237923145294	0.0018272523302584887	-0.7630977034568787	-0.010494867572560906	-1.0906670689582825	-19.64020824432373	30.124882698059082	-0.05918333400040865	0.00034733230859274045	1.3754584938287735	1.8376212418079376	0.17479156702756882	0.19948892295360565	0.34373580664396286	0.6813556849956512
grp-07	T1	6	180.0	0.2472713105380535	27.39089870452881	0.22998449578881264	3.519964814186096	27.39089870452881	0.22998449578881264	22.598881721496582	26.95285129547119	32.790852546691895	10.191970825195312	298.203125	397.75865936279297	218.6170883178711	437.88671112060547	0.2472713105380535	0.9803627133369446	0.08702405542135239	0.15746110677719116	0.31651023775339127	0.22948618233203888	6.303554654121399	4.874092489480972	4.981365501880646	4.393534034490585	0.040865667164325714	1.8970049619674683	1.264299899339676	0.6895967572927475	3.519964814186096	1.27418053150177	1.1620023846626282	-0.3807746171951294	17.74854850769043	0.8200104087591171	494.82738494873047	0.43777623027563095	1129.6632385253906	0.20302711054682732	-99.0959358215332	-0.9478418976068497	1540.0592651367188	0.1710371971130371	-103.13671875	-0.8425304144620895	2584.4925537109375	0.10968385636806488	-104.82027816772461	-0.8127310872077942	-14.454457521438599	-0.4689076468348503	22.68149185180664	0.3716355264186859	0.009234892582753673	8.77692985534668	-0.012887908145785332	-0.9588821828365326	-14.546237230300903	23.84694480895996	-0.04117214772850275	-0.0008984957094071433	2.12570858001709	2.8724116683006287	0.1758139207959175	0.16628732904791832	0.157142985612154	0.149395402520895
grp-07	T1	7	210.0	0.2307408433407545	22.17179250717163	0.17995783686637878	1.0743181854486465	22.17179250717163	0.17995783686637878	20.21499490737915	22.05008316040039	23.329248428344727	3.114253520965576	200.77791023254395	311.55132389068604	138.42883491516113	193.85456657409668	0.2307408433407545	0.6579943597316742	0.08093402534723282	0.1880385335534811	0.3673114813864231	0.2863774523139	4.035146415233612	2.4072785675525665	3.07614928483963	1.94124935567379	0.04193104803562164	1.8582004010677338	1.489116907119751	0.6975275576114655	1.0743181854486465	0.6649637818336487	4.6658563911914825	5.731399580836296	17.734992742538452	0.6996853053569794	464.6986083984375	0.4412713348865509	1143.3754272460938	0.19589797779917717	-108.14155960083008	-0.8697719424962997	1499.0510559082031	0.1612844355404377	-113.70221138000488	-0.7620782256126404	2479.2175903320312	0.10482075624167919	-114.29684448242188	-0.7512958198785782	-14.619217157363892	-0.43519696593284607	21.45523977279663	0.3434881791472435	0.005656997911501094	-82.35051515698433	-0.00981310079805553	-0.9822469800710678	-14.990742683410645	24.184679985046387	-0.04251796752214432	0.0005911317857680842	3.6595532298088074	3.0652101039886475	0.1462922114878893	0.10634640231728554	0.16346679627895355	0.1927526891231537
grp-07	T1	8	240.0	0.1942640207707882	24.741793155670166	0.2543456368148327	2.0078047066926956	24.741793155670166	0.2543456368148327	19.3800106048584	23.538551807403564	30.670101642608643	11.290091037750244	325.96978759765625	426.8679389953613	106.59572982788086	171.33909034729004	0.1942640207707882	0.8519929349422455	0.06431128550320864	0.13364905677735806	0.3000721037387848	0.23576081544160843	4.245558947324753	3.0358773171901703	2.8893509209156036	2.448736548423767	0.04486184660345316	1.5930065214633942	1.395760327577591	0.7685144245624542	2.0078047066926956	3.433688998222351	3.838095396757126	5.774866461753845	18.657769918441772	0.6807150542736053	475.0099105834961	0.3717150390148163	1137.1957092285156	0.19347768276929855	-116.20760536193848	-0.7926769852638245	1542.9306335449219	0.16599300131201744	-121.48601722717285	-0.6966389864683151	2532.1102294921875	0.10404996015131474	-122.35749244689941	-0.6825687438249588	-15.805468082427979	-0.45601799339056015	23.419793128967285	0.35109423846006393	0.004745681246276945	-2.2769371569156647	-0.016945334617048502	-0.7005707770586014	-16.275630235671997	25.640117168426514	-0.0409811781719327	-0.002501385344658047	2.609203040599823	3.0401492714881897	0.13349640928208828	0.10895911045372486	0.181160356849432	0.22163325175642967
grp-07	T2	0	0.0	0.11143731698393822	24.206380367279053	0.22406694665551186	1.8639728873968124	24.206380367279053	0.22406694665551186	20.707523345947266	24.879931449890137	27.957175254821777	7.249651908874512	296.5462455749512	360.6569519042969	221.57049179077148	401.49415588378906	0.11143731698393822	0.9376406371593475	0.04507831763476133	0.07775829918682575	0.15757332742214203	0.11249501071870327	2.7246086597442627	4.082810938358307	1.4979479908943176	1.6757178604602814	0.051339028403162956	2.0202053785324097	1.4039246439933777	0.7018573880195618	1.8639728873968124	-3.3182520270347595	0.37010417878627777	-14.180008888244629	18.2043354511261	1.0336862951517105	469.85052490234375	0.3982514441013336	1140.1398010253906	0.19337554275989532	-148.46918869018555	-0.5682579502463341	1529.4064636230469	0.16152164712548256	-151.84838485717773	-0.510214239358902	2512.432861328125	0.10657315514981747	-152.64453887939453	-0.4993890970945358	-16.951332330703735	-0.3830653354525566	24.391955375671387	0.29472482204437256	0.01146653899922967	3.422443151473999	-0.01455916604027152	-0.8419280797243118	-19.15540838241577	29.64045810699463	-0.05864262394607067	0.0007227641399367712	0.7919306457042694	1.5782791376113892	0.16174835339188576	0.1335493791848421	0.4435064047574997	0.9949136674404144
