group_id	task_id	participant_id	speaking_time_s	speaking_share	turn_count	mean_turn_duration_s	median_turn_duration_s	std_turn_duration_s	mean_response_gap_ms	mean_trp_silence_ms	overlap_time_s	overlap_fraction	interruption_count	interruption_rate_per_min	backchannel_given_count	backchannel_given_rate_per_min	backchannel_latency_mean_ms	filled_pause_count	filled_pause_rate_per_min	breath_count
grp-12	T4	P2	3.72	0.0097	3	1.24	1.141	0.536	1229.0	1952.0	4.826	1.2973	2	0.311	2	0.311		0	0.0	0
grp-12	T4	P3	47.885	0.1242	15	3.192	2.404	3.628		4971.3	11.263	0.2352	1	0.156	1	0.156		0	0.0	0
grp-12	T4	P4	22.416	0.0582	10	2.242	2.162	1.385	8265.7	4369.9	19.428	0.8667	3	0.467	0	0.0		0	0.0	0
grp-13	T1	P1	76.387	0.1298	16	4.774	1.805	7.443	3596.0	2070.0	12.826	0.1679	2	0.204	4	0.408	4499.7	0	0.0	0
grp-13	T1	P2	83.404	0.1418	10	8.34	4.232	10.126	1891.0	1426.4	13.296	0.1594	2	0.204	8	0.816	8666.8	0	0.0	0
grp-13	T1	P3	94.786	0.1611	18	5.266	4.654	4.256	386.7	7406.5	7.824	0.0825	3	0.306	13	1.326	10820.4	0	0.0	0
grp-13	T1	P4	39.647	0.0674	9	4.405	3.2	3.239	152.0	720.2	7.423	0.1872	1	0.102	5	0.51	8492.3	0	0.0	0
grp-13	T2	P1	122.757	0.1764	21	5.846	3.742	5.727	1100.3	1639.3	8.046	0.0655	3	0.259	8	0.69	5729.3	0	0.0	0
grp-13	T2	P2	90.722	0.1303	15	6.048	2.212	6.582	1615.3	1569.2	4.761	0.0525	1	0.086	6	0.517	9811.5	0	0.0	0
grp-13	T2	P3	198.868	0.2857	44	4.52	3.122	4.363	411.0	2683.7	14.916	0.075	3	0.259	7	0.603	8777.0	0	0.0	0
grp-13	T2	P4	6.606	0.0095	4	1.651	1.021	1.745		2135.7	0.604	0.0914	0	0.0	0	0.0		0	0.0	0
grp-08	T1	P1	56.79	0.0675	18	3.155	1.251	5.708	170.0	1315.6	17.168	0.3023	4	0.285	2	0.143	1405.0	0	0.0	0
grp-08	T1	P2	108.099	0.1285	33	3.276	1.581	4.316	252.0	1920.2	17.665	0.1634	2	0.143	2	0.143	457.0	0	0.0	0
grp-08	T1	P3	57.157	0.068	20	2.858	0.851	4.106	93.0	1585.1	18.043	0.3157	6	0.428	0	0.0		0	0.0	0
grp-08	T1	P4	107.394	0.1277	25	4.296	0.841	7.25	180.3	2098.3	15.261	0.1421	7	0.499	3	0.214	8775.3	0	0.0	0
grp-08	T2	P1	122.385	0.1232	34	3.6	1.471	4.305	858.5	3998.2	53.167	0.4344	7	0.423	8	0.483	1372.8	0	0.0	0
grp-08	T2	P2	168.297	0.1694	49	3.435	1.561	5.281	705.8	3172.3	50.704	0.3013	11	0.664	10	0.604	1469.8	0	0.0	0
grp-08	T2	P3	112.036	0.1128	29	3.863	0.8	6.942	902.8	2136.6	48.142	0.4297	9	0.544	3	0.181	1438.3	0	0.0	0
grp-08	T2	P4	132.797	0.1337	43	3.088	1.161	3.806	1435.0	2901.0	30.678	0.231	16	0.966	1	0.06	4907.0	0	0.0	0
grp-08	T3	P1	30.501	0.032	25	1.22	0.967	0.922	1943.4	5034.7	30.772	1.0089	8	0.503	10	0.629	5035.6	0	0.0	1
grp-08	T3	P2	242.323	0.2541	50	4.846	2.001	6.937	21432.4	8049.9	115.027	0.4747	10	0.629	9	0.566	602.6	0	0.0	0
grp-08	T3	P3	70.589	0.074	30	2.353	1.349	2.316	1896.0	2128.2	28.109	0.3982	9	0.566	2	0.126	227.0	0	0.0	0
grp-08	T3	P4	27.604	0.0289	18	1.534	0.573	1.908	1679.5	988.6	9.908	0.3589	5	0.315	5	0.315	4084.0	0	0.0	0
grp-08	T4	P1	66.991	0.1623	23	2.913	1.2	5.117	521.9	1467.0	53.749	0.8023	8	1.163	3	0.436	6475.5	0	0.0	0
grp-08	T4	P2	90.565	0.2194	24	3.774	1.331	7.405	1190.2	1460.3	68.826	0.76	6	0.872	8	1.163	7565.1	0	0.0	1
grp-08	T4	P3	33.517	0.0812	27	1.241	1.36	0.849	1875.2	3516.3	36.791	1.0977	15	2.18	1	0.145		0	0.0	0
grp-08	T4	P4	29.601	0.0717	11	2.691	1.873	2.355	3759.3	913.0	36.821	1.2439	4	0.581	8	1.163	3859.2	0	0.0	0
grp-09	T2	P1	42.173	0.0708	8	5.272	4.891	2.906	1297.0	5535.6	6.006	0.1424	0	0.0	3	0.302		0	0.0	0
grp-09	T2	P2	175.291	0.2942	28	6.26	5.215	4.816	373.0	2413.0	21.644	0.1235	4	0.403	2	0.201	8381.0	0	0.0	0
grp-09	T2	P3	75.669	0.127	12	6.306	4.623	5.973	1046.0	1173.9	1.705	0.0225	0	0.0	0	0.0		0	0.0	0
grp-09	T2	P4	77.772	0.1305	14	5.555	3.802	5.855	561.3	1305.2	15.237	0.1959	1	0.101	6	0.604	6444.5	0	0.0	0
grp-09	T3	P1	106.1	0.1472	40	2.652	1.531	2.602	1492.9	1552.0	37.572	0.3541	7	0.583	11	0.916	6340.3	0	0.0	0
grp-09	T3	P2	114.067	0.1582	25	4.563	2.609	6.235	1057.3	1870.0	19.657	0.1723	3	0.25	3	0.25	6129.0	0	0.0	0
grp-09	T3	P3	110.373	0.1531	26	4.245	2.321	5.147	789.9	7808.7	29.319	0.2656	4	0.333	11	0.916	5138.7	0	0.0	0
grp-09	T3	P4	46.345	0.0643	14	3.31	3.011	3.027	489.5	1445.0	30.833	0.6653	5	0.416	10	0.832	7386.8	0	0.0	0
grp-09	T4	P1	32.115	0.0822	14	2.294	1.685	2.431	2216.2	3038.6	10.282	0.3202	5	0.768	5	0.768	1145.0	0	0.0	0
grp-09	T4	P2	66.199	0.1695	24	2.758	2.431	2.415	804.3	2025.1	31.424	0.4747	2	0.307	3	0.461		0	0.0	0
grp-09	T4	P3	24.491	0.0627	5	4.898	4.041	3.55		2143.2	20.99	0.857	1	0.154	1	0.154		0	0.0	0
grp-09	T4	P4	7.793	0.02	9	0.866	0.766	0.584	1703.0	3638.6	4.658	0.5977	1	0.154	4	0.615		0	0.0	0
