session_id	task	window_index	n_participants	window_start_lsl	window_end_lsl	eda_mean_group_mean	eda_mean_group_std	ppg_rate_proxy_bpm_group_mean	ppg_rate_proxy_bpm_group_std	pupil_mean_group_mean	pupil_mean_group_std
ses-20260312_grp-07_run01	T0	0	4	328080.922928	328110.922928	0.07358619524521823	0.022880519041504427	74.69867848769327	16.824979378946527	3.128195243708508	0.27281531547968674
ses-20260312_grp-07_run01	T0	1	4	328095.922928	328125.922928	0.07540882098337945	0.02451431599167606	72.14428177606749	18.02987317058789	3.1781225960345356	0.23073726704381278
ses-20260312_grp-07_run01	T0	2	4	328110.922928	328140.922928	0.07689293864294659	0.026197979163255797	77.6593687910987	16.805528350162984	3.3177597052771497	0.2302083489633612
ses-20260312_grp-07_run01	T0	3	4	328125.922928	328155.922928	0.07879727667626703	0.02774979727821372	78.87091686421064	10.060571501792252	3.3625213218762213	0.10670520434891212
ses-20260312_grp-07_run01	T0	4	4	328140.922928	328170.922928	0.08200615983235103	0.029364966975329383	73.12177934915198	9.577745877480876	3.2105394060323595	0.13852459541128548
ses-20260312_grp-07_run01	T0	5	4	328155.922928	328185.922928	0.08577227285547848	0.0315634912269723	67.65830590307347	6.48642277660688	3.0728735448235973	0.24169119624047522
ses-20260312_grp-07_run01	T0	6	4	328170.922928	328200.922928	0.08829819488630364	0.03313183748676982	73.71142000095847	8.23151737406776	2.894746883317881	0.2561637603863741
ses-20260312_grp-07_run01	T0	7	4	328185.922928	328215.922928	0.09002849274573912	0.03411481455965315	74.39526021747422	7.435462966692188	2.777615265802675	0.21338338976538426
ses-20260312_grp-07_run01	T0	8	4	328200.922928	328230.922928	0.0899034650684931	0.03393731280817244	76.0730879445316	5.853206472621143	2.822279678503598	0.22617329171012052
ses-20260312_grp-07_run01	T0	9	4	328215.922928	328245.922928	0.08882890322387657	0.03309634566117492	77.07772854765346	10.63231140426321	2.809460984796013	0.2108820743733096
ses-20260312_grp-07_run01	T0	10	4	328230.922928	328260.922928	0.0906498035271207	0.03352568965543635	82.00694162792897	9.352587770082845	2.758411692788738	0.19692312325182987
ses-20260312_grp-07_run01	T0	11	4	328245.922928	328275.922928	0.09378247311218982	0.035222764589524086	81.51942409545877	7.767122752524575	2.7207827425136837	0.14974011493052797
ses-20260312_grp-07_run01	T0	12	4	328260.922928	328290.922928	0.09383873263451087	0.03542508432630642	76.12142549104806	6.247649950552108	2.762902743684364	0.15587743418273342
ses-20260312_grp-07_run01	T0	13	4	328275.922928	328305.922928	0.09109405826380665	0.03356069290944725	77.59165044856681	5.774892663411612	2.882185520780866	0.19247943141535998
ses-20260312_grp-07_run01	T0	14	4	328290.922928	328320.922928	0.09186539637482898	0.03369052322328229	77.87305112919161	7.3856524328406135	2.8286711992939755	0.2091022879813596
ses-20260312_grp-07_run01	T0	15	4	328305.922928	328335.922928	0.09312348943617413	0.034051095734426697	72.95923072910803	11.655713035288915	2.8113950494815834	0.1977844903472958
ses-20260312_grp-07_run01	T0	16	4	328320.922928	328350.922928	0.09305529839150056	0.03311252611679879	73.05892458400865	14.703034134706636	3.0015913058504657	0.2514081891899012
ses-20260312_grp-07_run01	T0	17	4	328335.922928	328365.922928	0.09024366881582976	0.03257806904976632	66.40296436067132	10.541607735157754	3.199393860144678	0.3148150129144172
ses-20260312_grp-07_run01	T0	18	4	328350.922928	328380.922928	0.09338156756034471	0.03298230427933255	62.953034332642815	13.235299559002708	3.1564577875869366	0.2566853473260541
ses-20260312_grp-07_run01	T0	19	4	328365.922928	328395.922928	0.10187489770406065	0.03322742480889628	68.83153894901835	15.332604837756566	3.0083723020219866	0.24955883526373615
ses-20260312_grp-07_run01	T0	20	4	328380.922928	328410.922928	0.10538673917908298	0.033822556461009304	66.96504569780802	12.046065893158303	2.966350132132629	0.16279150319625452
ses-20260312_grp-07_run01	T0	21	4	328395.922928	328425.922928	0.10943700006010554	0.035047189920226096	66.0802592332749	9.511858363015742	3.101354535691251	0.07226386358827235
ses-20260312_grp-07_run01	T0	22	4	328410.922928	328440.922928	0.11215406361760658	0.03617640849797435	74.23652345538457	17.3776982812627	3.135413886997101	0.10825887111372982
ses-20260312_grp-07_run01	T0	23	4	328425.922928	328455.922928	0.10779358060676092	0.036151087798857985	73.73852492855853	14.05612372038543	3.1251191923304056	0.22833688136888167
ses-20260312_grp-07_run01	T0	24	4	328440.922928	328470.922928	0.10341726456628073	0.03968824813845907	73.32293823717211	6.090610032028042	3.2054206732192663	0.35751155653545763
ses-20260312_grp-07_run01	T0	25	4	328455.922928	328485.922928	0.10998921098066293	0.040207251723199285	67.38238571769378	13.945796028471717	3.13503322518103	0.37275367923202607
