session_id	task	participant_a	participant_b	metric	window_count	corr	best_lag_corr	best_lag_windows
ses-20260312_grp-07_run01	T2	P2	P4	ppg_rate_proxy_bpm	74	-0.28355314231473	-0.1451574173245168	-2
ses-20260312_grp-07_run01	T2	P2	P4	pupil_mean	74	0.26259145094909037	0.27559091831740945	1
ses-20260312_grp-07_run01	T2	P3	P4	eda_mean	74	-0.19305516941022433	-0.0027106156237309688	2
ses-20260312_grp-07_run01	T2	P3	P4	ppg_rate_proxy_bpm	74	-0.03470708427420974	-0.02095019017208547	2
ses-20260312_grp-07_run01	T2	P3	P4	pupil_mean	74	0.6080327992315382	0.6080327992315382	0
ses-20260312_grp-07_run01	T3	P1	P2	eda_mean	57	0.08998833707773791	0.15561593009619723	-2
ses-20260312_grp-07_run01	T3	P1	P2	ppg_rate_proxy_bpm	57	-0.10829818253320765	0.016886379416479073	2
ses-20260312_grp-07_run01	T3	P1	P2	pupil_mean	57	0.13659695678410674	0.39517292435359613	-2
ses-20260312_grp-07_run01	T3	P1	P3	eda_mean	57	-0.21717915268004986	-0.06400842986597377	2
ses-20260312_grp-07_run01	T3	P1	P3	ppg_rate_proxy_bpm	57	0.09551837884930621	0.14409071215562513	1
ses-20260312_grp-07_run01	T3	P1	P3	pupil_mean	57	0.5498886626039569	0.6397407347937134	-2
ses-20260312_grp-07_run01	T3	P1	P4	eda_mean	57	0.10176676920718028	0.10176676920718028	0
ses-20260312_grp-07_run01	T3	P1	P4	ppg_rate_proxy_bpm	57	0.24712780015398028	0.3142250420177518	-2
ses-20260312_grp-07_run01	T3	P1	P4	pupil_mean	57	0.2816362792382385	0.32211386147724874	1
ses-20260312_grp-07_run01	T3	P2	P3	eda_mean	57	-0.15697789460806655	0.08014257898211458	2
ses-20260312_grp-07_run01	T3	P2	P3	ppg_rate_proxy_bpm	57	-0.026032117965034178	0.2075545566505599	2
ses-20260312_grp-07_run01	T3	P2	P3	pupil_mean	57	0.16931455212021412	0.25637081897612524	-2
ses-20260312_grp-07_run01	T3	P2	P4	eda_mean	57	-0.16157717682610118	0.08865498791086278	2
ses-20260312_grp-07_run01	T3	P2	P4	ppg_rate_proxy_bpm	57	-0.008123622934367764	0.048717728220120715	-2
ses-20260312_grp-07_run01	T3	P2	P4	pupil_mean	57	-0.15457191278441856	0.031922101335036306	2
