group_id	task_id	window_index	word_count	bert_umap1	bert_umap2	bert_umap3	bert_umap4	bert_umap5	bert_umap6	bert_umap7	bert_umap8	bert_umap9	bert_umap10	bert_valid
grp-07	T2	29	34	-0.33540592	3.905772	3.465721	2.873238	7.52553	2.2479992	1.768106	2.0190248	5.2735233	5.851376	True
grp-07	T2	30	14	-0.35098624	3.8563983	3.5226247	2.620975	7.630899	2.189476	1.9490132	1.97157	5.240409	5.8240323	True
grp-07	T3	0	0	21.183666	3.9589179	5.502301	6.8720613	4.2823076	5.2191052	4.100906	4.365438	5.454297	4.691142	False
grp-07	T3	1	0	21.20688	3.9857528	5.5103087	6.834774	4.2346034	5.231532	4.032715	4.3640437	5.497568	4.6019316	False
grp-07	T3	2	0	21.226955	3.9722137	5.538767	6.8164454	4.2137556	5.283119	4.029063	4.3639426	5.450668	4.633943	False
grp-07	T3	3	0	21.300018	3.9608803	5.6660905	6.9647093	4.038262	5.261361	4.111147	4.43513	5.5285873	4.5845833	False
grp-07	T3	4	0	21.27523	3.9488885	5.505992	6.863867	4.2242484	5.283543	4.0846996	4.419996	5.4703717	4.604703	False
grp-07	T3	5	0	21.386555	3.9276373	5.627276	7.0608964	4.069192	5.3187094	4.149699	4.4963865	5.666051	4.62265	False
grp-07	T3	6	0	21.164936	3.9260983	5.4916406	6.7963333	4.2166533	5.1901326	4.0314717	4.4383907	5.5569944	4.6403804	False
grp-07	T3	7	0	21.2372	3.955573	5.5525193	6.847378	4.2431335	5.1870227	4.0270786	4.4784517	5.571753	4.700375	False
grp-07	T3	8	0	21.290655	3.9708874	5.5192275	6.9173536	4.2454195	5.2055607	4.056181	4.424251	5.5576825	4.5863237	False
grp-07	T3	9	0	21.426653	3.9627886	5.629404	7.1344185	3.9493225	5.1880555	4.2286186	4.538185	5.758445	4.691227	False
grp-07	T3	10	36	-0.657693	5.7106147	5.043029	3.517183	6.399038	3.7344756	2.7700882	0.93092567	5.917229	6.291229	True
grp-07	T3	11	97	-0.24756199	5.0987487	4.7302914	3.395174	7.7167087	2.2013354	2.0798128	1.1840167	5.361929	6.2161384	True
grp-07	T3	12	59	-0.23947453	4.855403	4.5863686	3.3422637	7.7174764	1.9688555	2.0293472	1.754715	5.309496	5.9893255	True
grp-07	T3	13	59	-0.31518298	5.5086975	5.187411	3.3584094	7.3677645	2.7762558	2.3770053	0.6819289	5.667312	6.5245748	True
grp-07	T3	14	94	-0.12147782	4.7951365	4.6130643	3.1956053	7.751654	1.964347	1.9615788	1.6115409	5.349643	6.079448	True
grp-07	T3	15	100	-0.16247247	5.070676	4.8549666	3.2453163	7.608364	2.2468762	2.101366	1.2590561	5.4939623	6.2478433	True
grp-07	T3	16	57	-0.30555102	5.421248	5.1454854	3.2763503	7.4263453	2.710965	2.3829906	0.7602567	5.6459165	6.4932427	True
grp-07	T3	17	64	-0.47207302	5.4361663	5.1616273	3.165626	7.095635	3.0655613	2.5997674	0.7022081	5.667319	6.5312815	True
grp-07	T3	18	62	-0.34587243	5.3652897	4.8625073	3.3464062	7.6694093	2.6630385	2.2369592	0.56739944	5.758875	6.460202	True
grp-07	T3	19	78	-0.47148192	4.1665683	3.5724037	3.1652148	7.102425	2.5639286	1.8382899	2.0072944	5.184347	5.8960648	True
grp-07	T3	20	72	-0.27348483	5.4610205	5.095108	3.3970957	7.461459	2.6427262	2.2778373	0.7067813	5.6062145	6.488688	True
grp-07	T3	21	74	-0.04958723	4.9940515	4.896233	3.141405	7.606245	2.175301	2.0276086	1.2840855	5.476753	6.2751417	True
grp-07	T3	22	92	-0.24953963	5.130104	4.877622	3.064988	7.4187016	2.6608431	2.2795165	0.95817035	5.6936865	6.3791876	True
grp-07	T4	0	0	21.19996	3.996534	5.520649	6.862408	4.270814	5.261399	4.066456	4.4115205	5.5035853	4.5501175	False
grp-07	T4	1	0	21.128382	3.9654002	5.521779	6.790142	4.25636	5.2484903	4.081549	4.3183503	5.515374	4.6246915	False
grp-07	T4	2	0	21.227386	3.8927336	5.5521584	6.7952833	4.256296	5.1531787	4.0404053	4.407978	5.5826383	4.583953	False
grp-07	T4	3	0	21.182354	3.973545	5.5368233	6.754514	4.322193	5.2102876	4.045691	4.398879	5.5336714	4.5698705	False
grp-07	T4	4	0	21.168396	3.8881092	5.5810146	6.866419	4.281487	5.3247776	3.959877	4.3755875	5.5062304	4.694847	False
grp-07	T4	5	74	0.13809784	4.2063494	4.370378	1.9463435	7.8549976	1.9353206	2.0171986	1.1814038	5.009113	6.227749	True
grp-07	T4	6	82	0.09008445	4.1233273	4.170447	2.1827633	7.779763	1.9924599	1.8711064	1.3484387	5.090112	6.18722	True
