group_id	task_id	window_index	window_start_s	n_spk_rows	n_speakers	lex_agreement_count	lex_bigram_entropy	lex_certainty_count	lex_clause_density	lex_concreteness_coverage	lex_concreteness_mean	lex_concreteness_std	lex_dm_additive	lex_dm_causal	lex_dm_contrast	lex_dm_elaboration	lex_dm_temporal	lex_hedging_count	lex_i_count	lex_long_word_ratio	lex_mean_word_len	lex_negative_count	lex_parse_depth_mean	lex_positive_count	lex_question_count	lex_sentiment_ratio	lex_social_composite	lex_subordination_ratio	lex_suggestion_count	lex_trigram_entropy	lex_ttr	lex_turn_cohesion	lex_unique_words	lex_vader_compound	lex_vader_neg	lex_vader_neu	lex_vader_pos	lex_we_count	lex_we_i_ratio	lex_word_count	lex_word_gini	lex_word_hhi
grp-07	T2	4	120.0	7	2	1	5.643776391052357	0	1.4285714285714286	0.9090909090909091	2.4599999999999995	0.8865325713136546	4	1	0	0	0	0	1	0.16363636363636364	4.7272727272727275	0	1.7692307692307692	0	1	0.0	0.01818181818181818	0.3	0	5.727920454563195	0.7636363636363637	0.049810606060606055	42	-0.1082	0.048	0.877	0.075	0	0.0	55	0.6681818181818182	0.7262809917355371
grp-07	T2	5	150.0	5	2	2	6.317751630116047	0	2.8	0.8928571428571429	2.2961333333333336	0.8612237701214606	2	3	0	1	1	7	5	0.2261904761904762	4.666666666666667	0	2.630434782608696	2	0	0.6666666666666666	0.047619047619047616	0.6428571428571429	1	6.357552004618087	0.7261904761904762	0.09504569504569504	61	0.8173	0.0	0.883	0.117	2	0.2857142857142857	84	0.5535714285714286	0.5229591836734693
grp-07	T2	6	180.0	3	2	5	5.789015477886191	0	2.5	0.9152542372881356	2.2311111111111113	0.8192581709188405	5	1	1	1	1	2	2	0.11864406779661017	4.016949152542373	0	2.7384615384615385	2	1	0.6666666666666666	0.11864406779661017	0.6	0	5.832890014164737	0.7627118644067796	0.0	45	0.8242	0.0	0.851	0.149	3	0.6	59	0.5042372881355932	0.5001436368859523
grp-07	T2	7	210.0	2	1	0	4.70043971814109	0	1.5	0.8888888888888888	2.3991666666666664	0.6928438777162492	2	1	0	1	0	2	1	0.037037037037037035	3.5925925925925926	0	2.3666666666666667	1	0	0.5	0.037037037037037035	0.3333333333333333	1	4.643856189774723	0.8148148148148148	0.13636363636363635	22	0.6933	0.0	0.814	0.186	4	0.8	27	0.75	1.0
grp-07	T2	8	240.0	8	2	6	5.982289237493331	0	1.625	0.8767123287671232	2.4721874999999995	0.9371223718617276	2	2	0	2	1	6	5	0.1232876712328767	3.9863013698630136	0	1.898876404494382	2	2	0.6666666666666666	0.1095890410958904	0.38461538461538464	3	6.093409091335663	0.6986301369863014	0.08102215245072387	51	0.8205	0.043	0.797	0.16	3	0.375	73	0.5513698630136986	0.5211109026083692
grp-07	T2	9	270.0	12	3	6	6.033495085707161	0	1.5	0.9456521739130435	2.4441379310344824	0.9885186312980174	5	3	1	2	2	5	2	0.05434782608695652	3.5760869565217392	0	1.8303571428571428	3	4	0.75	0.09782608695652174	0.3333333333333333	1	6.3195222629482535	0.4891304347826087	0.21225846853837282	45	0.9144	0.0	0.864	0.136	5	0.7142857142857143	92	0.5271739130434783	0.4974007561436673
grp-07	T2	10	300.0	2	1	1	6.4139770731827594	0	5.5	0.9438202247191011	2.2798809523809522	0.8982317206171816	5	3	0	3	0	6	2	0.23595505617977527	4.685393258426966	0	4.122448979591836	1	0	0.5	0.02247191011235955	0.8181818181818182	0	6.442943495848723	0.6966292134831461	0.14516129032258066	62	0.4404	0.03	0.899	0.071	2	0.5	89	0.75	1.0
grp-07	T2	11	330.0	4	2	1	5.814846439192345	0	3.3333333333333335	0.95	2.6024561403508772	1.036047280472555	1	1	1	1	0	3	2	0.2	4.566666666666666	1	2.6865671641791047	1	0	0.0	0.03333333333333333	0.7	0	5.823498236506881	0.7666666666666667	0.02857142857142857	46	-0.3612	0.052	0.921	0.028	0	0.0	60	0.7416666666666667	0.9672222222222222
grp-07	T2	12	360.0	7	3	3	5.44740865188523	1	2.0	0.8913043478260869	2.2026829268292683	0.7675397006979712	2	1	0	1	0	4	1	0.15217391304347827	4.326086956521739	0	2.549019607843137	4	2	0.8	0.15217391304347827	0.5	0	5.4594316186372955	0.8260869565217391	0.16666666666666666	38	0.9408	0.0	0.705	0.295	3	0.75	46	0.44565217391304346	0.42533081285444235
grp-07	T2	13	390.0	8	2	3	6.093409091335662	0	1.3333333333333333	0.9444444444444444	2.3905882352941177	0.9146678637833858	1	3	0	0	3	0	1	0.125	3.9305555555555554	0	2.046511627906977	0	4	0.0	0.041666666666666664	0.25	0	6.129283016944973	0.6805555555555556	0.03993637941006362	49	0.9086	0.0	0.821	0.179	6	0.8571428571428571	72	0.5972222222222222	0.5756172839506173
grp-07	T2	14	420.0	5	2	6	5.247927513443589	0	2.0	0.9487179487179487	2.3437837837837843	0.8859209633204014	2	2	0	0	0	2	2	0.05128205128205128	3.871794871794872	0	2.2	3	1	0.75	0.23076923076923078	0.5	0	5.209453365628954	0.8205128205128205	0.026785714285714284	32	0.949	0.0	0.612	0.388	1	0.3333333333333333	39	0.7371794871794872	0.9500328731097962
grp-07	T2	15	450.0	5	1	1	6.288092571562528	0	1.8	0.8941176470588236	2.4839473684210525	1.001339995557753	3	3	1	4	1	8	3	0.17647058823529413	4.5058823529411764	0	3.090909090909091	4	0	0.8	0.058823529411764705	0.4444444444444444	0	6.375039431346932	0.7294117647058823	0.06963502954068992	62	0.957	0.0	0.788	0.212	1	0.25	85	0.75	1.0
grp-07	T2	16	480.0	2	2	1	6.259761193221231	0	2.6666666666666665	0.9240506329113924	2.5475342465753426	0.9318883183452125	3	0	2	1	1	3	2	0.22784810126582278	4.734177215189874	0	3.7471264367816093	1	0	0.5	0.02531645569620253	0.625	1	6.266786540694905	0.8227848101265823	0.09230769230769231	65	0.5994	0.019	0.89	0.091	3	0.6	79	0.509493670886076	0.500721038295145
grp-07	T2	17	510.0	4	1	1	5.4599625007211605	1	1.6666666666666667	0.9387755102040817	2.454565217391304	1.0688122349471767	4	0	0	1	1	3	2	0.061224489795918366	3.5510204081632653	0	1.9473684210526316	2	1	0.6666666666666666	0.061224489795918366	0.4	0	5.55458885167764	0.6938775510204082	0.0722943722943723	34	0.7717	0.0	0.87	0.13	0	0.0	49	0.75	1.0
grp-07	T2	18	540.0	5	2	1	6.044394119358462	0	2.6	0.9104477611940298	2.2913114754098363	0.9023620650413514	3	2	1	5	0	9	3	0.14925373134328357	4.074626865671642	0	2.225	4	1	0.8	0.07462686567164178	0.6153846153846154	1	6.022367813028458	0.8059701492537313	0.012195121951219513	54	0.7056	0.067	0.774	0.159	2	0.4	67	0.5932835820895522	0.5696146134996658
grp-07	T2	19	570.0	3	2	1	6.259333436112254	1	3.25	0.8837209302325582	2.349342105263158	0.9445415701285099	4	1	1	5	2	8	2	0.19767441860465115	4.348837209302325	0	2.9038461538461537	2	0	0.6666666666666666	0.03488372093023256	0.6923076923076923	0	6.368507898969236	0.6744186046511628	0.10096153846153846	58	0.6369	0.0	0.94	0.06	0	0.0	86	0.5755813953488372	0.5457003785830179
grp-07	T2	20	600.0	4	2	1	5.6560670506421715	0	3.0	0.9354838709677419	2.4156896551724136	0.8608979115033998	4	0	0	1	0	4	3	0.1774193548387097	4.241935483870968	0	3.671641791044776	2	0	0.6666666666666666	0.04838709677419355	0.6666666666666666	0	5.740223928941851	0.6612903225806451	0.0	41	0.8481	0.0	0.85	0.15	1	0.25	62	0.7258064516129032	0.9079084287200834
grp-07	T2	21	630.0	8	3	3	6.48272834633546	1	2.0	0.9368421052631579	2.4046067415730334	0.9988938333434789	7	2	0	2	1	6	6	0.1368421052631579	4.2	0	2.1009174311926606	1	0	0.5	0.042105263157894736	0.5	0	6.539158811108037	0.7368421052631579	0.037301587301587294	70	0.9577	0.0	0.797	0.203	2	0.25	95	0.4763157894736842	0.438005540166205
grp-07	T2	22	660.0	4	1	1	6.12157810542017	1	3.0	0.9166666666666666	2.4965151515151516	1.0342857181360132	4	3	1	1	0	4	3	0.2222222222222222	4.5	0	2.348314606741573	0	1	0.0	0.013888888888888888	0.6666666666666666	0	6.129283016944973	0.7361111111111112	0.06220419202163624	53	0.8218	0.0	0.873	0.127	2	0.4	72	0.75	1.0
grp-07	T2	23	690.0	6	2	4	6.326846660262595	0	2.125	0.9285714285714286	2.343717948717949	0.8168358416731883	5	1	2	0	1	5	4	0.11904761904761904	4.119047619047619	0	2.313131313131313	0	1	0.0	0.047619047619047616	0.5294117647058824	1	6.357552004618087	0.7261904761904762	0.02416267942583732	61	0.7537	0.043	0.833	0.124	1	0.2	84	0.5535714285714286	0.5229591836734693
grp-07	T2	24	720.0	4	1	1	5.776000176124752	0	3.0	0.9661016949152542	2.4838596491228073	0.9428302937208646	0	2	2	1	0	5	3	0.1694915254237288	4.220338983050848	0	3.4545454545454546	2	0	0.6666666666666666	0.05084745762711865	0.6666666666666666	0	5.832890014164737	0.7288135593220338	0.09596176821983272	43	0.6124	0.0	0.919	0.081	2	0.4	59	0.75	1.0
grp-07	T2	25	750.0	5	2	1	6.155399311574901	2	2.25	0.9333333333333333	2.4544285714285716	0.9765195275851385	5	1	1	2	2	3	1	0.18666666666666668	4.506666666666667	0	2.9642857142857144	0	1	0.0	0.013333333333333334	0.5555555555555556	0	6.162427298606055	0.8133333333333334	0.05357142857142857	61	0.6486	0.046	0.833	0.121	1	0.5	75	0.7433333333333333	0.973688888888889
grp-07	T2	26	780.0	2	1	2	5.832890014164737	0	2.0	0.9482758620689655	2.121818181818182	0.7035522618284777	2	2	2	4	1	6	2	0.1896551724137931	4.637931034482759	0	2.3043478260869565	4	0	0.8	0.10344827586206896	0.5	0	5.807354922057609	0.8448275862068966	0.04081632653061224	49	0.8653	0.039	0.765	0.196	2	0.5	58	0.75	1.0
grp-07	T2	27	810.0	8	4	2	5.35851976299634	0	1.3333333333333333	0.9347826086956522	2.732558139534884	0.9779667874306718	2	2	0	0	2	2	2	0.17391304347826086	4.369565217391305	0	1.4912280701754386	0	1	0.0	0.043478260869565216	0.25	1	5.4594316186372955	0.717391304347826	0.0	33	0.5267	0.0	0.909	0.091	2	0.5	46	0.5	0.4735349716446125
grp-07	T2	28	840.0	5	3	2	5.5235619560570095	0	1.2857142857142858	0.9361702127659575	2.6986363636363637	0.9577236052913343	2	1	2	0	1	1	1	0.0851063829787234	3.9361702127659575	0	1.4035087719298245	0	0	0.0	0.0425531914893617	0.2222222222222222	0	5.491853096329673	0.851063829787234	0.034722222222222224	40	0.6808	0.0	0.889	0.111	2	0.6666666666666666	47	0.526595744680851	0.49388863739248534
grp-07	T2	29	870.0	9	4	3	4.801969876934213	1	1.3333333333333333	0.9117647058823529	2.602903225806452	0.8762058733940553	0	0	0	0	0	3	2	0.029411764705882353	3.235294117647059	0	1.2608695652173914	0	3	0.0	0.08823529411764706	0.25	0	4.9375	0.7058823529411765	0.05985576923076923	24	0.6298	0.0	0.862	0.138	4	0.6666666666666666	34	0.2647058823529412	0.3062283737024222
grp-07	T2	30	900.0	2	1	1	3.7004397181410926	0	2.0	1.0	2.607857142857143	1.0029896636088145	0	1	0	1	0	1	3	0.07142857142857142	3.2857142857142856	0	1.3888888888888888	1	1	0.5	0.14285714285714285	0.5	0	3.584962500721156	0.8571428571428571	0.08333333333333333	12	0.5667	0.0	0.72	0.28	0	0.0	14	0.75	1.0
grp-07	T3	0	0.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	1	30.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	2	60.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	3	90.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	4	120.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	5	150.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	6	180.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	7	210.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	8	240.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	9	270.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T3	10	300.0	1	1	0	5.114369445886754	0	3.5	0.8918918918918919	2.2515151515151515	0.8470881361325351	1	1	0	0	0	2	2	0.08108108108108109	3.8378378378378377	0	3.2093023255813953	0	2	0.0	0.0	0.7142857142857143	0	5.129283016944964	0.918918918918919		34	-0.3094	0.081	0.87	0.049	1	0.3333333333333333	37	0.75	1.0
grp-07	T3	11	330.0	14	4	12	6.52875843973147	0	1.5333333333333334	0.8514851485148515	2.521162790697675	1.0047045366959027	3	3	1	1	0	5	2	0.12871287128712872	3.99009900990099	0	2.032258064516129	2	4	0.6666666666666666	0.13861386138613863	0.34782608695652173	1	6.62935662007962	0.7029702970297029	0.131953446659329	71	0.9838	0.0	0.719	0.281	6	0.75	101	0.43316831683168316	0.4033918243309479
grp-07	T3	12	360.0	10	3	7	5.7415174175040615	0	1.3333333333333333	0.847457627118644	2.4686000000000003	1.0129185752073067	3	0	0	2	0	4	3	0.1694915254237288	4.4576271186440675	1	2.328767123287671	2	2	0.25	0.15254237288135594	0.25	0	5.797802294866491	0.7796610169491526	0.3333333333333333	46	0.9419	0.034	0.673	0.293	1	0.25	59	0.4872881355932203	0.45073254811835683
grp-07	T3	13	390.0	4	2	0	5.754532719265502	0	2.6666666666666665	0.9830508474576272	2.2139655172413795	0.9695589819606616	7	1	0	0	1	3	3	0.15254237288135594	4.0508474576271185	0	2.2857142857142856	0	0	0.0	0.0	0.625	0	5.832890014164737	0.711864406779661	0.05333333333333334	42	0.885	0.0	0.814	0.186	1	0.25	59	0.7415254237288136	0.9666762424590636
grp-07	T3	14	420.0	11	4	5	6.358998730439612	2	1.4166666666666667	0.8723404255319149	2.292317073170732	0.9781806142521691	3	2	2	6	3	11	5	0.13829787234042554	4.085106382978723	0	2.1403508771929824	5	1	0.8333333333333334	0.10638297872340426	0.29411764705882354	0	6.480083695187462	0.6595744680851063	0.1	62	0.9877	0.058	0.606	0.337	1	0.16666666666666666	94	0.425531914893617	0.4040289723856949
grp-07	T3	15	450.0	13	2	8	6.5813274533911	0	1.6666666666666667	0.89	2.58438202247191	1.147302606023872	6	5	0	2	1	6	2	0.19	4.49	0	1.6554621848739495	0	1	0.0	0.08	0.4	0	6.614709844115218	0.67	0.20961734045258074	67	0.9399	0.04	0.754	0.206	3	0.6	100	0.565	0.5338
grp-07	T3	16	480.0	6	3	2	5.807354922057609	0	1.375	0.8596491228070176	2.4083673469387756	0.9012176500775652	5	0	1	0	0	1	2	0.15789473684210525	4.2631578947368425	0	2.1267605633802815	1	0	0.5	0.05263157894736842	0.2727272727272727	0	5.7813597135246555	0.8245614035087719	0.017028985507246373	47	0.8519	0.025	0.822	0.153	2	0.5	57	0.6096491228070176	0.6700523237919359
grp-07	T3	17	510.0	5	3	3	5.532835479055475	0	1.8	0.875	2.2278571428571428	0.8609353598717798	3	1	4	0	0	3	2	0.109375	3.8125	0	2.1728395061728394	4	0	0.8	0.109375	0.4444444444444444	0	5.567099536193324	0.609375	0.27261904761904765	39	0.9599	0.023	0.723	0.254	2	0.5	64	0.609375	0.677734375
grp-07	T3	18	540.0	6	2	6	5.930737337562883	1	1.5	0.9193548387096774	2.416315789473684	1.0340885156367152	5	2	0	2	0	2	0	0.1774193548387097	4.564516129032258	0	2.142857142857143	1	1	0.5	0.11290322580645161	0.3333333333333333	0	5.906890595608517	0.7580645161290323	0.053217127699886325	47	0.9287	0.0	0.767	0.233	2	1.0	62	0.5806451612903226	0.5520291363163371
grp-07	T3	19	570.0	7	3	5	6.1369164108247745	0	2.0	0.8589743589743589	2.475970149253731	0.9571039334405853	2	4	2	3	1	7	3	0.11538461538461539	4.0	0	2.0	3	3	0.75	0.10256410256410256	0.5	1	6.195295934496223	0.6923076923076923	0.10576923076923077	54	0.9005	0.0	0.825	0.175	4	0.5714285714285714	78	0.6730769230769231	0.8106508875739645
grp-07	T3	20	600.0	7	3	2	6.065240077251156	1	1.5714285714285714	0.9027777777777778	2.394615384615385	1.0244714613633357	1	2	1	1	0	3	2	0.041666666666666664	3.8333333333333335	1	1.7241379310344827	1	0	0.0	0.041666666666666664	0.36363636363636365	1	6.129283016944973	0.7083333333333334	0.06339923883783533	51	0.7184	0.0	0.908	0.092	3	0.6	72	0.6666666666666666	0.7372685185185185
grp-07	T3	21	630.0	9	4	1	6.162427298606055	0	1.4545454545454546	0.9054054054054054	2.2202985074626866	0.8751937442633901	3	5	1	2	2	5	3	0.05405405405405406	3.7567567567567566	0	1.6136363636363635	1	0	0.5	0.02702702702702703	0.3125	0	6.1699250014423175	0.7432432432432432	0.04520016339869281	55	0.2771	0.06	0.878	0.062	2	0.4	74	0.5202702702702703	0.5343316289262235
grp-07	T3	22	660.0	8	2	7	6.3236749973177835	1	2.1	0.8913043478260869	2.4893902439024393	0.9738061453314548	2	2	1	2	2	7	6	0.08695652173913043	3.9456521739130435	0	1.9669421487603307	1	1	0.5	0.08695652173913043	0.5238095238095238	1	6.447408651885218	0.6195652173913043	0.03176020408163265	57	0.8201	0.0	0.871	0.129	4	0.4	92	0.6358695652173914	0.6476843100189036
grp-08	T1	0	0.0	2	2	0	2.584962500721156	0	1.0	1.0	2.7985714285714285	1.2245632290906079	0	0	0	0	0	0	0	0.0	3.857142857142857	0	0.8	0	3	0.0	0.0	0.0	0	2.321928094887362	0.8571428571428571	0.0	6	0.0	0.0	1.0	0.0	0		7	0.5357142857142857	0.510204081632653
grp-08	T1	1	30.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-08	T1	2	60.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-08	T1	3	90.0	2	2	1	0.0	0	1.0	0.5	2.14	0.0	0	0	0	0	0	0	0	0.0	3.0	0	0.5	0	0	0.0	0.5	0.0	0	0.0	1.0	0.0	2	0.4019	0.0	0.27	0.73	0		2	0.5	0.5
grp-08	T1	4	120.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-08	T1	5	150.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
