group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-07	T3	20	0.1554567664861679	0.14021503789858383
grp-07	T3	21	0.25463191978633404	0.16346377282644864
grp-07	T3	22	0.26026173382997514	0.2924822308123112
grp-08	T1	0	0.28386569023132324	0.28386569023132324
grp-08	T1	3	0.25978267192840576	0.25978267192840576
grp-08	T1	6		
grp-08	T1	7		
grp-08	T1	8		
grp-08	T1	9	0.03443516045808792	0.2682066960260272
grp-08	T1	10		
grp-08	T1	11	0.21659937500953674	0.14238210022449493
grp-08	T1	12	0.29148611426353455	0.240214207675308
grp-08	T1	13		
grp-08	T1	14	0.35611558457215625	0.24186477952060245
grp-08	T1	15	0.252684485912323	0.18350171023565862
grp-08	T1	16	0.10607859492301941	0.10607859492301941
grp-08	T1	17	0.21756790259054729	0.293542963053499
grp-08	T1	18	0.3365233764052391	0.3365233764052391
grp-08	T1	19	0.3000063955783844	0.2916299835261371
grp-08	T1	23	0.0687067061662674	0.2060704454779625
grp-08	T1	24	0.2674340307712555	0.2674340307712555
grp-08	T1	25	0.7128539284070333	0.38857668410572743
grp-08	T1	26	0.2964586764574051	0.2621126120740717
grp-08	T1	27	0.4754756435751915	0.3713288894471
grp-08	T1	28		
grp-08	T2	0		
grp-08	T2	2		
grp-08	T2	3		
grp-08	T2	4		
grp-08	T2	5		
grp-08	T2	6	0.53611159324646	0.23663851618766785
grp-08	T2	7		
grp-08	T2	8		
grp-08	T2	10		
grp-08	T2	11	0.11800724733620882	0.19085527695715426
grp-08	T2	12	0.22274942075212797	0.31537217755491537
grp-08	T2	13		
grp-08	T2	14	0.14495710879564286	0.19115281486440272
grp-08	T2	15	0.27386149019002914	0.148276168175719
grp-08	T2	16		
grp-08	T2	17	0.11808208376169205	0.10598259791731834
grp-08	T2	18	0.4310569473438793	0.3078603496154149
grp-08	T2	19	0.2617597058415413	0.234165965700927
grp-08	T2	20	0.12556549906730652	0.0799294849857688
grp-08	T2	21	0.2857627272605896	0.20420071482658386
