group_id	task_id	window_index	group_hr_mean_bpm_mean	group_hrv_rmssd_ms_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	group_et_blink_rate_per_min_mean	group_et_gaze_dispersion_mean	tr_spk_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	cluster
grp-07	T1	0	-1.7596395269883602	-0.846431057404148	-0.5124193247946871	-1.5073852014666849	2.8745	20.0037	0.1832	43.972	1.0	4.0	3.0	1
grp-07	T1	1	-1.650965967856238	0.44129418649143526	-0.861714155892512	-1.464977562060942	2.7528	16.6808	0.1172	52.015	0.0	2.0	0.0	0
grp-07	T1	2	-1.6494231465509652	0.22332225749918505	-0.9809513472311272	-1.4405116162500033	2.821	24.6876	0.1596	47.768	0.0	3.0	3.0	1
grp-07	T1	3	-1.1769037854370081	0.10656354930694291	-0.8645197368651855	-1.4168612019660092	2.726	21.3372	0.1282	28.811	1.0	4.0	4.0	1
grp-07	T1	4	-0.07943778526225452	-1.1449475814673795	-1.093174586138059	-1.3149197610868375	2.6987	20.0171	0.0659	20.716	0.0	0.0	0.0	0
grp-07	T1	5	0.6097872964946519	-3.0722699518662644	-2.0330442119836127	-1.194221095085975	2.8252	24.0205	0.1027	28.76	2.0	1.0	0.0	0
grp-07	T1	6	0.5688071890152547	-0.6185593167477901	-1.097382957597069	-1.108590284747487	2.7724	20.5038	0.1438	30.575	1.0	0.0	0.0	0
grp-07	T1	7	1.2977295830089732	-0.75633311567853	-0.043887302358246505	-1.037639041895562	2.6179	23.3532	0.1607	23.969	1.0	3.0	1.0	0
grp-07	T1	8	1.7109283316887072	-0.12704474314559952	-0.9795485567447907	-1.0294837266252492	2.7498	30.0256	0.1751	0.64	0.0	3.0	0.0	0
grp-07	T2	0	-0.7657505751170737	-0.27859194614143473	-0.5124193247946871	0.33082286046612586	2.8596	20.6704	0.144	29.337	1.0	2.0	0.0	0
grp-07	T2	1	-0.055602062849324896	0.4868855738854671	-0.391779342969735	0.38383240972324645	2.8076	20.017	0.1173	29.519	1.0	0.0	0.0	0
grp-07	T2	2	0.1901745716019799	0.8858655911872261	-0.5124193247946871	0.4751719407509825	2.8211	24.0205	0.1685	23.174	0.0	0.0	0.0	0
grp-07	T2	3	0.6184548319175356	0.091012382160455	-0.39458492394240835	0.570589129413846	2.7869	28.6719	0.1539	30.768	0.0	0.0	0.0	0
grp-07	T2	4	1.5158567794612758	-1.3979011169078477	-1.6823465903994512	0.6464335614279586	2.6601	20.6843	0.0869	24.209	0.0	0.0	0.0	0
grp-07	T2	5	-0.00659581756833658	1.9683699543899993	-1.4494833696675677	0.6521422821172066	2.7442	30.0256	0.1289	30.882	0.0	1.0	0.0	0
grp-07	T2	6	-0.9871887701009197	0.6497354878460625	0.6603135217827506	0.684763543198516	2.9545	18.0033	0.1993	26.302	1.0	2.0	2.0	0
grp-07	T2	7	-0.9390319432913751	0.13196909008351115	1.5987803571419683	0.7606079752126286	3.1356	17.3481	0.2409	34.384	0.0	1.0	0.0	0
grp-07	T2	8	-1.487634930347408	1.391358040007645	-0.2781533135764666	0.8446077224969961	3.322	16.6809	0.276	27.009	0.0	2.0	1.0	0
grp-07	T2	9	-0.7214941392478259	0.6258464414552202	-0.6288509351606288	0.8217728397400621	2.9671	21.3412	0.158	24.456	0.0	2.0	1.0	0
grp-07	T2	10	0.22695959193670223	0.5414907312800389	-0.7438797550402337	0.869889199835053	2.9916	24.0204	0.178	27.497	5.0	1.0	0.0	0
grp-07	T2	11	0.5375347212094899	-0.5400196749283452	-0.1575133317515149	0.9628597939168515	2.8598	27.3531	0.1434	55.23	0.0	3.0	1.0	1
