group_id	task_id	window_index	window_start_s	participant_id	gemap_F0semitoneFrom27.5Hz_sma3nz_amean	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevNorm	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile20.0	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile50.0	gemap_F0semitoneFrom27.5Hz_sma3nz_percentile80.0	gemap_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2	gemap_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope	gemap_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope	gemap_loudness_sma3_amean	gemap_loudness_sma3_stddevNorm	gemap_loudness_sma3_percentile20.0	gemap_loudness_sma3_percentile50.0	gemap_loudness_sma3_percentile80.0	gemap_loudness_sma3_pctlrange0-2	gemap_loudness_sma3_meanRisingSlope	gemap_loudness_sma3_stddevRisingSlope	gemap_loudness_sma3_meanFallingSlope	gemap_loudness_sma3_stddevFallingSlope	gemap_jitterLocal_sma3nz_amean	gemap_jitterLocal_sma3nz_stddevNorm	gemap_shimmerLocaldB_sma3nz_amean	gemap_shimmerLocaldB_sma3nz_stddevNorm	gemap_HNRdBACF_sma3nz_amean	gemap_HNRdBACF_sma3nz_stddevNorm	gemap_logRelF0-H1-H2_sma3nz_amean	gemap_logRelF0-H1-H2_sma3nz_stddevNorm	gemap_logRelF0-H1-A3_sma3nz_amean	gemap_logRelF0-H1-A3_sma3nz_stddevNorm	gemap_F1frequency_sma3nz_amean	gemap_F1frequency_sma3nz_stddevNorm	gemap_F1bandwidth_sma3nz_amean	gemap_F1bandwidth_sma3nz_stddevNorm	gemap_F1amplitudeLogRelF0_sma3nz_amean	gemap_F1amplitudeLogRelF0_sma3nz_stddevNorm	gemap_F2frequency_sma3nz_amean	gemap_F2frequency_sma3nz_stddevNorm	gemap_F2amplitudeLogRelF0_sma3nz_amean	gemap_F2amplitudeLogRelF0_sma3nz_stddevNorm	gemap_F3frequency_sma3nz_amean	gemap_F3frequency_sma3nz_stddevNorm	gemap_F3amplitudeLogRelF0_sma3nz_amean	gemap_F3amplitudeLogRelF0_sma3nz_stddevNorm	gemap_alphaRatioV_sma3nz_amean	gemap_alphaRatioV_sma3nz_stddevNorm	gemap_hammarbergIndexV_sma3nz_amean	gemap_hammarbergIndexV_sma3nz_stddevNorm	gemap_slopeV0-500_sma3nz_amean	gemap_slopeV0-500_sma3nz_stddevNorm	gemap_slopeV500-1500_sma3nz_amean	gemap_slopeV500-1500_sma3nz_stddevNorm	gemap_alphaRatioUV_sma3nz_amean	gemap_hammarbergIndexUV_sma3nz_amean	gemap_slopeUV0-500_sma3nz_amean	gemap_slopeUV500-1500_sma3nz_amean	gemap_loudnessPeaksPerSec	gemap_VoicedSegmentsPerSec	gemap_MeanVoicedSegmentLengthSec	gemap_StddevVoicedSegmentLengthSec	gemap_MeanUnvoicedSegmentLength	gemap_StddevUnvoicedSegmentLength
grp-07	T1	0	0.0	P1	24.303010940551758	0.1868334859609604	21.878704071044922	24.051809310913086	27.86224365234375	5.983539581298828	231.1334228515625	292.84466552734375	121.68207550048828	157.17523193359375	0.12244638800621033	0.8309609889984131	0.045407652854919434	0.08699330687522888	0.1829901933670044	0.13758254051208496	1.748342514038086	1.1951308250427246	1.3837202787399292	0.9502519369125366	0.049842339009046555	2.2331693172454834	1.36174738407135	0.6846491098403931	2.2842328548431396	1.7259039878845215	3.2258048057556152	4.865820407867432	22.944013595581055	0.49171245098114014	486.8386535644531	0.4654698371887207	1141.7269287109375	0.22120963037014008	-143.22581481933594	-0.6058430075645447	1554.714599609375	0.17535199224948883	-146.212158203125	-0.5490864515304565	2580.729248046875	0.1141258254647255	-147.3404083251953	-0.5329892039299011	-16.019615173339844	-0.410378634929657	24.31171989440918	0.2806251049041748	0.008305663242936134	4.159688472747803	-0.009229585528373718	-1.2755658626556396	-18.861576080322266	28.905973434448242	-0.06459697335958481	0.0026107574813067913	1.9339779615402222	1.53640615940094	0.18913044035434723	0.15249839425086975	0.45954543352127075	0.8593548536300659
grp-07	T1	0	0.0	P2	24.864749908447266	0.18411347270011902	22.04192352294922	24.762786865234375	28.453723907470703	6.411800384521484	236.3610382080078	186.0557861328125	117.67040252685547	157.6685333251953	0.08243609964847565	0.9060361981391907	0.029509395360946655	0.048244405537843704	0.12268070876598358	0.09317131340503693	1.5584007501602173	1.132520318031311	1.1059139966964722	0.7781927585601807	0.041594069451093674	1.6859023571014404	1.4857892990112305	0.6607614755630493	2.6536669731140137	1.4659292697906494	2.3232014179229736	13.278406143188477	16.80284881591797	1.1920262575149536	512.6587524414062	0.4493989050388336	1137.2664794921875	0.20570452511310577	-155.62225341796875	-0.5066642761230469	1546.357421875	0.17881867289543152	-156.97604370117188	-0.47718313336372375	2580.99462890625	0.11072253435850143	-158.078369140625	-0.46144652366638184	-13.79818058013916	-0.5117597579956055	22.832134246826172	0.3361962139606476	0.00971780251711607	4.225194454193115	-0.009654205292463303	-1.2294213771820068	-21.624208450317383	32.63051223754883	-0.05994345247745514	0.0017894931370392442	1.4338113069534302	2.0374083518981934	0.10557376593351364	0.06817346811294556	0.36816665530204773	0.6863563656806946
grp-07	T1	0	0.0	P3	22.622060775756836	0.2576036751270294	15.972734451293945	23.216005325317383	27.27835464477539	11.305620193481445	210.5587921142578	215.48304748535156	134.3060760498047	90.6421890258789	0.09853529185056686	0.7924347519874573	0.04004250466823578	0.07256831973791122	0.14085718989372253	0.10081468522548676	1.5056326389312744	0.9881365299224854	1.1461056470870972	0.7819544076919556	0.06322330981492996	1.628954291343689	1.524004340171814	0.5994431972503662	0.011148648336529732	471.1490783691406	0.3190285563468933	89.9977035522461	18.38874053955078	1.1355822086334229	478.13909912109375	0.41713303327560425	1178.4671630859375	0.19808778166770935	-139.77780151367188	-0.6265255212783813	1521.9794921875	0.16321690380573273	-143.431640625	-0.5644458532333374	2549.35400390625	0.1010826826095581	-145.07907104492188	-0.5414427518844604	-18.46053695678711	-0.3529224693775177	27.881603240966797	0.23972579836845398	0.0028169751167297363	16.689733505249023	-0.011083245277404785	-0.9488589763641357	-22.25941276550293	32.82177734375	-0.06224680691957474	-0.00045018826494924724	1.8339446783065796	2.3046092987060547	0.12594202160835266	0.10762682557106018	0.29787877202033997	0.6682552695274353
grp-07	T1	0	0.0	P4	23.954191207885742	0.20343400537967682	21.49533462524414	24.169879913330078	27.752429962158203	6.2570953369140625	344.1637878417969	381.10479736328125	114.56742095947266	110.57303619384766	0.13424722850322723	0.8030858039855957	0.057204343378543854	0.0843152403831482	0.1943390667438507	0.13713473081588745	1.9459805488586426	1.1985580921173096	1.5316420793533325	1.017773985862732	0.04805047810077667	1.9861540794372559	1.4099783897399902	0.6927542090415955	2.3192837238311768	1.8465971946716309	3.9764928817749023	5.441864967346191	25.124094009399414	0.45484134554862976	453.41656494140625	0.37516120076179504	1176.735107421875	0.19328489899635315	-138.43313598632812	-0.6445512771606445	1485.6748046875	0.15395893156528473	-142.7993621826172	-0.5742364525794983	2517.26513671875	0.09144929051399231	-144.65611267089844	-0.5478047132492065	-17.537145614624023	-0.36697062849998474	27.13884162902832	0.24217596650123596	0.011536556296050549	3.0811305046081543	-0.011538191698491573	-0.9944965839385986	-17.940101623535156	28.77314567565918	-0.05998215079307556	0.0015312527539208531	1.9006335735321045	1.5698063373565674	0.19617021083831787	0.14301544427871704	0.42978259921073914	0.8354130387306213
grp-07	T1	1	30.0	P1	22.918821334838867	0.18079005181789398	21.275218963623047	23.331666946411133	24.74362564086914	3.4684066772460938	238.33096313476562	221.65142822265625	96.91063690185547	98.87367248535156	0.10829205065965652	0.6397983431816101	0.04623875021934509	0.09084326773881912	0.15795207023620605	0.11171332001686096	1.1895700693130493	0.6756939888000488	0.9115340113639832	0.49108585715293884	0.054032713174819946	1.8343530893325806	1.4244805574417114	0.6133493185043335	1.0202221870422363	3.796617269515991	4.8705830574035645	2.8520729541778564	24.329181671142578	0.39731109142303467	451.10546875	0.3861115276813507	1134.0081787109375	0.2054072618484497	-124.15113830566406	-0.7285489439964294	1473.530517578125	0.15373609960079193	-129.6312713623047	-0.6442046761512756	2539.5712890625	0.08625435829162598	-131.73660278320312	-0.6147488355636597	-18.097152709960938	-0.3056679368019104	25.99617576599121	0.26972928643226624	-0.006620617117732763	-4.840554714202881	-0.012635181657969952	-0.8061942458152771	-20.90822410583496	30.877410888671875	-0.061041492968797684	-0.0015543107874691486	2.800933599472046	2.2757697105407715	0.16588234901428223	0.14320117235183716	0.24399998784065247	0.36971569061279297
grp-07	T1	1	30.0	P2	24.279186248779297	0.16459235548973083	21.695064544677734	23.861967086791992	25.988475799560547	4.2934112548828125	128.84695434570312	112.1574935913086	103.78028106689453	121.72078704833984	0.0888940840959549	0.7259551286697388	0.02833721786737442	0.07463913410902023	0.1369737833738327	0.10863656550645828	1.1820510625839233	0.7118367552757263	0.8766383528709412	0.5112549662590027	0.05797693878412247	2.3132081031799316	1.507449984550476	0.5534436702728271	2.003653049468994	1.6595155000686646	3.4222805500030518	2.5317561626434326	17.955129623413086	0.4725552797317505	451.00079345703125	0.4013749659061432	1162.12646484375	0.2057008296251297	-150.54339599609375	-0.5319887399673462	1433.1663818359375	0.16342444717884064	-152.2238006591797	-0.5029526352882385	2529.51025390625	0.08801812678575516	-153.87164306640625	-0.48033177852630615	-13.906794548034668	-0.42738378047943115	22.69226837158203	0.33218175172805786	0.002838283544406295	12.544642448425293	-0.009746691212058067	-1.1410322189331055	-20.929887771606445	31.774547576904297	-0.05438467487692833	2.1508012650883757e-05	2.8676226139068604	2.240053415298462	0.10298507660627365	0.12430121749639511	0.28279998898506165	0.38752058148384094
grp-07	T1	1	30.0	P3	23.824459075927734	0.21184314787387848	21.364805221557617	23.566068649291992	26.266881942749023	4.902076721191406	265.89581298828125	314.6661376953125	221.15565490722656	338.384765625	0.10228019207715988	0.7005230784416199	0.03663839399814606	0.08526598662137985	0.1540060043334961	0.11736761033535004	1.2682828903198242	0.691938579082489	0.9344749450683594	0.5018923878669739	0.06058691814541817	1.7625900506973267	1.4405361413955688	0.6068456172943115	0.9284338355064392	4.020793914794922	4.276158809661865	3.8678641319274902	20.097667694091797	0.6474416255950928	437.5769348144531	0.3908786475658417	1132.0631103515625	0.19569002091884613	-134.79551696777344	-0.6650635004043579	1447.6494140625	0.15138234198093414	-138.28819274902344	-0.6043382287025452	2534.301513671875	0.08155320584774017	-139.74131774902344	-0.5840436816215515	-15.834388732910156	-0.3848993182182312	23.644758224487305	0.3271428048610687	0.009465900249779224	3.631316900253296	-0.00999533012509346	-1.098438024520874	-21.498981475830078	31.79941749572754	-0.055477648973464966	-0.0018918742425739765	2.8676226139068604	2.3053793907165527	0.13536231219768524	0.12662369012832642	0.2531999945640564	0.3505430519580841
grp-07	T1	1	30.0	P4	22.79032325744629	0.19869227707386017	21.026283264160156	23.065181732177734	25.53196144104004	4.505678176879883	279.2280578613281	289.14886474609375	123.60366821289062	103.55138397216797	0.14273807406425476	0.6707947254180908	0.05490607023239136	0.11864716559648514	0.21220165491104126	0.1572955846786499	1.6615118980407715	0.9467851519584656	1.297772765159607	0.6816072463989258	0.07022636383771896	1.746720314025879	1.6038552522659302	0.6292299628257751	0.7083587050437927	6.240425109863281	4.506554126739502	4.550779342651367	25.284191131591797	0.47913315892219543	446.5318908691406	0.3877367675304413	1170.0533447265625	0.21395108103752136	-115.45780181884766	-0.8025431036949158	1452.6192626953125	0.1563887894153595	-120.40469360351562	-0.7155765891075134	2548.51708984375	0.08747413754463196	-123.67391204833984	-0.6674772500991821	-17.169282913208008	-0.3474697470664978	27.017200469970703	0.25984904170036316	-0.0012071484234184027	-28.37903594970703	-0.01074017770588398	-1.0479536056518555	-18.41584014892578	29.273399353027344	-0.0576651394367218	0.0011617436539381742	2.9009671211242676	2.271968126296997	0.18514704704284668	0.1676173210144043	0.23878787457942963	0.3702395260334015
grp-07	T1	2	60.0	P1	23.63246726989746	0.16141417622566223	21.744993209838867	23.305015563964844	27.093929290771484	5.348936080932617	392.6427307128906	391.8594055175781	79.98501586914062	65.81230163574219	0.06992986798286438	0.6998640298843384	0.037263114005327225	0.047382354736328125	0.0990530252456665	0.06178991124033928	1.0210970640182495	0.8607031106948853	0.7653347849845886	0.5030131340026855	0.05481277033686638	1.3405197858810425	1.5104892253875732	0.6335973143577576	1.2162820100784302	2.8308265209198	2.7388429641723633	7.447068691253662	24.266504287719727	0.8670831322669983	482.38861083984375	0.42268913984298706	1139.3330078125	0.18135176599025726	-174.6038360595703	-0.3651254177093506	1501.6170654296875	0.1720481812953949	-176.5496063232422	-0.3330795168876648	2541.60107421875	0.10299870371818542	-177.3006591796875	-0.3209972083568573	-18.620454788208008	-0.2905254364013672	27.413528442382812	0.20958678424358368	-0.010771747678518295	-2.9854772090911865	-0.009382004849612713	-1.0340921878814697	-22.53093910217285	33.38836669921875	-0.07224355638027191	0.00012645409151446074	1.2337446212768555	0.6346025466918945	0.2047368437051773	0.18630388379096985	1.0633333921432495	2.548628091812134
grp-07	T1	2	60.0	P2	25.611942291259766	0.15191864967346191	21.978710174560547	25.43642234802246	28.98094367980957	7.002233505249023	125.28955078125	40.1580696105957	-9.79413890838623	56.423187255859375	0.04718732833862305	0.8236371278762817	0.02627008780837059	0.02942417562007904	0.06011117249727249	0.0338410846889019	1.0211379528045654	0.7788261771202087	0.7264899015426636	0.5280285477638245	0.03846302628517151	0.9442862868309021	1.6225988864898682	0.6395329833030701	2.6205503940582275	1.0886743068695068	3.1992149353027344	2.5137581825256348	21.045433044433594	0.4087798595428467	416.5102233886719	0.2788674533367157	1114.1300048828125	0.15983597934246063	-186.47012329101562	-0.26401880383491516	1375.410400390625	0.1302146464586258	-187.26524353027344	-0.24659165740013123	2478.5751953125	0.0738813653588295	-187.83660888671875	-0.23542000353336334	-15.12213134765625	-0.38000789284706116	25.19413948059082	0.2749179005622864	0.003167366376146674	10.009601593017578	-0.00893530622124672	-1.1135737895965576	-25.079099655151367	36.948455810546875	-0.07021598517894745	0.00097473623463884	1.3004335165023804	0.7016372084617615	0.09428571164608002	0.0969325453042984	1.3760000467300415	3.2129228115081787
