group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-08	T2	0	0.0	60.4782	0.0584	36.2636	2.7657	7.05	0.0	0.0	1.0	4.0	2.0	1.813	0.0
grp-08	T2	1	30.0	56.9803	0.0835	36.2555	2.7702	4.664	0.0	0.0	0.0	1.0	0.0	0.154	0.0
grp-08	T2	2	60.0	53.083	0.0835	36.2607	2.8318	17.185	1.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	3	90.0	49.9217	0.1251	36.0655	2.8292	9.413	0.0	0.0	1.0	1.0	0.0	4.722	0.0
grp-08	T2	4	120.0	47.8572	0.1	36.0851	2.6927	23.924	2.0	1.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	5	150.0	45.4077	0.1084	36.3004	2.58	7.425	1.0	0.0	1.0	6.0	3.0	4.569	0.0
grp-08	T2	6	180.0	49.716	0.1086	36.3063	2.6321	4.896	1.0	0.0	2.0	2.0	0.0	0.491	0.5
grp-08	T2	7	210.0	54.1677	0.1085	36.3179	2.7569	2.527	0.0	0.0	1.0	2.0	1.0	1.002	0.0
grp-08	T2	8	240.0	56.1712	0.0918	36.3218	2.8732	2.99	0.0	0.0	1.0	1.0	1.0	0.501	1.0
grp-08	T2	9	270.0	62.4456	0.0751	36.3265	2.9598	43.619	0.0	0.0	0.0	9.0	4.0	6.71	0.4444444444444444
grp-08	T2	10	300.0	63.4941	0.0501	36.3296	2.97	0.0	0.0	0.0	1.0	2.0	0.0	0.562	0.0
grp-08	T2	11	330.0	64.306	0.0751	36.3428	2.9421	10.485	1.0	0.0	4.0	12.0	4.0	6.882	0.3333333333333333
grp-08	T2	12	360.0	65.7965	0.0834	36.3593	2.9596	6.863	0.0	2.0	4.0	2.0	1.0	1.48	0.5
grp-08	T2	13	390.0	65.6986	0.0668	36.3479	2.9589	3.383	2.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	14	420.0	70.0455	0.0667	36.3311	2.952	4.02	3.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-08	T2	15	450.0	68.4043	0.0835	36.3285	2.9257	6.369	1.0	2.0	3.0	10.0	3.0	5.165	0.2
grp-08	T2	16	480.0	65.2228	0.1003	36.3298	2.8534	1.391	0.0	0.0	1.0	3.0	1.0	0.96	0.3333333333333333
grp-08	T2	17	510.0	60.9072	0.1417	36.3253	2.8769	4.319	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T2	18	540.0	63.0858	0.1502	36.3076	2.9796	18.413	1.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-08	T2	19	570.0	68.3737	0.1336	36.2931	2.9905	4.053	0.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-08	T2	20	600.0	70.2467	0.1084	36.2828	2.9498	4.358	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T2	21	630.0	69.3084	0.1418	36.2784	2.9306	2.804	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T2	22	660.0	62.0842	0.1419	36.2774	2.9633	2.529	3.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-08	T2	23	690.0	60.1246	0.1002	36.2692	2.9665	15.103	3.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-08	T2	24	720.0	62.8675	0.1085	36.2589	2.9374	42.483	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	25	750.0	65.2967	0.1335	36.2536	3.0116	10.66	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T2	26	780.0	65.8758	0.1252	36.2581	3.1065	23.336	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	27	810.0	64.4592	0.1169	36.2644	3.0861	52.499	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	28	840.0	61.6913	0.0917	36.2742	2.9955	2.201	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-08	T2	29	870.0	60.7713	0.1336	36.2916	2.9552	23.809	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T2	30	900.0	62.2237	0.1668	36.2854	3.0076	22.516	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	31	930.0	60.8551	0.0751	36.2602	3.0896	15.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	32	960.0	66.2001	0.0667	36.2529	3.1607	31.238	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	33	990.0	66.6487	0.0584	36.2533	3.1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T3	0	0.0	59.8904	0.1417	35.903	2.7705	13.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T3	1	30.0	59.2352	0.0751	35.8598	2.7557	4.904	0.0	0.0	0.0	6.0	4.0	4.789	0.16666666666666666
grp-08	T3	2	60.0	62.853	0.1252	35.85	2.8232	12.293	1.0	1.0	4.0	0.0	0.0	0.0	0.0
