group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_time_s	tr_ovl_competitive_timing	tr_ovl_collaboration_index	group_id	task_id	window_index
61.2109	0.0834	2.5927	6.562	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	9
56.6509	0.1086	2.7719	1.4	4.0	1.0	1.0	0.0	0.0	0.0	grp-08	T1	10
54.9905	0.1335	2.9431	7.09	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	11
58.1877	0.1417	2.9912	9.526	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T1	12
60.5814	0.2002	2.9711	5.038	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T1	13
60.2499	0.1503	2.9953	8.531	0.0	0.0	3.0	0.0	0.0	0.0	grp-08	T1	14
62.7455	0.0584	2.9963	7.665	1.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	15
65.4953	0.075	2.9313	15.988	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	16
61.5801	0.0668	2.9172	18.239	1.0	2.0	4.0	0.0	0.0	0.0	grp-08	T1	17
59.8332	0.0668	2.9675	23.491	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	18
58.385	0.0917	2.9804	117.575	0.0	1.0	4.0	0.0	0.0	0.0	grp-08	T1	19
70.248	0.1169	2.879	8.353	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	23
66.6971	0.1168	2.9058	21.316	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T1	24
66.6107	0.1001	2.8373	10.929	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T1	25
67.4336	0.0501	2.8315	16.971	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T1	26
67.4746	0.0835	2.8644	6.88	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T1	27
66.063	0.1085	2.8992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T1	28
60.4782	0.0584	2.7657	7.05	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	0
56.9803	0.0835	2.7702	4.664	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	1
53.083	0.0835	2.8318	17.185	1.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	2
49.9217	0.1251	2.8292	9.413	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	3
47.8572	0.1	2.6927	23.924	2.0	1.0	1.0	0.0	0.0	0.0	grp-08	T2	4
45.4077	0.1084	2.58	7.425	1.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	5
49.716	0.1086	2.6321	4.896	1.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	6
54.1677	0.1085	2.7569	2.527	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	7
56.1712	0.0918	2.8732	2.99	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	8
62.4456	0.0751	2.9598	43.619	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	9
63.4941	0.0501	2.97	0.0	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	10
64.306	0.0751	2.9421	10.485	1.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	11
65.7965	0.0834	2.9596	6.863	0.0	2.0	4.0	0.0	0.0	0.0	grp-08	T2	12
65.6986	0.0668	2.9589	3.383	2.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	13
70.0455	0.0667	2.952	4.02	3.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	14
68.4043	0.0835	2.9257	6.369	1.0	2.0	3.0	0.0	0.0	0.0	grp-08	T2	15
65.2228	0.1003	2.8534	1.391	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	16
60.9072	0.1417	2.8769	4.319	2.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	17
63.0858	0.1502	2.9796	18.413	1.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	18
68.3737	0.1336	2.9905	4.053	0.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	19
70.2467	0.1084	2.9498	4.358	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	20
69.3084	0.1418	2.9306	2.804	1.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	21
62.0842	0.1419	2.9633	2.529	3.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	22
60.1246	0.1002	2.9665	15.103	3.0	0.0	4.0	0.0	0.0	0.0	grp-08	T2	23
62.8675	0.1085	2.9374	42.483	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	24
