group_id	task	participant	lex_word_count	lex_unique_words	lex_ttr	lex_mean_word_len	lex_n_unigrams	lex_n_bigrams	lex_n_trigrams	lex_unique_bigrams	lex_unique_trigrams	lex_unigram_diversity	lex_bigram_diversity	lex_trigram_diversity	lex_unigram_entropy	lex_bigram_entropy	lex_trigram_entropy	lex_hapax_count	lex_hapax_ratio	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_question_count	lex_suggestion_count	lex_positive_count	lex_negative_count	lex_agreement_rate	lex_question_rate_per_min	lex_suggestion_rate_per_min	lex_sentiment_ratio	lex_speaking_time_s
grp-14	T2	P4	358	145	0.405	4.08	358	357	356	308	341	0.405	0.8627	0.9579	6.685	8.176	8.387	76	0.2123	11	21	1	2	0	9	0	0.0307	0.91	0.0	1.0	131.8
grp-14	T3	P1	117	82	0.7009	3.89	117	116	115	114	115	0.7009	0.9828	1.0	6.123	6.823	6.845	64	0.547	8	4	0	2	1	4	0	0.0684	3.63	1.81	1.0	33.082
grp-14	T3	P2	230	125	0.5435	3.77	230	229	228	210	226	0.5435	0.917	0.9912	6.521	7.661	7.815	84	0.3652	4	14	1	3	0	11	0	0.0174	2.19	0.0	1.0	82.377
grp-14	T3	P3	197	86	0.4365	3.81	197	196	195	175	189	0.4365	0.8929	0.9692	5.971	7.374	7.542	46	0.2335	2	18	1	1	1	12	4	0.0102	0.88	0.88	0.5	67.822
grp-14	T3	P4	267	120	0.4494	3.86	267	266	265	234	254	0.4494	0.8797	0.9585	6.406	7.784	7.961	71	0.2659	8	16	2	1	1	12	0	0.03	0.65	0.65	1.0	92.685
grp-14	T4	P1	101	55	0.5446	3.67	101	100	99	91	98	0.5446	0.91	0.9899	5.427	6.456	6.609	35	0.3465	1	1	0	0	0	0	0	0.0099	0.0	0.0	0.0	50.3
grp-14	T4	P2	101	54	0.5347	3.43	101	100	99	90	97	0.5347	0.9	0.9798	5.454	6.408	6.589	33	0.3267	2	2	0	6	0	0	0	0.0198	11.11	0.0	0.0	32.399
grp-14	T4	P3	9	9	1.0	3.78	9	8	7	8	7	1.0	1.0	1.0	3.17	3.0	2.807	9	1.0	0	0	0	1	0	0	0	0.0	21.41	0.0	0.0	2.803
grp-14	T4	P4	189	87	0.4603	3.73	189	188	187	161	179	0.4603	0.8564	0.9572	6.105	7.241	7.457	41	0.2169	11	8	1	5	0	2	0	0.0582	4.87	0.0	1.0	61.656
grp-15	T1	P1	235	105	0.4468	4.06	235	234	233	196	224	0.4468	0.8376	0.9614	6.17	7.509	7.787	64	0.2723	35	14	3	1	1	10	0	0.1489	0.56	0.56	1.0	106.235
