group_id	task	participant	audio_energy_mean	audio_pitch_mean	audio_pitch_sd	audio_hnr_mean	n_windows
grp-07	T1	P1	0.1797196823689672	21.824135780334476	0.1743986337549156	0.6488636997010973	9
grp-07	T1	P2	0.0808170545432302	21.45634778340657	0.1533501495917638	2.207614163557688	9
grp-07	T1	P3	0.1428941347532801	22.097541173299152	0.2228812649846076	-0.5123571834216515	9
grp-07	T1	P4	0.1393328838878207	21.543670866224502	0.1824488391478856	0.8764123320579529	9
grp-07	T2	P1	0.2692526313993665	26.17900382147895	0.1952074446060039	3.585714470457148	27
grp-07	T2	P2	0.1034291866752836	27.07703710485388	0.1662415599933376	4.566003728795935	27
grp-07	T2	P3	0.2056992015352955	26.117354640254263	0.2180128036825744	2.943988268022184	27
grp-07	T2	P4	0.1869412213563918	25.95007974130136	0.2062166443577519	3.1781560524746224	27
grp-07	T3	P1	0.0941283943561406	23.10015979179969	0.2191876164422585	0.9289377790230972	13
grp-07	T3	P2	0.0751164380747537	25.597425167377175	0.2022167375454535	2.5608667598034325	13
grp-07	T3	P3	0.122862121520134	22.12978766514705	0.2224643471149297	-0.4467919835677514	13
grp-07	T3	P4	0.1279392849940519	22.26382460960975	0.225918192273149	0.0448141533594865	13
grp-08	T1	P1	0.1560644197463989	24.33502380371094	0.2415415048599243	1.9079938299953936	25
grp-08	T1	P2	0.1312872411310672	25.59266288757324	0.1981014177203178	4.3313064289093015	25
grp-08	T1	P3	0.1381231492757796	24.631578063964845	0.2447721403837203	2.3957577869296074	25
grp-08	T1	P4	0.2067002916336059	23.5804931640625	0.2481938362121581	1.8253613397479056	25
grp-08	T2	P1	0.2095606241594342	26.52614183986888	0.2468903270714422	2.9480842535986618	34
grp-08	T2	P2	0.1782997990136637	27.08410582822912	0.2211691813872141	4.080542653799057	34
grp-08	T2	P3	0.2191682289190152	26.317113090963925	0.2524159910047755	2.9540039047612536	34
grp-08	T2	P4	0.2748769269708325	25.286447020138013	0.2606038008542621	2.6296268123037674	34
grp-08	T3	P1	0.1330934476852416	25.98716911315918	0.2502503621578216	2.6654774671792985	25
grp-08	T3	P2	0.1868415327370166	26.515919189453125	0.2147863560914993	4.142155387401581	25
grp-08	T3	P3	0.1626448290050029	25.24466926574707	0.2325053697824478	2.704193477630615	25
grp-08	T3	P4	0.1533377024531363	24.570205841064453	0.2412319666147231	2.215307602882385	25
grp-09	T2	P1	0.1582478603348135	26.327227973937987	0.2180598087608813	2.8218609243631363	20
grp-09	T2	P2	0.1873655756935476	27.605406761169437	0.1982722148299217	5.060049676895142	20
grp-09	T2	P3	0.1956900833174585	26.899074649810792	0.2102471396327018	3.6863241136074074	20
grp-09	T2	P4	0.2189095351845025	26.549394607543945	0.223938638716936	3.629037809371949	20
grp-09	T3	P1	0.2371529823257809	24.90084879738944	0.2515455250229154	2.1937505177089145	21
grp-09	T3	P2	0.1708451406586737	26.43547893705822	0.2356805003115108	3.758497191326959	21
grp-09	T3	P3	0.2377549072816258	26.6618781316848	0.2364662034170968	3.400205450398581	21
grp-09	T3	P4	0.2234391257876441	25.56626274472191	0.2535842884154546	2.597372997374761	21
grp-10	T1	P1	0.1153524919198109	27.638199952932503	0.219339003929725	3.444276021650204	13
grp-10	T1	P2	0.1084719467908143	28.25925313509428	0.1591463352625186	6.316411174260653	13
grp-10	T1	P3	0.1355400478037503	28.070365538963905	0.2068791292034662	3.869919931659332	13
grp-10	T1	P4	0.1640976188847651	27.44711736532358	0.2273594095156742	3.2304965624442468	13
grp-10	T2	P1	0.2099602812528609	25.964037017822264	0.2072888016700744	2.7053079656511545	25
grp-10	T2	P2	0.1275077648460864	26.59186264038086	0.1641323053836822	5.15657910823822	25
grp-10	T2	P3	0.1996669870615005	25.860755844116213	0.1989719253405928	3.029243026673794	25
grp-10	T2	P4	0.199119290113449	25.62534496307373	0.2354633516073226	2.6103605957329274	25
grp-10	T3	P1	0.1434796102918111	22.1266419337346	0.2337487758352206	-0.2283678238208477	13
grp-10	T3	P2	0.0934301524494702	24.22835306020884	0.1229936577952824	3.667782214971689	13
grp-10	T3	P3	0.1948641853836866	23.01675040905292	0.2613592626383671	1.6007996247364924	13
