group_id	task	participant	audio_energy_mean	audio_pitch_mean	audio_pitch_sd	audio_hnr_mean	n_windows
grp-07	T1	P1	0.30521090328693384	24.794785499572754	0.23346092179417607	2.18134406208992	4
grp-07	T1	P2	0.11303929612040513	26.144977569580078	0.21988171711564064	3.101522743701935	4
grp-07	T1	P3	0.23553794249892232	24.873154163360596	0.2540103681385517	1.6791965812444687	4
grp-07	T1	P4	0.19624958187341687	24.61971378326416	0.23911361023783678	1.9479905813932419	4
grp-07	T2	P1	0.29071612997601426	26.556809107462566	0.19175847309331095	3.8407186468442283	24
grp-07	T2	P2	0.1077328048025568	27.34113351504008	0.16287044777224458	4.797337840000789	24
grp-07	T2	P3	0.2201669507970412	26.68870480855306	0.20949942556520298	3.3856103842457137	24
grp-07	T2	P4	0.19619995076209304	26.356512149175007	0.20303801695505774	3.434752399722735	24
grp-07	T3	P1	0.1454546814784407	28.08997869491577	0.2144302651286125	3.5516630709171295	4
grp-07	T3	P2	0.10307856369763607	29.594616889953613	0.1671631298959255	5.633876204490662	4
grp-07	T3	P3	0.24380004499107594	28.23244619369507	0.2216703854501247	4.561612188816071	4
grp-07	T3	P4	0.218644630163908	27.57670831680298	0.2289103902876377	3.9670824110507965	4
grp-08	T1	P1	0.17060025855898855	24.64494800567627	0.24488526135683056	2.04325581882149	20
grp-08	T1	P2	0.14685590732842682	25.815452575683594	0.19392483495175833	4.615718448162079	20
grp-08	T1	P3	0.14924853257834908	25.13846492767334	0.24541323781013485	2.6934738364070654	20
grp-08	T1	P4	0.2258339542895555	23.900233459472656	0.2513843476772308	1.8216980755329133	20
grp-08	T2	P1	0.21912749015515848	26.87646262876449	0.25415096744414295	3.0297092824212966	31
grp-08	T2	P2	0.18710520370833333	27.388997354815082	0.22536846442568684	4.125198646899192	31
grp-08	T2	P3	0.22965123816843952	26.623117816063665	0.25811847034961943	3.0672794764095377	31
grp-08	T2	P4	0.2876650395412599	25.575143691032164	0.2670283596361837	2.6583022744424882	31
grp-08	T3	P1	0.13655498706632185	26.419822057088215	0.23316607044802767	2.929025504324171	18
grp-08	T3	P2	0.22320047041608224	26.659860716925728	0.1960623380210664	4.616672661569384	18
grp-08	T3	P3	0.16986394673585886	26.614138815138077	0.21719673110379112	3.7732510334915585	18
grp-08	T3	P4	0.16110592501031024	25.834490670098198	0.2265810229712062	2.974964420000712	18
