group_id	task_id	group_et_pupil_mean_mean	group_et_pupil_mean_std	group_et_pupil_std_mean	group_et_pupil_std_std	group_et_pupil_slope_per_s_mean	group_et_pupil_slope_per_s_std	group_et_blink_rate_per_min_mean	group_et_blink_rate_per_min_std	group_et_gaze_dispersion_mean	group_et_gaze_dispersion_std	group_et_gaze_valid_frac_mean	group_et_gaze_valid_frac_std	group_et_gaze_velocity_mean_mean	group_et_gaze_velocity_mean_std	n_windows
grp-07	T1	2.938384090909091	0.3039454545454545	0.3520022727272727	0.24443409090909093	0.0004113636363636364	0.004631818181818182	27.22970909090909	16.309161363636363	0.16260454545454547	0.06483181818181817	0.814559090909091	0.21717954545454543	1.6484295454545455	2.0438795454545455	44
grp-07	T2	3.0177	0.2835608108108108	0.28257162162162164	0.13994594594594595	-0.0011635135135135135	0.005664864864864865	25.44041891891892	14.756310810810811	0.13694594594594595	0.05667567567567568	0.7555445945945946	0.3359810810810811	1.3616756756756756	1.5709216216216215	74
grp-07	T3	3.051438596491228	0.2975649122807018	0.32939298245614035	0.2333157894736842	0.015354385964912282	0.03946842105263158	25.27960701754386	13.556468421052632	0.13863333333333333	0.06553157894736843	0.7189052631578948	0.4116736842105263	1.168717543859649	1.1490210526315787	57
grp-08	T1	2.8224037037037033	0.2954056603773585	0.16974074074074075	0.044422641509433966	4.259259259259283e-05	0.009281132075471698	18.521678846153847	10.775943750000001	0.13205555555555556	0.034616981132075474	0.8600781818181817	0.05768909090909091	0.5395314814814814	0.22399056603773584	55
grp-08	T2	2.9273233333333333	0.35383000000000003	0.17763333333333334	0.057078333333333335	-2e-05	0.0018883333333333332	17.84196607142857	8.609116071428572	0.12575333333333333	0.03492833333333333	0.8233723076923076	0.03922153846153846	0.56788	0.20133166666666666	65
grp-08	T3	2.803274193548387	0.3343774193548387	0.15339032258064514	0.05129193548387097	-3.3870967741935475e-05	0.0012370967741935485	16.59409193548387	9.412937096774195	0.12304354838709677	0.03816290322580645	0.9439048387096775	0.041614516129032254	0.5066354838709678	0.1863967741935484	62
grp-09	T2	3.4158333333333335	0.47133555555555556	0.2638022222222222	0.043735555555555555	-0.0001333333333333333	0.0021644444444444445	16.132924444444445	8.306682222222223	0.16596444444444444	0.046400000000000004	0.9408933333333334	0.03223333333333333	0.6298422222222222	0.15700444444444445	45
grp-09	T3	3.324664814814815	0.4136259259259259	0.22520370370370368	0.04881481481481482	-3.7037037037037037e-05	0.001966666666666667	14.642329629629629	7.977266666666667	0.1433296296296296	0.036894444444444445	0.944162962962963	0.03951111111111111	0.5546648148148148	0.12775925925925927	54
grp-10	T1	3.1591083333333336	0.27411250000000004	0.2323666666666667	0.08143333333333333	-0.0001333333333333333	0.0030791666666666663	7.260128571428572	5.0076	0.14122500000000002	0.06486666666666667	1.0	0.0	0.609525	0.24237083333333334	53
grp-10	T2	3.0748235294117645	0.30469411764705884	0.25479999999999997	0.08131764705882354	0.00011764705882352936	0.0025588235294117644	9.2613	5.147664285714286	0.16651764705882352	0.07960588235294118	1.0	0.0	0.6347352941176471	0.2601352941176471	69
