group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_answer	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-07	T1	5	3	2	0.13327469180027643	0.016405471755812567	0.025381189150114853	0.03411124118914207	0.012667109879354635	0.010793371902157864	0.0990654566558078	0.045840486884117126	0.5799709657828013	0.02668338641524315	0.015806585705528658	hedge
grp-07	T1	6	4	2	0.09601082233712077	0.11907181795686483	0.061088255839422345	0.029412518488243222	0.04561910452321172	0.02902122843079269	0.0933414560277015	0.04379720240831375	0.40161309391260147	0.05474546505138278	0.026279051322489977	hedge
grp-07	T1	7	3	1	0.1313091665506363	0.028912901257475216	0.06118873444696268	0.04834696650505066	0.04937037080526352	0.03222754287223021	0.008843569085001945	0.0624451811114947	0.4555208335320155	0.09409257397055626	0.027742182835936546	hedge
grp-07	T1	8	6	3	0.12250074464827776	0.08388319704681635	0.0826778042440613	0.03276870547172924	0.06740028566370408	0.017401272663846612	0.007222943512412409	0.04315450290838877	0.4697918544212977	0.04654918642093738	0.026649482276601095	hedge
grp-07	T1	9	2	1	0.15385420992970467	0.1261206492781639	0.058387868106365204	0.06440079025924206	0.08544238656759262	0.0345814498141408	0.010887449607253075	0.07611159235239029	0.26441802829504013	0.0808394942432642	0.044956060126423836	hedge
grp-07	T1	10	4	2	0.1304155932739377	0.053412795066833496	0.10514611192047596	0.023979957797564566	0.0576755260117352	0.04166306788101792	0.022507302928715944	0.10766351781785488	0.33941767923533916	0.07707187673076987	0.04104658216238022	hedge
grp-07	T1	11	3	1	0.09825688600540161	0.1163299431403478	0.08241128921508789	0.04219976377983888	0.035752066100637116	0.036116924757758774	0.013894871808588505	0.059262885401646294	0.31361239155133563	0.14442122230927149	0.05774171588321527	hedge
grp-07	T1	12	7	2	0.18160877004265785	0.032121818978339434	0.043901938545916765	0.054133654705115726	0.0404900041674929	0.0250283990587507	0.005889177255864654	0.05514689215591976	0.3950776777097157	0.12057672574051789	0.04602494410106114	hedge
grp-07	T1	13	7	2	0.11811101596270289	0.03887704759836197	0.05233157293072769	0.06348655958260808	0.027385784313082695	0.03507839449282203	0.008572036500221916	0.07306748841490064	0.47049398720264435	0.0656410540853228	0.046955054359776635	hedge
grp-07	T2	3	2	1	0.04148868517950177	0.21440694108605385	0.017749855993315578	0.02588252304121852	0.014534982852637768	0.025914016645401716	0.01621279976097867	0.020564001752063632	0.4686427116394043	0.12961488403379917	0.024988625198602676	hedge
grp-07	T2	4	7	2	0.08578704031450408	0.06399998348206282	0.050695304359708517	0.05610450889383044	0.03806840069591999	0.042583746037312915	0.06296986966793026	0.07818473476384367	0.3922168420893805	0.08753348008862563	0.0418560973235539	hedge
grp-07	T2	5	5	2	0.26559810172766446	0.23703568950295448	0.054711859486997125	0.03334493455477059	0.027342462074011566	0.013494226802140474	0.005043241940438747	0.02651746030896902	0.1687572866678238	0.15690971314907073	0.011245012283325195	statement
grp-07	T2	6	3	2	0.08822689702113469	0.0948636420071125	0.04506337580581506	0.021565538831055164	0.2632987139125665	0.018205761288603146	0.01484751352109015	0.05986270805199941	0.29691448311011	0.051848638181885086	0.04530272322396437	compromise
grp-07	T2	7	2	1	0.08459402248263359	0.13130252063274384	0.05856279283761978	0.04839914105832577	0.03895161487162113	0.033366657327860594	0.013471803860738873	0.09818228520452976	0.3743996024131775	0.07609077543020248	0.04267874825745821	hedge
grp-07	T2	8	8	2	0.16624519298784435	0.04608316638041288	0.03422849078197032	0.029235424823127687	0.02531935810111463	0.017762580886483192	0.0483063911597128	0.07270424778107554	0.43427596241235733	0.09935707086697221	0.026482120680157095	hedge
grp-07	T2	9	12	3	0.10150208060319225	0.04116917075589299	0.046460981015115976	0.04828788621428733	0.03352302718364323	0.053092297671052315	0.008707440768678984	0.061353038530796766	0.43187807376186055	0.13105655275285244	0.042969398821393646	hedge
grp-07	T2	10	2	1	0.1864270158112049	0.2792134750634432	0.008917705854400992	0.005966441705822945	0.14600439369678497	0.005743514513596892	0.006271346937865019	0.015109890140593052	0.32751064002513885	0.013858509715646505	0.004977032775059342	hedge
grp-07	T2	11	4	2	0.22508343122899532	0.03931478364393115	0.05028766067698598	0.047239010338671505	0.03921745205298066	0.026375576853752136	0.012119368475396186	0.09020309988409281	0.3786895340308547	0.0626923143863678	0.028777763014659286	hedge
grp-07	T2	12	7	3	0.0963514330131667	0.03978803540979113	0.041639775303857665	0.05332855015460934	0.0306973281050367	0.04504550541085856	0.010218651033937931	0.06997283335242953	0.4506624298436301	0.11734737854983125	0.044948077627590725	hedge
grp-07	T2	13	8	2	0.04145092214457691	0.1266955538885668	0.02739792363718152	0.031404930632561445	0.024720070883631706	0.137473720300477	0.03225601220037788	0.03219538030680269	0.36482485849410295	0.15941755613312125	0.022163083194755018	hedge
grp-07	T2	14	5	2	0.10478620678186416	0.09666424812749028	0.09205340258777142	0.05512157843913883	0.038130426593124864	0.028862740378826857	0.04749949062243104	0.06287510888651013	0.3652514636516571	0.06050512380897999	0.04825022148434073	hedge
grp-07	T2	15	5	1	0.10203003250062466	0.13837046809494497	0.056993411481380464	0.05141702014952898	0.0952257089316845	0.04269321346655488	0.014275877131149172	0.06709380671381951	0.2850292921066284	0.09775547282770276	0.04911569245159626	hedge
grp-07	T2	16	2	2	0.009133214596658945	0.44981807726435363	0.003298538038507104	0.006821941991802305	0.47201841743662953	0.003191966679878533	0.0011276291334070265	0.012485581915825605	0.026218192651867867	0.01080422243103385	0.00508219946641475	compromise
grp-07	T2	17	4	1	0.06055042799562216	0.06418774975463748	0.03482156386598945	0.0289632398635149	0.13202711008489132	0.036019762395881116	0.0053418418392539024	0.03682801080867648	0.5437540411949158	0.03612900618463755	0.021377215394750237	hedge
grp-07	T2	18	5	2	0.0648699302226305	0.08170256707817317	0.03135398253798485	0.043816941976547244	0.09054012587293983	0.029121962003409864	0.014181121671572327	0.04360883757472038	0.540470564365387	0.03229549378156662	0.028038499131798744	hedge
grp-07	T2	19	3	2	0.02247983341415723	0.0768224863956372	0.02840939164161682	0.019844198677067954	0.039831155290206276	0.02293642113606135	0.02471825449417035	0.03590779937803745	0.6863963405291239	0.02905225505431493	0.013601803841690222	hedge
grp-07	T2	20	4	2	0.09722835011780262	0.09607705334201455	0.03460682928562164	0.058930251747369766	0.051349307876080275	0.045774218160659075	0.010928055038675666	0.060682705603539944	0.4796515330672264	0.04485355783253908	0.019918125122785568	hedge
grp-07	T2	21	8	3	0.12166390335187316	0.05295999738154933	0.07593550626188517	0.053590502589941025	0.049917604424990714	0.024470910080708563	0.00709185961750336	0.044695972464978695	0.47250636480748653	0.060647061094641685	0.03652031405363232	hedge
grp-07	T2	22	4	1	0.057899381732568145	0.14191098790615797	0.03936468902975321	0.05350160907255486	0.18622726877219975	0.04287533275783062	0.008736859483178705	0.06565056229010224	0.31962338648736477	0.044319859240204096	0.03989004506729543	hedge
grp-07	T2	23	6	2	0.056506336821864046	0.11214072816073895	0.03156315962163111	0.0512716737575829	0.0350452596321702	0.018960849071542423	0.005361236185611536	0.04231028460587064	0.5479933768510818	0.06694533675909042	0.03190174171080192	hedge
grp-07	T2	24	4	1	0.12185060512274504	0.10533564118668437	0.05932155856862664	0.024295681854709983	0.13437868026085198	0.02855612151324749	0.011143066338263452	0.03653717623092234	0.3668656684458256	0.08017211267724633	0.03154371306300163	hedge
grp-07	T2	25	5	2	0.10594971273094415	0.07687925603240728	0.04347190242260694	0.05273635280318558	0.09042857848107815	0.11390708610415459	0.010090904217213393	0.051249469816684726	0.37247288823127744	0.04491759277880192	0.0378962239716202	hedge
grp-07	T2	26	2	1	0.02655676193535328	0.2342220318969339	0.010403534164652228	0.005120816174894571	0.1525895744562149	0.0056337579153478146	0.0016111249569803476	0.010491590946912766	0.5378406196832657	0.009082073345780373	0.006448040367104113	hedge
grp-07	T2	27	8	4	0.13006125716492534	0.07329416740685701	0.03674060618504882	0.05557381396647543	0.059169252519495785	0.027259811642579734	0.013662247438332997	0.04590744327288121	0.4298841096460819	0.09957073000259697	0.028876535536255687	hedge
grp-07	T2	28	5	3	0.09478099793195724	0.045232646819204095	0.05786544345319271	0.06913739666342736	0.05063889138400555	0.03134256061166525	0.010154375899583101	0.061283911019563674	0.4651208817958832	0.05968982614576816	0.054753055423498155	hedge
