fold	holdout_groups	n_shared_windows	ARI	agreement_after_label_matching
0	grp-07,grp-08	472	0.7285231498559994	0.836864406779661
1	grp-09,grp-10	511	0.5383900075931766	0.6868884540117417
2	grp-11,grp-12	478	0.49874574590234927	0.7384937238493724
3	grp-13,grp-14	514	0.6015750601395101	0.7431906614785992
4	grp-15,grp-16	489	0.2492055818917483	0.5153374233128835
