group_id	task_id	window_index	hmm_state_exp
grp-11	T1	6	4
grp-11	T1	7	4
grp-11	T1	8	4
grp-11	T1	9	4
grp-11	T1	10	4
grp-11	T1	11	4
grp-11	T1	12	4
grp-11	T1	13	4
grp-11	T1	14	3
grp-11	T1	15	3
grp-11	T1	16	2
grp-11	T1	17	0
grp-11	T1	18	3
grp-11	T1	19	3
grp-11	T1	20	3
grp-11	T1	21	3
grp-11	T2	0	2
grp-11	T2	1	3
grp-11	T2	2	2
grp-11	T2	3	3
grp-11	T2	4	1
grp-11	T2	5	1
grp-11	T2	6	1
grp-11	T2	7	1
grp-11	T2	8	1
grp-11	T2	9	1
grp-11	T2	10	1
grp-11	T2	11	2
grp-11	T2	12	2
grp-11	T2	13	2
grp-11	T2	14	0
grp-11	T2	15	0
grp-11	T2	16	0
grp-11	T2	17	0
grp-11	T2	18	0
grp-11	T2	19	0
grp-11	T2	20	0
grp-11	T2	21	0
grp-11	T2	22	2
grp-11	T2	23	0
grp-11	T2	24	0
grp-11	T2	25	3
grp-11	T2	26	2
grp-11	T2	27	2
grp-11	T2	28	3
grp-11	T2	29	3
grp-11	T2	30	3
grp-11	T2	31	3
grp-11	T3	0	4
grp-11	T3	1	4
grp-11	T3	2	4
grp-11	T3	3	4
grp-11	T3	4	4
grp-11	T3	5	4
grp-11	T3	6	4
grp-11	T3	7	4
grp-11	T3	8	4
grp-11	T3	9	4
grp-11	T3	10	4
grp-11	T3	11	4
grp-11	T3	12	4
grp-11	T3	13	4
grp-11	T3	14	4
grp-11	T3	15	4
grp-11	T3	16	4
grp-11	T3	17	3
grp-11	T3	18	3
grp-11	T3	19	3
grp-12	T1	7	1
grp-12	T1	8	1
grp-12	T1	9	1
grp-12	T1	10	1
grp-12	T1	11	1
grp-12	T1	12	1
grp-12	T1	13	1
grp-12	T1	14	1
grp-12	T1	15	1
grp-12	T1	16	1
grp-12	T1	17	1
grp-12	T1	18	1
grp-12	T1	19	1
grp-12	T1	20	1
grp-12	T1	21	1
grp-12	T1	22	3
grp-12	T1	23	3
grp-12	T1	24	3
grp-12	T2	3	1
grp-12	T2	4	1
grp-12	T2	5	1
grp-12	T2	6	1
grp-12	T2	7	1
grp-12	T2	8	1
grp-12	T2	9	1
grp-12	T2	10	2
grp-12	T2	11	0
grp-12	T2	12	0
grp-12	T2	13	0
grp-12	T2	14	2
grp-12	T2	15	2
grp-12	T2	16	0
grp-12	T2	17	0
grp-12	T2	18	0
grp-12	T2	19	0
grp-12	T2	20	0
grp-12	T2	21	0
grp-12	T2	22	0
grp-12	T2	23	0
grp-12	T2	24	0
grp-12	T2	25	0
grp-12	T2	26	0
grp-12	T2	27	2
