onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
315.604	18.877	P3	three positions they want to do it in one position role so we have more workload so maybe employees can also learn to stand their ground and also like set boundaries for like for their managers but also to speak to speak out loud so yeah	SPK		0.027819	3.92	mic11	manual	0	941	27091		1000
327.257	0.500	P2	mm-hmm	BCK				shared	manual	-7224			11653	500
332.997	0.500	P2	mmh	BCK				shared	manual	5240			17393	500
334.481	0.649	GROUP	(0.6)	SIL				shared	manual	984				
335.130	2.360	P2	And this is topic number two?	SPK		0.028857	5.68	mic11	manual	0	649	649		980
337.000	7.779	P3	It would be more topic number four, but it kind of also like work with topic number two.	SPK				shared	manual	-490	-490	-490		1159
337.000	0.490	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-7779				980
344.600	1.061	P2	mmh	BCK				shared	manual	7110			7600	1027
344.813	2.601	P3	I feel like I kind of like close.	SPK		0.013452	1.32	mic11	manual	-848	34	7323		1348
346.021	0.500	P4	mmh	BCK				shared	manual	-1393			1208	500
347.414	2.377	GROUP	(2.4)	SIL				shared	manual	893				2501
347.830	0.771	P2	yeah	BCK				shared	manual	-1961				1522
347.942	1.099	P4	mm-hmm	BCK				shared	manual	-659				1850
348.320	0.092	P2	yeah	BCK				shared	manual	-721				276
349.252	1.400	P2	okay	BCK				shared	manual	840				1400
349.791	1.720	P4	I would also think	SPK				shared	manual	-861	2377	2377		861
351.511	1.489	GROUP	(1.5)	SIL				shared	manual	0				
353.000	19.000	P4	Number four, it could be relative because from my perspective, GN is a big corporation and maybe sometimes people do not feel so comfortable talking to someone privately about stress or workload or it's not managed efficiently.	SPK				shared	manual	0	1489	5586		
372.000	0.573	GROUP	(0.6)	SIL				shared	manual	0				433
372.140	0.851	P2	mmh	BCK				shared	manual	-433				851
372.573	8.422	P4	And then having a workshop negotiation on that could help people understand how to manage it and deal with it.	SPK		0.019024	7.11	mic12	manual	-418	573	25159		418
380.995	1.821	GROUP	(1.8)	SIL				shared	manual	0				500
381.413	0.500	P2	mm-hmm	BCK				shared	manual	-1403				500
382.816	9.727	P4	I would waive the AI, but because I know that it's very relevant right now, but I feel like there are a lot of efforts put into that at the moment.	SPK		0.038015	6.96	mic12	manual	903	1821	35402		500
388.706	0.500	P2	mmh	BCK				shared	manual	-3837			5890	500
392.543	1.101	GROUP	(1.1)	SIL				shared	manual	3337				778
392.826	0.778	P2	mm-hmm	BCK				shared	manual	-818				778
393.644	4.943	P4	There's a lot of initiatives and teams working and people are getting hired for that.	SPK		0.020463	7.07	mic12	manual	40	1101	46230		
398.587	0.120	GROUP	(.)	SIL				shared	manual	0				
398.707	9.367	P4	So I think people are very close kind of to get this or to understand the actual productivity of AI and so on.	SPK		0.020694	7.12	mic12	manual	0	120	51293		
408.074	1.261	GROUP	(1.3)	SIL				shared	manual	0				1531
408.248	0.880	P2	mm-hmm	BCK				shared	manual	-1087				1407
408.601	0.651	P3	mmh	BCK				shared	manual	-527				1178
409.335	4.183	P4	So that's why I would lean more towards topic two and four.	SPK		0.021455	7.42	mic12	manual	83	1261	61921		0
413.518	1.240	GROUP	(1.2)	SIL				shared	manual	0				
414.758	2.402	P4	Probably four would be the best one I'd pick.	SPK		0.017200	6.37	mic12	manual	0	1240	67344		
417.160	0.864	GROUP	(0.9)	SIL				shared	manual	0				
418.024	17.394	P2	Do we think that, you know, okay, so if we're able to work better across teams, does that in a way help relieve some stress and workload if we're able to communicate better about who's doing what and when they're doing it and whatnot?	SPK		0.022363	5.02	mic10	manual	0	864	864		
435.418	1.337	GROUP	(1.3)	SIL				shared	manual	0				
436.755	26.220	P3	yes and no I think it also depends on like the personality of people so I could say yes because like clarity helped to remove some stress but also depends of like personalities and it might also not be the most efficient tool	SPK		0.019487	1.53	mic11	manual	0	1337	1337		14423
437.409	1.469	P4	yes	BCK				shared	manual	-25566			654	1469
441.387	0.500	P2	mm-hmm	BCK				shared	manual	2509			4632	500
446.993	0.500	P2	mmh	BCK				shared	manual	5106			10238	722
447.271	0.500	P2	mmh	BCK				shared	manual	-222			10516	722
457.218	1.011	P2	Yeah.	SPK		0.019907	5.42	mic10	manual	9447	-5757	-5757		2022
457.218	1.011	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1011				2022
458.259	4.784	P2	Because I feel like a lot of stress, it comes from like...	SPK		0.026096	4.59	mic10	manual	30	30	-4716		9432
458.259	4.716	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-4784				9432
463.043	3.195	GROUP	(3.2)	SIL				shared	manual	68				1520
464.718	1.760	P2	hm	FP				shared	manual	-1520				1760
466.238	1.283	P2	not knowing how to communicate with others.	SPK		0.022047	5.90	mic10	manual	-240	3195	3263		240
467.521	0.060	GROUP	(.)	SIL				shared	manual	0				
467.581	0.441	P2	Right?	SPK		0.018319	5.60	mic10	manual	0	60	4606		
468.022	0.120	GROUP	(.)	SIL				shared	manual	0				
468.142	4.610	P2	And, and who's like trying to figure out like, what the fuck am I supposed to be doing?	SPK		0.029793	3.16	mic10	manual	0	120	5167		1418
469.848	0.712	P4	yeah	BCK				shared	manual	-2904			1706	712
472.058	1.368	P4	yeah	BCK				shared	manual	1498			3916	1990
472.740	0.650	P3	mmh	BCK				shared	manual	-686			4598	1272
472.780	2.229	P4	or not having the comfort to talk	SPK		0.026498	2.11	mic10	manual	-610	28	28		3274
474.000	6.432	P2	or not having the the tools in your in your backpack to know how to like confront or talk to other	SPK				shared	manual	-1009	-1009	-1009		3382
474.000	1.009	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-6432				2018
478.379	0.500	P4	yeah	BCK				shared	manual	3370			4379	500
480.000	3.000	P1	So talking to others can help you relieve stress	SPK				shared	manual	1121	-432	-432		864
480.000	0.432	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-3000				864
483.000	0.581	GROUP	(0.6)	SIL				shared	manual	2568				
483.581	1.739	P1	Is that what you’re trying to say?	SPK				shared	manual	0	581	3149		1520
484.000	0.100	P2	yeah	SPK				shared	manual	-1320	-1320	-1320		200
484.000	0.100	P2	[OVL:smooth]	OVL	smooth			shared	manual	-100				200
484.100	0.900	GROUP	(0.9)	SIL				shared	manual	0				900
485.000	0.100	P4	Yeah.	SPK				shared	manual	0	900	900		200
485.000	0.100	P4	[OVL:smooth]	OVL	smooth			shared	manual	-100				200
485.100	0.404	GROUP	(0.4)	SIL				shared	manual	0				220
485.504	0.180	P4	yeah	SPK		0.012790	3.22	mic12	manual	0	404	1404		248
485.560	1.189	P1	We can agree on that	SPK				shared	manual	-124	-124	-124		1746
485.560	0.124	P1	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-1189				248
486.000	13.000	P2	um so in my opinion then maybe like how to work better across teams kind of fits with all of us of what we're you know you you're one better well-being in the workplace	SPK				shared	manual	316	-749	-749		1498
486.000	0.749	P2	[OVL:competitive]	OVL	competitive			shared	manual	-13000				1498
499.000	0.977	GROUP	(1.0)	SIL				shared	manual	12251				
499.977	6.568	P2	you guys are also sort of between two and four so and I'm like between one and one and two	SPK		0.018109	1.08	mic10	manual	0	977	13228		847
502.446	0.500	P3	mmh	BCK				shared	manual	-4099			2469	500
506.198	1.090	P4	mm-hmm	BCK				shared	manual	3252			6221	1090
506.545	0.586	GROUP	(0.6)	SIL				shared	manual	-743				586
507.131	2.400	P3	So the two is dominant, yeah	SPK		0.027422	1.03	mic11	manual	0	586	586		3219
508.000	5.312	P2	so it two is seems to be the one that like fits all of us in some sort of way	SPK				shared	manual	-1531	-1531	-1531		3076
508.000	1.531	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-5312				3062
513.298	1.923	P3	So we can go with two if everybody agrees.	SPK		0.024313	4.23	mic11	manual	3767	-14	-14		14
515.221	0.220	GROUP	(0.2)	SIL				shared	manual	0				
515.441	0.320	P1	I agree.	SPK		0.032753	6.13	mic9	manual	0	220	220		0
515.761	0.861	GROUP	(0.9)	SIL				shared	manual	0				0
516.622	1.843	P3	And so what will be the format?	SPK		0.024961	5.24	mic11	manual	0	861	861		
518.465	0.340	GROUP	(0.3)	SIL				shared	manual	0				0
518.805	7.349	P3	I think in the context of the company, maybe like an online training so people can tackle the topic on their own...	SPK		0.022604	5.13	mic11	manual	0	340	3044		0
526.154	2.279	GROUP	(2.3)	SIL				shared	manual	0				
528.433	10.010	P4	I think if the topic is how to work better across teams then it should be more proactive and an interactive informal workshop across department working group.	SPK		0.021046	3.66	mic12	manual	0	2279	2279		10806
529.056	1.419	P3	time	SPK				shared	manual	-9387	-9387	-9387		2838
529.056	1.419	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1419				2838
530.475	8.268	GROUP	(8.3)	SIL				shared	manual	0				7968
538.743	3.924	P4	I think the fourth one would be would be perfect for it.	SPK		0.014647	2.92	mic12	manual	0	8268	8268		
542.667	0.384	GROUP	(0.4)	SIL				shared	manual	0				
543.051	9.299	P1	I would say to do it more interactively cause also we are talking about across teams you need to know people, get comfortable with them	SPK		0.014901	0.56	mic12	manual	0	384	384		500
545.382	0.500	P4	yeah	BCK				shared	manual	-6968			2331	500
552.350	2.810	GROUP	(2.8)	SIL				shared	manual	6468				1737
552.523	0.500	P4	mmh	BCK				shared	manual	-2637				500
553.923	1.699	P2	[BRE]	BRE				shared	manual	900				1699
555.160	11.184	P2	Yeah, okay, I was thinking more of, yeah, either the lecture and Q&A or the online training and quiz.	SPK		0.040724	5.94	mic10	manual	-462	2810	2810		1080
565.726	1.499	P2	um	FP				shared	manual	-618				1499
566.344	1.400	GROUP	(1.4)	SIL				shared	manual	-881				881
567.744	17.078	P2	But maybe just from hearing your guys' points of view, maybe the lecture is like a little bit of an in-betweener than half a touch points with other people and not just an online click, click, click onto the next button.	SPK		0.041541	3.70	mic10	manual	0	1400	15394		3825
576.984	0.500	P4	yeah	BCK				shared	manual	-7838			9240	500
577.664	0.500	P3	yeah	BCK				shared	manual	180			9920	500
580.303	0.340	P4	yeah	BCK		0.017751	1.95	mic12	manual	2139			12559	340
582.233	0.500	P3	yeah	BCK				shared	manual	1590			14489	500
583.724	0.341	P4	yeah	BCK		0.023916	1.70	mic12	manual	991			15980	471
584.000	16.805	P4	But also I feel like the cross department working group, I feel like working and applying helps more than just an online training or a lecture, it’s more hands on	SPK				shared	manual	-65	-822	-822		9347
584.000	0.822	P4	[OVL:competitive]	OVL	competitive			shared	manual	-16805				1709
588.064	1.270	P2	mm-hmm	BCK				shared	manual	3242			4064	1270
596.665	0.500	P2	mmh	BCK				shared	manual	7331			12665	917
597.026	1.829	P1	Yeah, I agree.	SPK		0.014232	1.05	shared	manual	-139	-3779	-3779		4057
597.026	0.260	P1	Yeah,	BCK		0.010772	1.63	mic9	manual	-1829			13026	919
597.026	1.829	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-260				4057
598.855	1.905	GROUP	(1.9)	SIL				shared	manual	0				1905
600.760	1.541	P3	Yeah, I agree.	SPK		0.013777	5.05	mic11	manual	0	1905	1905		45
602.301	0.060	GROUP	(.)	SIL				shared	manual	0				
602.361	1.100	P3	But how do we do that?	SPK		0.015965	4.91	mic11	manual	0	60	3506		
603.461	0.120	GROUP	(.)	SIL				shared	manual	0				
603.581	7.404	P3	Because if you have 90 people in a cross-department, no, like a working group, so you're going to select some people.	SPK		0.014896	4.66	mic11	manual	0	120	4726		
